time,Phoenix,pts.away,score,pts.home,Toronto
1:31.0,Turnover by E. Bledsoe (lost ball; steal by C. Joseph),,101-97,,
1:28.0,,,101-97,,Turnover by C. Joseph (lost ball)
1:06.0,M. Morris misses 2-pt shot from 19 ft,,101-97,,
1:04.0,Offensive rebound by P. Tucker,,101-97,,
1:03.0,P. Tucker makes 2-pt shot from 2 ft,2,103-97,,
0:51.0,,,103-97,,D. Carroll misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by P. Tucker,,103-97,,
0:25.0,B. Knight misses 2-pt shot from 22 ft,,103-97,,
0:23.0,,,103-97,,Defensive rebound by B. Biyombo
0:23.0,,,103-97,,Toronto full timeout
0:23.0,,,103-97,,L. Scola enters the game for B. Biyombo
0:17.0,,,103-99,2,D. Carroll makes 2-pt shot from 1 ft
0:17.0,,,103-99,,Personal foul by D. DeRozan (drawn by T. Warren)
0:17.0,T. Warren makes free throw 1 of 2,1,104-99,,
0:17.0,T. Warren misses free throw 2 of 2,,104-99,,
0:16.0,,,104-99,,Defensive rebound by Team
0:16.0,,,104-99,,Toronto full timeout
0:13.0,,,104-99,,Shooting foul by B. Knight (drawn by K. Lowry)
0:13.0,,,104-100,1,K. Lowry makes free throw 1 of 3
0:13.0,,,104-101,1,K. Lowry makes free throw 2 of 3
0:13.0,,,104-102,1,K. Lowry makes free throw 3 of 3
0:12.0,,,104-102,,Personal foul by K. Lowry (drawn by E. Bledsoe)
0:12.0,E. Bledsoe misses free throw 1 of 2,,104-102,,
0:12.0,Offensive rebound by Team,,104-102,,
0:12.0,E. Bledsoe makes free throw 2 of 2,1,105-102,,
0:00.0,,,105-102,,L. Scola misses 3-pt shot from 25 ft (block by E. Bledsoe)
0:00.0,Defensive rebound by E. Bledsoe,,105-102,,
0:00.0,,,105-102,,Personal foul by K. Lowry (drawn by E. Bledsoe)
0:00.0,E. Bledsoe makes free throw 1 of 2,1,106-102,,
0:00.0,E. Bledsoe makes free throw 2 of 2,1,107-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
