time,Indiana,pts.away,score,pts.home,LA Lakers
4:58.0,Jump ball: J. Clarkson vs. M. Ellis (M. World Peace gains possession),,,,Jump ball: J. Clarkson vs. M. Ellis (M. World Peace gains possession)
4:49.0,Personal foul by R. Stuckey (drawn by M. World Peace),,89-81,,
4:49.0,,,89-81,,Personal foul by M. World Peace
4:39.0,,,89-83,2,B. Bass makes 2-pt shot at rim (assist by N. Young)
4:29.0,C. Miles misses 3-pt shot from 24 ft,,89-83,,
4:28.0,,,89-83,,Defensive rebound by J. Randle
4:24.0,,,89-83,,Turnover by J. Randle (traveling)
4:17.0,,,89-83,,Personal foul by B. Bass (drawn by I. Mahinmi)
4:17.0,I. Mahinmi misses free throw 1 of 2,,89-83,,
4:17.0,Offensive rebound by Team,,89-83,,
4:17.0,I. Mahinmi misses free throw 2 of 2,,89-83,,
4:17.0,,,89-83,,Defensive rebound by J. Randle
4:01.0,,,89-85,2,J. Clarkson makes 2-pt shot from 15 ft
3:54.0,,,89-85,,Personal take foul by B. Bass (drawn by I. Mahinmi)
3:54.0,I. Mahinmi makes free throw 1 of 2,1,90-85,,
3:54.0,I. Mahinmi makes free throw 2 of 2,1,91-85,,
3:46.0,,,91-85,,N. Young misses 3-pt shot from 24 ft
3:45.0,,,91-85,,Offensive rebound by J. Randle
3:41.0,,,91-87,2,J. Randle makes 2-pt shot from 2 ft
3:35.0,,,91-87,,Personal take foul by B. Bass (drawn by I. Mahinmi)
3:35.0,I. Mahinmi makes free throw 1 of 2,1,92-87,,
3:35.0,,,92-87,,K. Bryant enters the game for B. Bass
3:35.0,I. Mahinmi makes free throw 2 of 2,1,93-87,,
3:24.0,Violation by M. Ellis (kicked ball),,93-87,,
3:24.0,J. Hill enters the game for I. Mahinmi,,93-87,,
3:14.0,,,93-87,,J. Clarkson misses 2-pt shot from 17 ft
3:14.0,Defensive rebound by P. George,,93-87,,
2:55.0,M. Ellis makes 2-pt shot from 2 ft,2,95-87,,
2:46.0,,,95-87,,LA Lakers full timeout
2:46.0,G. Hill enters the game for R. Stuckey,,95-87,,
2:36.0,,,95-87,,Turnover by K. Bryant (bad pass)
2:20.0,M. Ellis misses 2-pt shot from 18 ft,,95-87,,
2:19.0,Offensive rebound by J. Hill,,95-87,,
2:08.0,P. George misses 2-pt shot from 3 ft,,95-87,,
2:08.0,,,95-87,,Defensive rebound by J. Randle
2:02.0,,,95-87,,N. Young misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by G. Hill,,95-87,,
1:53.0,,,95-87,,Personal foul by M. World Peace (drawn by P. George)
1:53.0,P. George makes free throw 1 of 2,1,96-87,,
1:53.0,I. Mahinmi enters the game for J. Hill,,96-87,,
1:53.0,P. George misses free throw 2 of 2,,96-87,,
1:52.0,,,96-87,,Defensive rebound by J. Randle
1:40.0,,,96-89,2,M. World Peace makes 2-pt shot at rim (assist by J. Clarkson)
1:27.0,P. George makes 2-pt shot from 18 ft,2,98-89,,
1:19.0,,,98-92,3,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson)
1:07.0,Shooting foul by M. World Peace (drawn by P. George),,98-92,,
1:07.0,P. George makes free throw 1 of 2,1,99-92,,
1:07.0,R. Stuckey enters the game for C. Miles,,99-92,,
1:07.0,P. George makes free throw 2 of 2,1,100-92,,
0:58.0,,,100-95,3,N. Young makes 3-pt shot from 24 ft (assist by J. Clarkson)
0:48.0,Turnover by P. George (bad pass),,100-95,,
0:39.0,Personal foul by I. Mahinmi (drawn by K. Bryant),,100-95,,
0:24.0,,,100-98,3,M. World Peace makes 3-pt shot from 25 ft (assist by J. Randle)
0:24.0,Indiana full timeout,,100-98,,
0:24.0,C. Budinger enters the game for I. Mahinmi,,100-98,,
0:24.0,C. Miles enters the game for R. Stuckey,,100-98,,
0:22.0,,,100-98,,Personal foul by M. World Peace (drawn by P. George)
0:22.0,,,100-98,,B. Bass enters the game for M. World Peace
0:22.0,P. George makes free throw 1 of 2,1,101-98,,
0:22.0,I. Mahinmi enters the game for C. Budinger,,101-98,,
0:22.0,P. George makes free throw 2 of 2,1,102-98,,
0:22.0,,,102-98,,LA Lakers full timeout
0:18.0,,,102-100,2,J. Clarkson makes 2-pt shot from 6 ft (assist by K. Bryant)
0:14.0,,,102-100,,Personal foul by K. Bryant (drawn by P. George)
0:14.0,P. George makes free throw 1 of 2,1,103-100,,
0:14.0,P. George makes free throw 2 of 2,1,104-100,,
0:14.0,,,104-100,,LA Lakers full timeout
0:14.0,L. Allen enters the game for C. Miles,,104-100,,
0:12.0,,,104-103,3,K. Bryant makes 3-pt shot from 24 ft (assist by J. Clarkson)
0:11.0,,,104-103,,Personal take foul by N. Young (drawn by P. George)
0:11.0,P. George makes free throw 1 of 2,1,105-103,,
0:11.0,P. George makes free throw 2 of 2,1,106-103,,
0:11.0,,,106-103,,LA Lakers full timeout
0:11.0,C. Miles enters the game for L. Allen,,106-103,,
0:07.0,,,106-103,,K. Bryant misses 3-pt shot from 27 ft
0:07.0,Defensive rebound by Team,,106-103,,
0:05.0,,,106-103,,Personal foul by J. Randle (drawn by P. George)
0:05.0,P. George misses free throw 1 of 2,,106-103,,
0:05.0,Offensive rebound by Team,,106-103,,
0:05.0,P. George makes free throw 2 of 2,1,107-103,,
0:02.0,,,107-103,,N. Young misses 3-pt shot from 26 ft
0:00.0,,,107-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
