time,Minnesota,pts.away,score,pts.home,Sacramento
6:32.0,,,98-84,,J. Anderson enters the game for Q. Acy
6:17.0,K. Towns misses 2-pt shot from 12 ft,,98-84,,
6:17.0,,,98-84,,Defensive rebound by R. Gay
6:11.0,,,98-84,,K. Koufos misses 2-pt shot from 2 ft
6:10.0,,,98-84,,Offensive rebound by K. Koufos
6:07.0,,,98-84,,Shooting foul by N. Bjelica (drawn by W. Cauley-Stein)
6:07.0,,,98-85,1,W. Cauley-Stein makes free throw 1 of 2
6:07.0,,,98-86,1,W. Cauley-Stein makes free throw 2 of 2
5:47.0,T. Jones misses 3-pt shot from 25 ft,,98-86,,
5:46.0,,,98-86,,Defensive rebound by R. Gay
5:34.0,,,98-86,,W. Cauley-Stein misses 2-pt shot from 3 ft
5:34.0,Defensive rebound by N. Bjelica,,98-86,,
5:27.0,Turnover by N. Bjelica (lost ball; steal by J. Anderson),,98-86,,
5:09.0,,,98-86,,R. Gay misses 2-pt shot from 18 ft
5:09.0,Defensive rebound by T. Jones,,98-86,,
4:53.0,N. Bjelica makes 3-pt shot from 25 ft (assist by K. Towns),3,101-86,,
4:35.0,,,101-88,2,R. Gay makes 2-pt shot from 3 ft (assist by J. Anderson)
4:27.0,Minnesota full timeout,,101-88,,
4:15.0,K. Towns makes 2-pt shot from 12 ft (assist by T. Prince),2,103-88,,
3:54.0,,,103-88,,K. Koufos misses 2-pt shot from 6 ft
3:53.0,Defensive rebound by N. Bjelica,,103-88,,
3:39.0,K. Towns misses 2-pt shot from 16 ft,,103-88,,
3:39.0,,,103-88,,Defensive rebound by R. Gay
3:21.0,,,103-88,,J. Anderson misses 2-pt shot from 12 ft
3:21.0,,,103-88,,Offensive rebound by K. Koufos
3:19.0,,,103-88,,W. Cauley-Stein misses 2-pt shot from 12 ft
3:18.0,Defensive rebound by K. Towns,,103-88,,
2:56.0,K. Towns misses 2-pt shot from 4 ft (block by R. Gay),,103-88,,
2:54.0,,,103-88,,Defensive rebound by J. Anderson
2:53.0,Violation by A. Wiggins (kicked ball),,103-88,,
2:53.0,,,103-88,,E. Moreland enters the game for K. Koufos
2:37.0,,,103-90,2,D. Collison makes 2-pt shot from 19 ft
2:16.0,A. Wiggins misses 2-pt shot from 10 ft,,103-90,,
2:15.0,Offensive rebound by K. Towns,,103-90,,
2:12.0,K. Towns makes 2-pt shot at rim,2,105-90,,
1:50.0,,,105-90,,Turnover by E. Moreland (bad pass)
1:50.0,,,105-90,,S. Curry enters the game for D. Collison
1:41.0,,,105-90,,Personal foul by J. Anderson
1:30.0,T. Prince misses 2-pt shot from 22 ft,,105-90,,
1:29.0,,,105-90,,Defensive rebound by J. Anderson
1:10.0,Personal foul by A. Wiggins,,105-90,,
1:10.0,A. Payne enters the game for A. Wiggins,,105-90,,
1:10.0,G. Smith enters the game for K. Towns,,105-90,,
1:10.0,D. Rudez enters the game for T. Prince,,105-90,,
1:10.0,,,105-90,,B. McLemore enters the game for R. Gay
1:10.0,S. Muhammad enters the game for N. Bjelica,,105-90,,
1:05.0,,,105-92,2,B. McLemore makes 2-pt shot from 4 ft (assist by S. Curry)
0:44.0,A. Payne misses 2-pt shot from 3 ft,,105-92,,
0:43.0,,,105-92,,Defensive rebound by E. Moreland
0:35.0,,,105-95,3,S. Curry makes 3-pt shot from 25 ft
0:14.0,A. Payne misses 3-pt shot from 24 ft,,105-95,,
0:13.0,,,105-95,,Defensive rebound by B. McLemore
0:09.0,,,105-97,2,E. Moreland makes 2-pt shot at rim (assist by B. McLemore)
0:00.0,End of 4th quarter,,,,End of 4th quarter
