time,Chicago,pts.away,score,pts.home,Phoenix
2:05.0,J. Butler makes 2-pt shot from 21 ft,2,96-90,,
1:56.0,,,96-90,,E. Bledsoe misses 2-pt shot from 7 ft
1:55.0,Defensive rebound by J. Butler,,96-90,,
1:48.0,,,96-90,,Personal foul by P. Tucker (drawn by J. Butler)
1:39.0,Turnover by P. Gasol (lost ball; steal by M. Morris),,96-90,,
1:36.0,,,96-90,,Phoenix full timeout
1:28.0,,,96-92,2,E. Bledsoe makes 2-pt shot at rim
1:08.0,J. Butler makes 3-pt shot from 23 ft (assist by D. McDermott),3,99-92,,
1:03.0,,,99-92,,E. Bledsoe misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by P. Gasol,,99-92,,
0:40.0,T. Gibson misses 2-pt shot from 18 ft,,99-92,,
0:39.0,,,99-92,,Defensive rebound by M. Morris
0:33.0,,,99-94,2,B. Knight makes 2-pt shot at rim
0:25.0,Shooting foul by B. Knight (drawn by P. Gasol),,99-94,,
0:25.0,P. Gasol makes free throw 1 of 2,1,100-94,,
0:25.0,E. Moore enters the game for D. McDermott,,100-94,,
0:25.0,P. Gasol makes free throw 2 of 2,1,101-94,,
0:25.0,,,101-94,,Phoenix full timeout
0:25.0,J. Noah enters the game for P. Gasol,,101-94,,
0:25.0,,,101-94,,M. Teletovic enters the game for M. Morris
0:21.0,,,101-94,,M. Teletovic misses 3-pt shot from 29 ft
0:20.0,,,101-94,,Offensive rebound by P. Tucker
0:15.0,,,101-94,,P. Tucker misses 2-pt shot from 4 ft
0:13.0,Defensive rebound by K. Hinrich,,101-94,,
0:09.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich),2,103-94,,
0:05.0,,,103-97,3,E. Bledsoe makes 3-pt shot from 27 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
