time,Houston,pts.away,score,pts.home,Washington
6:00.0,,,95-93,,Washington full timeout
5:42.0,,,95-93,,G. Neal misses 3-pt shot from 27 ft
5:40.0,Defensive rebound by D. Howard,,95-93,,
5:21.0,J. Terry misses 3-pt shot from 27 ft,,95-93,,
5:19.0,,,95-93,,Defensive rebound by G. Temple
5:04.0,,,95-95,2,J. Wall makes 2-pt shot from 12 ft
4:44.0,C. Brewer misses 2-pt shot from 2 ft,,95-95,,
4:43.0,,,95-95,,Defensive rebound by J. Wall
4:39.0,,,95-97,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
4:18.0,J. Terry makes 2-pt shot at rim (assist by P. Beverley),2,97-97,,
4:06.0,,,97-99,2,B. Beal makes 2-pt shot from 2 ft
3:51.0,D. Howard misses 2-pt shot from 2 ft,,97-99,,
3:50.0,,,97-99,,Defensive rebound by M. Gortat
3:42.0,,,97-99,,B. Beal misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by D. Howard,,97-99,,
3:31.0,M. Thornton makes 2-pt shot from 18 ft,2,99-99,,
3:13.0,,,99-99,,M. Gortat misses 2-pt shot from 6 ft
3:12.0,Defensive rebound by C. Brewer,,99-99,,
3:05.0,Houston full timeout,,99-99,,
3:05.0,,,99-99,,O. Porter enters the game for G. Temple
3:05.0,J. Harden enters the game for M. Thornton,,99-99,,
2:48.0,J. Harden misses 2-pt shot from 2 ft,,99-99,,
2:48.0,Offensive rebound by D. Howard,,99-99,,
2:48.0,Shooting foul by O. Porter (drawn by D. Howard),,99-99,,
2:48.0,D. Howard misses free throw 1 of 2,,99-99,,
2:48.0,Offensive rebound by Team,,99-99,,
2:48.0,D. Howard misses free throw 2 of 2,,99-99,,
2:47.0,,,99-99,,Defensive rebound by B. Beal
2:29.0,,,99-99,,O. Porter misses 2-pt shot from 9 ft (block by J. Harden)
2:27.0,Defensive rebound by D. Howard,,99-99,,
2:13.0,J. Harden makes 2-pt shot from 14 ft,2,101-99,,
2:13.0,Shooting foul by B. Beal (drawn by J. Harden),,101-99,,
2:13.0,J. Harden makes free throw 1 of 1,1,102-99,,
2:04.0,,,102-99,,M. Gortat misses 2-pt shot from 3 ft
2:03.0,Defensive rebound by C. Brewer,,102-99,,
1:51.0,J. Harden misses 2-pt shot from 16 ft,,102-99,,
1:50.0,,,102-99,,Defensive rebound by G. Neal
1:40.0,,,102-99,,G. Neal misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by J. Harden,,102-99,,
1:17.0,P. Beverley misses 3-pt shot from 28 ft,,102-99,,
1:16.0,,,102-99,,Defensive rebound by G. Neal
1:03.0,,,102-101,2,J. Wall makes 2-pt shot from 18 ft
0:49.0,J. Terry makes 2-pt shot from 5 ft,2,104-101,,
0:48.0,,,104-101,,Washington full timeout
0:45.0,,,104-101,,Turnover by J. Wall (bad pass; steal by J. Harden)
0:41.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,106-101,,
0:41.0,,,106-101,,Washington full timeout
0:33.0,,,106-101,,O. Porter misses 2-pt shot from 6 ft
0:32.0,,,106-101,,Offensive rebound by J. Wall
0:29.0,,,106-101,,J. Wall misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by C. Brewer,,106-101,,
0:22.0,,,106-101,,Personal take foul by B. Beal (drawn by J. Harden)
0:22.0,J. Harden makes free throw 1 of 2,1,107-101,,
0:22.0,J. Harden makes free throw 2 of 2,1,108-101,,
0:13.0,,,108-101,,Turnover by B. Beal (bad pass; steal by D. Howard)
0:12.0,,,108-101,,Personal take foul by M. Gortat (drawn by D. Howard)
0:12.0,D. Howard makes free throw 1 of 2,1,109-101,,
0:12.0,D. Howard misses free throw 2 of 2,,109-101,,
0:11.0,,,109-101,,Defensive rebound by M. Gortat
0:04.0,,,109-101,,Shooting foul by J. Terry (drawn by G. Neal)
0:04.0,,,109-102,1,G. Neal makes free throw 1 of 2
0:04.0,,,109-103,1,G. Neal makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
