time,Washington,pts.away,score,pts.home,Minnesota
2:06.0,Shooting block foul by G. Temple (drawn by K. Towns),,102-90,,
2:06.0,,,102-91,1,K. Towns makes free throw 1 of 2
2:06.0,,,102-92,1,K. Towns makes free throw 2 of 2
1:48.0,B. Beal misses 3-pt shot from 24 ft,,102-92,,
1:47.0,,,102-92,,Defensive rebound by S. Muhammad
1:43.0,,,102-92,,Shooting foul by G. Temple (drawn by Z. LaVine)
1:43.0,,,102-93,1,Z. LaVine makes free throw 1 of 2
1:43.0,,,102-94,1,Z. LaVine makes free throw 2 of 2
1:25.0,J. Wall misses 2-pt shot from 18 ft,,102-94,,
1:22.0,,,102-94,,Defensive rebound by S. Muhammad
1:18.0,,,102-94,,Shooting foul by N. Hilario (drawn by R. Rubio)
1:18.0,,,102-95,1,R. Rubio makes free throw 1 of 2
1:18.0,,,102-96,1,R. Rubio makes free throw 2 of 2
0:54.0,B. Beal misses 2-pt shot from 15 ft,,102-96,,
0:53.0,,,102-96,,Defensive rebound by K. Towns
0:46.0,,,102-96,,Turnover by K. Towns (offensive foul)
0:46.0,,,102-96,,Offensive charge foul by K. Towns
0:27.0,J. Wall makes 2-pt shot from 18 ft,2,104-96,,
0:27.0,,,104-96,,Minnesota full timeout
0:20.0,,,104-96,,K. Towns misses 3-pt shot from 25 ft
0:19.0,,,104-96,,Offensive rebound by S. Muhammad
0:19.0,,,104-98,2,S. Muhammad makes 2-pt shot from 1 ft
0:09.0,,,104-98,,Personal take foul by R. Rubio (drawn by B. Beal)
0:00.0,End of 4th quarter,,,,End of 4th quarter
