time,Sacramento,pts.away,score,pts.home,Cleveland
5:26.0,,,91-109,,Turnover by K. Irving (lost ball; steal by R. Rondo)
5:26.0,,,91-109,,Personal foul by K. Irving (drawn by R. Rondo)
5:26.0,R. Rondo makes free throw 1 of 2,1,92-109,,
5:26.0,R. Rondo makes free throw 2 of 2,1,93-109,,
5:04.0,,,93-111,2,K. Irving makes 2-pt shot from 16 ft
4:53.0,D. Cousins misses 3-pt shot from 25 ft,,93-111,,
4:53.0,,,93-111,,Defensive rebound by K. Love
4:38.0,,,93-111,,Cleveland full timeout
4:38.0,S. Curry enters the game for R. Gay,,93-111,,
4:38.0,Q. Acy enters the game for D. Cousins,,93-111,,
4:38.0,J. Anderson enters the game for R. Rondo,,93-111,,
4:38.0,W. Cauley-Stein enters the game for D. Collison,,93-111,,
4:38.0,,,93-111,,J. Smith enters the game for K. Love
4:29.0,,,93-111,,K. Irving misses 2-pt shot from 15 ft
4:27.0,Defensive rebound by O. Casspi,,93-111,,
4:23.0,Q. Acy misses 2-pt shot from 1 ft,,93-111,,
4:22.0,,,93-111,,Defensive rebound by J. Smith
4:03.0,,,93-111,,J. Smith misses 3-pt shot from 24 ft
4:02.0,,,93-111,,Offensive rebound by I. Shumpert
3:54.0,,,93-114,3,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Irving)
3:37.0,O. Casspi misses 2-pt shot at rim,,93-114,,
3:35.0,Offensive rebound by W. Cauley-Stein,,93-114,,
3:33.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,93-114,,
3:29.0,,,93-114,,Defensive rebound by R. Jefferson
3:10.0,,,93-117,3,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith)
3:02.0,,,93-117,,Personal foul by R. Jefferson (drawn by S. Curry)
3:02.0,S. Curry misses free throw 1 of 2,,93-117,,
3:02.0,Offensive rebound by Team,,93-117,,
3:02.0,,,93-117,,M. Williams enters the game for J. Smith
3:02.0,,,93-117,,S. Kaun enters the game for K. Irving
3:02.0,,,93-117,,J. Cunningham enters the game for T. Mozgov
3:02.0,S. Curry misses free throw 2 of 2,,93-117,,
3:01.0,Offensive rebound by Q. Acy,,93-117,,
3:00.0,Q. Acy makes 2-pt shot at rim,2,95-117,,
3:00.0,Shooting foul by S. Kaun (drawn by Q. Acy),,95-117,,
3:00.0,Q. Acy makes free throw 1 of 1,1,96-117,,
2:44.0,,,96-117,,Turnover by J. Cunningham (bad pass; steal by Q. Acy)
2:28.0,Offensive foul by J. Anderson,,96-117,,
2:28.0,Turnover by J. Anderson (offensive foul),,96-117,,
2:15.0,,,96-117,,Turnover by I. Shumpert (bad pass; steal by O. Casspi)
2:13.0,Shooting foul by I. Shumpert (drawn by O. Casspi),,96-117,,
2:13.0,O. Casspi makes free throw 1 of 2,1,97-117,,
2:13.0,O. Casspi makes free throw 2 of 2,1,98-117,,
1:51.0,,,98-119,2,M. Williams makes 2-pt shot from 15 ft
1:42.0,S. Curry misses 2-pt shot from 18 ft,,98-119,,
1:42.0,,,98-119,,Defensive rebound by I. Shumpert
1:30.0,,,98-119,,I. Shumpert misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by W. Cauley-Stein,,98-119,,
1:25.0,Turnover by O. Casspi (bad pass; steal by J. Cunningham),,98-119,,
1:25.0,Personal foul by O. Casspi (drawn by J. Cunningham),,98-119,,
1:10.0,,,98-119,,Shooting foul by J. Anderson (drawn by S. Kaun)
1:10.0,,,98-119,,S. Kaun misses free throw 1 of 2
1:10.0,,,98-119,,Offensive rebound by Team
1:10.0,,,98-120,1,S. Kaun makes free throw 2 of 2
1:03.0,Turnover by J. Anderson (step out of bounds),,98-120,,
0:43.0,,,98-120,,Turnover by J. Cunningham (bad pass; steal by S. Curry)
0:39.0,J. Anderson makes 2-pt shot at rim (assist by O. Casspi),2,100-120,,
0:14.0,,,100-120,,J. Cunningham misses 3-pt shot from 28 ft
0:14.0,Defensive rebound by Team,,100-120,,
0:09.0,S. Curry misses 3-pt shot from 24 ft,,100-120,,
0:04.0,,,100-120,,Defensive rebound by S. Kaun
0:00.0,End of 4th quarter,,,,End of 4th quarter
