time,Phoenix,pts.away,score,pts.home,Detroit
3:35.0,J. Leuer misses 3-pt shot from 27 ft,,104-103,,
3:35.0,,,104-103,,Defensive rebound by E. Ilyasova
3:15.0,,,104-103,,K. Caldwell-Pope misses 2-pt shot from 8 ft
3:15.0,Defensive rebound by M. Teletovic,,104-103,,
2:55.0,E. Bledsoe misses 2-pt shot from 18 ft,,104-103,,
2:55.0,Offensive rebound by Team,,104-103,,
2:55.0,,,104-103,,Loose ball foul by M. Morris (drawn by J. Leuer)
2:40.0,E. Bledsoe misses 2-pt shot at rim,,104-103,,
2:40.0,Offensive rebound by E. Bledsoe,,104-103,,
2:38.0,Turnover by E. Bledsoe (bad pass; steal by K. Caldwell-Pope),,104-103,,
2:38.0,Personal foul by B. Knight (drawn by K. Caldwell-Pope),,104-103,,
2:38.0,C. Jefferson enters the game for J. Leuer,,104-103,,
2:38.0,,,104-103,,A. Baynes enters the game for A. Drummond
2:38.0,J. Leuer enters the game for C. Jefferson,,104-103,,
2:25.0,,,104-103,,Shooting foul by E. Bledsoe (drawn by R. Jackson)
2:25.0,,,104-104,1,R. Jackson makes free throw 1 of 2
2:25.0,,,104-105,1,R. Jackson makes free throw 2 of 2
1:59.0,J. Leuer misses 2-pt shot from 11 ft,,104-105,,
1:57.0,,,104-105,,Defensive rebound by M. Morris
1:47.0,,,104-107,2,R. Jackson makes 2-pt shot at rim
1:35.0,,,104-107,,Personal foul by K. Caldwell-Pope (drawn by B. Knight)
1:35.0,,,104-107,,A. Drummond enters the game for A. Baynes
1:20.0,M. Teletovic makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,107-107,,
1:09.0,,,107-109,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:58.0,J. Leuer makes 2-pt shot at rim (assist by E. Bledsoe),2,109-109,,
0:38.0,,,109-109,,Shooting foul by M. Teletovic (drawn by E. Ilyasova)
0:38.0,,,109-109,,E. Ilyasova misses free throw 1 of 3
0:38.0,,,109-109,,Offensive rebound by Team
0:38.0,,,109-109,,E. Ilyasova misses free throw 2 of 3
0:38.0,,,109-109,,Offensive rebound by Team
0:38.0,,,109-110,1,E. Ilyasova makes free throw 3 of 3
0:38.0,Phoenix full timeout,,109-110,,
0:38.0,,,109-110,,S. Johnson enters the game for E. Ilyasova
0:31.0,B. Knight makes 3-pt shot from 27 ft (assist by J. Leuer),3,112-110,,
0:31.0,,,112-110,,Detroit full timeout
0:31.0,,,112-110,,E. Ilyasova enters the game for S. Johnson
0:24.0,,,112-110,,E. Ilyasova misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by B. Knight,,112-110,,
0:23.0,Phoenix full timeout,,112-110,,
0:23.0,,,112-110,,S. Johnson enters the game for E. Ilyasova
0:21.0,Turnover by B. Knight (bad pass; steal by M. Morris),,112-110,,
0:19.0,,,112-110,,Detroit full timeout
0:19.0,,,112-110,,E. Ilyasova enters the game for S. Johnson
0:14.0,Personal foul by P. Tucker (drawn by A. Drummond),,112-110,,
0:14.0,,,112-111,1,A. Drummond makes free throw 1 of 2
0:14.0,A. Len enters the game for M. Teletovic,,112-111,,
0:14.0,,,112-112,1,A. Drummond makes free throw 2 of 2
0:14.0,Phoenix full timeout,,112-112,,
0:14.0,M. Teletovic enters the game for P. Tucker,,112-112,,
0:14.0,T. Warren enters the game for A. Len,,112-112,,
0:14.0,,,112-112,,S. Johnson enters the game for E. Ilyasova
0:02.0,B. Knight misses 2-pt shot from 13 ft,,112-112,,
0:01.0,,,112-112,,Defensive rebound by A. Drummond
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:48.0,,,112-114,2,R. Jackson makes 2-pt shot at rim
4:24.0,B. Knight misses 3-pt shot from 25 ft,,112-114,,
4:24.0,,,112-114,,Defensive rebound by A. Drummond
4:14.0,,,112-114,,Offensive foul by E. Ilyasova
4:14.0,,,112-114,,Turnover by E. Ilyasova (offensive foul)
3:56.0,P. Tucker misses 3-pt shot from 26 ft,,112-114,,
3:56.0,,,112-114,,Defensive rebound by K. Caldwell-Pope
3:47.0,,,112-114,,R. Jackson misses 2-pt shot at rim (block by P. Tucker)
3:47.0,,,112-114,,Offensive rebound by Team
3:44.0,,,112-116,2,R. Jackson makes 2-pt shot at rim (assist by M. Morris)
3:31.0,Shooting foul by R. Jackson (drawn by P. Tucker),,112-116,,
3:31.0,P. Tucker makes free throw 1 of 2,1,113-116,,
3:31.0,P. Tucker misses free throw 2 of 2,,113-116,,
3:30.0,,,113-116,,Defensive rebound by A. Drummond
3:13.0,,,113-118,2,R. Jackson makes 2-pt shot at rim
2:58.0,E. Bledsoe misses 3-pt shot from 26 ft,,113-118,,
2:56.0,,,113-118,,Defensive rebound by A. Drummond
2:36.0,,,113-120,2,M. Morris makes 2-pt shot from 10 ft
2:35.0,Phoenix full timeout,,113-120,,
2:35.0,T. Warren enters the game for M. Teletovic,,113-120,,
2:35.0,,,113-120,,S. Johnson enters the game for E. Ilyasova
2:24.0,B. Knight makes 2-pt shot from 18 ft,2,115-120,,
2:05.0,,,115-122,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
1:54.0,B. Knight makes 3-pt shot from 25 ft,3,118-122,,
1:36.0,,,118-122,,Shooting foul by T. Warren (drawn by A. Drummond)
1:36.0,,,118-122,,A. Drummond misses free throw 1 of 2
1:36.0,,,118-122,,Offensive rebound by Team
1:36.0,,,118-122,,A. Drummond misses free throw 2 of 2
1:34.0,Defensive rebound by P. Tucker,,118-122,,
1:27.0,T. Warren makes 2-pt shot from 1 ft (assist by P. Tucker),2,120-122,,
1:27.0,,,120-122,,Detroit full timeout
1:27.0,,,120-122,,A. Baynes enters the game for A. Drummond
1:27.0,,,120-122,,E. Ilyasova enters the game for S. Johnson
1:26.0,Personal foul by P. Tucker (drawn by R. Jackson),,120-122,,
1:26.0,,,120-123,1,R. Jackson makes free throw 1 of 2
1:26.0,,,120-123,,A. Drummond enters the game for A. Baynes
1:26.0,,,120-123,,S. Johnson enters the game for E. Ilyasova
1:26.0,,,120-124,1,R. Jackson makes free throw 2 of 2
1:12.0,B. Knight makes 2-pt shot from 21 ft,2,122-124,,
0:58.0,,,122-124,,Detroit full timeout
0:58.0,,,122-124,,E. Ilyasova enters the game for A. Drummond
0:58.0,,,122-124,,A. Baynes enters the game for S. Johnson
0:49.0,,,122-124,,R. Jackson misses 3-pt shot from 26 ft
0:48.0,,,122-124,,Offensive rebound by Team
0:48.0,,,122-124,,Turnover by Team (shot clock)
0:48.0,,,122-124,,A. Drummond enters the game for A. Baynes
0:48.0,,,122-124,,S. Johnson enters the game for E. Ilyasova
0:35.0,B. Knight misses 3-pt shot from 26 ft,,122-124,,
0:34.0,Offensive rebound by P. Tucker,,122-124,,
0:31.0,Offensive foul by P. Tucker,,122-124,,
0:31.0,Turnover by P. Tucker (offensive foul),,122-124,,
0:31.0,,,122-124,,A. Baynes enters the game for A. Drummond
0:31.0,,,122-124,,E. Ilyasova enters the game for S. Johnson
0:15.0,,,122-124,,Turnover by R. Jackson (lost ball; steal by J. Leuer)
0:09.0,T. Warren misses 2-pt shot from 7 ft,,122-124,,
0:09.0,,,122-124,,Defensive rebound by M. Morris
0:09.0,Personal foul by T. Warren (drawn by M. Morris),,122-124,,
0:09.0,,,122-124,,M. Morris misses free throw 1 of 2
0:09.0,,,122-124,,Offensive rebound by Team
0:09.0,,,122-124,,A. Drummond enters the game for A. Baynes
0:09.0,,,122-124,,S. Johnson enters the game for E. Ilyasova
0:09.0,A. Len enters the game for T. Warren,,122-124,,
0:09.0,,,122-125,1,M. Morris makes free throw 2 of 2
0:09.0,Phoenix full timeout,,122-125,,
0:09.0,T. Warren enters the game for A. Len,,122-125,,
0:09.0,,,122-125,,A. Tolliver enters the game for A. Drummond
0:06.0,,,122-125,,Personal foul by K. Caldwell-Pope (drawn by B. Knight)
0:06.0,Phoenix full timeout,,122-125,,
0:06.0,D. Booker enters the game for P. Tucker,,122-125,,
0:06.0,M. Teletovic enters the game for T. Warren,,122-125,,
0:03.0,B. Knight misses 3-pt shot from 23 ft,,122-125,,
0:03.0,,,122-125,,Defensive rebound by M. Morris
0:03.0,Personal foul by D. Booker (drawn by M. Morris),,122-125,,
0:03.0,,,122-126,1,M. Morris makes free throw 1 of 2
0:03.0,,,122-127,1,M. Morris makes free throw 2 of 2
0:01.0,E. Bledsoe misses 3-pt shot from 29 ft,,122-127,,
0:00.0,Offensive rebound by Team,,122-127,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
