time,Indiana,pts.away,score,pts.home,Denver
5:36.0,P. George makes free throw 2 of 2,1,113-108,,
5:26.0,,,113-108,,Turnover by D. Gallinari (offensive foul)
5:26.0,,,113-108,,Offensive foul by D. Gallinari
5:08.0,,,113-108,,Personal foul by K. Faried (drawn by J. Hill)
5:08.0,J. Hill makes free throw 1 of 2,1,114-108,,
5:08.0,J. Hill misses free throw 2 of 2,,114-108,,
5:08.0,,,114-108,,Defensive rebound by Team
5:07.0,Loose ball foul by S. Hill (drawn by K. Faried),,114-108,,
5:07.0,,,114-108,,K. Faried misses free throw 1 of 2
5:07.0,,,114-108,,Offensive rebound by Team
5:07.0,,,114-109,1,K. Faried makes free throw 2 of 2
4:55.0,Turnover by M. Ellis (bad pass; steal by E. Mudiay),,114-109,,
4:52.0,Shooting block foul by S. Hill (drawn by D. Gallinari),,114-109,,
4:52.0,,,114-110,1,D. Gallinari makes free throw 1 of 2
4:52.0,M. Turner enters the game for J. Hill,,114-110,,
4:52.0,,,114-111,1,D. Gallinari makes free throw 2 of 2
4:43.0,,,114-111,,Personal foul by W. Barton (drawn by P. George)
4:43.0,P. George makes free throw 1 of 2,1,115-111,,
4:43.0,P. George makes free throw 2 of 2,1,116-111,,
4:24.0,Shooting block foul by P. George (drawn by D. Gallinari),,116-111,,
4:24.0,,,116-112,1,D. Gallinari makes free throw 1 of 2
4:24.0,,,116-112,,D. Arthur enters the game for K. Faried
4:24.0,,,116-113,1,D. Gallinari makes free throw 2 of 2
4:10.0,M. Ellis makes 2-pt shot from 16 ft,2,118-113,,
3:53.0,,,118-115,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari)
3:53.0,,,118-115,,Shooting foul by G. Robinson (drawn by G. Harris)
3:53.0,,,118-116,1,G. Harris makes free throw 1 of 1
3:39.0,,,118-116,,Personal foul by D. Gallinari (drawn by M. Turner)
3:39.0,,,118-116,,R. Foye enters the game for D. Gallinari
3:39.0,M. Turner misses free throw 1 of 2,,118-116,,
3:39.0,Offensive rebound by Team,,118-116,,
3:39.0,M. Turner makes free throw 2 of 2,1,119-116,,
3:20.0,,,119-119,3,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye)
3:06.0,M. Ellis makes 2-pt shot from 20 ft (assist by M. Turner),2,121-119,,
2:47.0,,,121-119,,D. Arthur misses 2-pt shot from 19 ft
2:46.0,Defensive rebound by S. Hill,,121-119,,
2:29.0,P. George misses 2-pt shot from 10 ft,,121-119,,
2:28.0,,,121-119,,Defensive rebound by W. Barton
2:23.0,,,121-119,,W. Barton misses 2-pt shot from 1 ft
2:21.0,Defensive rebound by S. Hill,,121-119,,
2:16.0,M. Ellis misses 2-pt shot from 1 ft (block by R. Foye),,121-119,,
2:16.0,Offensive rebound by Team,,121-119,,
2:16.0,,,121-119,,Denver full timeout
2:16.0,C. Miles enters the game for G. Robinson,,121-119,,
2:04.0,M. Ellis misses 2-pt shot from 23 ft,,121-119,,
2:02.0,,,121-119,,Defensive rebound by W. Barton
1:50.0,,,121-119,,W. Barton misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by M. Ellis,,121-119,,
1:32.0,Shooting foul by G. Harris (drawn by M. Ellis),,121-119,,
1:32.0,M. Ellis misses free throw 1 of 2,,121-119,,
1:32.0,Offensive rebound by Team,,121-119,,
1:32.0,M. Ellis misses free throw 2 of 2,,121-119,,
1:32.0,,,121-119,,Defensive rebound by R. Foye
1:22.0,,,121-121,2,E. Mudiay makes 2-pt shot at rim
1:22.0,,,121-121,,Shooting foul by M. Turner (drawn by E. Mudiay)
1:22.0,,,121-121,,E. Mudiay misses free throw 1 of 1
1:21.0,Defensive rebound by P. George,,121-121,,
1:05.0,P. George makes 2-pt shot from 15 ft (assist by M. Ellis),2,123-121,,
0:53.0,,,123-123,2,W. Barton makes 2-pt shot from 4 ft
0:53.0,Violation by M. Turner (def goaltending),,123-123,,
0:40.0,P. George misses 2-pt shot from 15 ft,,123-123,,
0:39.0,,,123-123,,Defensive rebound by W. Barton
0:21.0,,,123-126,3,R. Foye makes 3-pt shot from 25 ft (assist by W. Barton)
0:21.0,Indiana full timeout,,123-126,,
0:18.0,,,123-126,,Personal foul by G. Harris (drawn by M. Ellis)
0:18.0,M. Ellis misses free throw 1 of 2,,123-126,,
0:18.0,Offensive rebound by Team,,123-126,,
0:18.0,M. Ellis makes free throw 2 of 2,1,124-126,,
0:17.0,Personal foul by M. Ellis (drawn by R. Foye),,124-126,,
0:17.0,,,124-127,1,R. Foye makes free throw 1 of 2
0:17.0,,,124-127,,R. Foye misses free throw 2 of 2
0:16.0,,,124-127,,Offensive rebound by W. Barton
0:14.0,,,124-127,,W. Barton misses 2-pt shot from 1 ft
0:14.0,Defensive rebound by M. Turner,,124-127,,
0:14.0,Indiana full timeout,,124-127,,
0:14.0,C. Budinger enters the game for S. Hill,,124-127,,
0:11.0,P. George misses 3-pt shot from 24 ft,,124-127,,
0:10.0,Offensive rebound by C. Miles,,124-127,,
0:10.0,Shooting foul by E. Mudiay (drawn by C. Miles),,124-127,,
0:10.0,C. Miles makes free throw 1 of 2,1,125-127,,
0:10.0,,,125-127,,N. Jokic enters the game for R. Foye
0:10.0,C. Miles makes free throw 2 of 2,1,126-127,,
0:06.0,Personal take foul by C. Budinger (drawn by W. Barton),,126-127,,
0:06.0,,,126-128,1,W. Barton makes free throw 1 of 2
0:06.0,,,126-128,,R. Foye enters the game for N. Jokic
0:06.0,,,126-129,1,W. Barton makes free throw 2 of 2
0:06.0,Indiana full timeout,,126-129,,
0:04.0,P. George misses 3-pt shot from 25 ft (block by E. Mudiay),,126-129,,
0:01.0,Offensive rebound by M. Turner,,126-129,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
