time,Houston,pts.away,score,pts.home,Charlotte
5:38.0,,,38-48,,Turnover by F. Kaminsky (lost ball; steal by T. Ariza)
5:27.0,M. Harrell makes 2-pt shot from 2 ft (assist by D. Howard),2,40-48,,
5:09.0,,,40-48,,F. Kaminsky misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by D. Howard,,40-48,,
5:03.0,M. Harrell makes 2-pt shot at rim (assist by D. Howard),2,42-48,,
4:39.0,,,42-50,2,J. Lin makes 2-pt shot from 4 ft (assist by C. Lee)
4:19.0,Shooting foul by J. Lin (drawn by J. Harden),,42-50,,
4:19.0,J. Harden makes free throw 1 of 2,1,43-50,,
4:19.0,C. Brewer enters the game for M. Harrell,,43-50,,
4:19.0,P. Beverley enters the game for J. Terry,,43-50,,
4:19.0,,,43-50,,M. Williams enters the game for F. Kaminsky
4:19.0,J. Harden makes free throw 2 of 2,1,44-50,,
4:03.0,,,44-50,,M. Williams misses 2-pt shot at rim
4:02.0,,,44-50,,Offensive rebound by M. Williams
4:02.0,,,44-52,2,M. Williams makes 2-pt shot at rim
3:46.0,C. Brewer misses 3-pt shot from 23 ft,,44-52,,
3:45.0,,,44-52,,Defensive rebound by A. Jefferson
3:39.0,,,44-52,,J. Lin misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by D. Howard,,44-52,,
3:36.0,Shooting foul by A. Jefferson (drawn by J. Harden),,44-52,,
3:36.0,J. Harden makes free throw 1 of 2,1,45-52,,
3:36.0,,,45-52,,N. Batum enters the game for J. Lin
3:36.0,J. Harden misses free throw 2 of 2,,45-52,,
3:35.0,,,45-52,,Defensive rebound by A. Jefferson
3:23.0,,,45-52,,N. Batum misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by C. Brewer,,45-52,,
3:10.0,P. Beverley misses 2-pt shot from 5 ft,,45-52,,
3:08.0,Offensive rebound by J. Harden,,45-52,,
3:08.0,D. Howard makes 2-pt shot from 1 ft,2,47-52,,
2:47.0,,,47-54,2,M. Williams makes 2-pt shot from 5 ft
2:37.0,,,47-54,,Personal foul by K. Walker
2:37.0,Houston full timeout,,47-54,,
2:37.0,,,47-54,,J. Lin enters the game for K. Walker
2:37.0,C. Brewer makes free throw 1 of 2,1,48-54,,
2:37.0,C. Brewer makes free throw 2 of 2,1,49-54,,
2:27.0,,,49-56,2,N. Batum makes 2-pt shot from 18 ft (assist by J. Lin)
2:15.0,T. Ariza misses 2-pt shot from 18 ft,,49-56,,
2:14.0,,,49-56,,Defensive rebound by N. Batum
1:55.0,,,49-56,,Turnover by N. Batum (lost ball; steal by J. Harden)
1:50.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,51-56,,
1:28.0,,,51-58,2,N. Batum makes 2-pt shot from 15 ft
1:12.0,T. Ariza makes 2-pt shot from 1 ft,2,53-58,,
0:55.0,Personal foul by J. Harden,,53-58,,
0:55.0,,,53-59,1,M. Williams makes free throw 1 of 2
0:55.0,,,53-60,1,M. Williams makes free throw 2 of 2
0:39.0,T. Ariza misses 2-pt shot from 1 ft,,53-60,,
0:39.0,Offensive rebound by T. Ariza,,53-60,,
0:39.0,T. Ariza makes 2-pt shot from 1 ft,2,55-60,,
0:23.0,,,55-60,,Shooting foul by J. Harden (drawn by J. Lin)
0:23.0,,,55-61,1,J. Lin makes free throw 1 of 2
0:23.0,,,55-62,1,J. Lin makes free throw 2 of 2
0:02.0,C. Brewer makes 2-pt shot from 11 ft,2,57-62,,
0:02.0,,,57-62,,Turnover by M. Williams (lost ball; steal by C. Brewer)
0:01.0,C. Brewer misses 2-pt shot from 11 ft,,57-62,,
0:00.0,Offensive rebound by Team,,57-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Harden misses 2-pt shot from 18 ft,,57-62,,
11:45.0,,,57-62,,Defensive rebound by M. Williams
11:30.0,Violation by T. Ariza (kicked ball),,57-62,,
11:21.0,,,57-65,3,K. Walker makes 3-pt shot from 26 ft (assist by C. Zeller)
11:09.0,C. Brewer makes 2-pt shot at rim (assist by D. Howard),2,59-65,,
10:48.0,,,59-65,,Turnover by C. Zeller (lost ball)
10:31.0,J. Harden makes 2-pt shot from 16 ft,2,61-65,,
10:17.0,Def 3 sec tech foul by D. Howard,,61-65,,
10:17.0,,,61-66,1,N. Batum makes technical free throw
10:09.0,,,61-66,,C. Lee misses 2-pt shot from 17 ft
10:07.0,Defensive rebound by T. Ariza,,61-66,,
9:56.0,J. Harden misses 2-pt shot from 13 ft,,61-66,,
9:55.0,Offensive rebound by D. Howard,,61-66,,
9:55.0,D. Howard makes 2-pt shot at rim,2,63-66,,
9:37.0,,,63-68,2,K. Walker makes 2-pt shot from 18 ft
9:16.0,T. Ariza misses 3-pt shot from 24 ft,,63-68,,
9:14.0,,,63-68,,Defensive rebound by K. Walker
9:11.0,,,63-68,,Turnover by K. Walker (lost ball; steal by J. Harden)
9:07.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden),2,65-68,,
8:47.0,,,65-68,,M. Williams misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by D. Howard,,65-68,,
8:38.0,Offensive foul by D. Howard,,65-68,,
8:38.0,Turnover by D. Howard (offensive foul),,65-68,,
8:21.0,,,65-68,,N. Batum misses 2-pt shot from 7 ft
8:20.0,,,65-68,,Offensive rebound by C. Zeller
8:20.0,,,65-70,2,C. Zeller makes 2-pt shot at rim
8:07.0,Turnover by P. Beverley (lost ball; steal by N. Batum),,65-70,,
8:07.0,Personal foul by P. Beverley,,65-70,,
7:55.0,,,65-70,,M. Williams misses 2-pt shot from 17 ft
7:54.0,Defensive rebound by D. Howard,,65-70,,
7:32.0,C. Brewer misses 2-pt shot from 20 ft,,65-70,,
7:30.0,,,65-70,,Defensive rebound by K. Walker
7:26.0,Personal foul by P. Beverley,,65-70,,
7:26.0,K. McDaniels enters the game for C. Brewer,,65-70,,
7:14.0,,,65-70,,C. Lee misses 2-pt shot from 18 ft
7:13.0,Defensive rebound by D. Howard,,65-70,,
6:59.0,T. Ariza misses 2-pt shot from 1 ft,,65-70,,
6:59.0,Offensive rebound by Team,,65-70,,
6:59.0,,,65-70,,Loose ball foul by M. Williams
6:49.0,K. McDaniels makes 3-pt shot from 23 ft (assist by T. Ariza),3,68-70,,
6:35.0,,,68-73,3,K. Walker makes 3-pt shot from 25 ft
6:19.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,71-73,,
6:06.0,Personal foul by P. Beverley,,71-73,,
6:06.0,,,71-73,,A. Jefferson enters the game for C. Zeller
6:06.0,J. Terry enters the game for P. Beverley,,71-73,,
5:56.0,,,71-73,,A. Jefferson misses 2-pt shot from 5 ft
5:55.0,Defensive rebound by J. Harden,,71-73,,
