time,Atlanta,pts.away,score,pts.home,Sacramento
1:20.0,,,42-45,,Q. Acy enters the game for D. Cousins
1:16.0,K. Korver misses 3-pt shot from 26 ft,,42-45,,
1:15.0,,,42-45,,Defensive rebound by B. McLemore
1:04.0,,,42-45,,K. Koufos misses 2-pt shot from 3 ft
1:04.0,Defensive rebound by A. Horford,,42-45,,
1:00.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,44-45,,
0:44.0,,,44-45,,B. McLemore misses 2-pt shot from 16 ft
0:43.0,Defensive rebound by P. Millsap,,44-45,,
0:31.0,K. Korver misses 3-pt shot from 23 ft,,44-45,,
0:31.0,,,44-45,,Defensive rebound by Q. Acy
0:13.0,,,44-45,,Shooting foul by A. Horford (drawn by K. Koufos)
0:13.0,,,44-46,1,K. Koufos makes free throw 1 of 2
0:13.0,M. Scott enters the game for P. Millsap,,44-46,,
0:13.0,,,44-46,,J. Anderson enters the game for Q. Acy
0:13.0,,,44-47,1,K. Koufos makes free throw 2 of 2
0:03.0,A. Horford misses 2-pt shot from 19 ft,,44-47,,
0:00.0,,,44-47,,Defensive rebound by J. Anderson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by K. Korver (drawn by D. Cousins),,44-47,,
11:39.0,,,44-49,2,R. Rondo makes 2-pt shot from 1 ft
11:23.0,J. Teague makes 2-pt shot from 9 ft (assist by K. Bazemore),2,46-49,,
11:15.0,,,46-49,,B. McLemore misses 3-pt shot from 24 ft
11:14.0,,,46-49,,Offensive rebound by W. Cauley-Stein
11:00.0,,,46-49,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by P. Millsap)
10:58.0,Defensive rebound by P. Millsap,,46-49,,
10:51.0,K. Korver misses 3-pt shot from 24 ft,,46-49,,
10:51.0,Offensive rebound by P. Millsap,,46-49,,
10:49.0,P. Millsap misses 2-pt shot from 2 ft,,46-49,,
10:46.0,Offensive rebound by P. Millsap,,46-49,,
10:45.0,Turnover by P. Millsap (bad pass; steal by W. Cauley-Stein),,46-49,,
10:41.0,,,46-49,,O. Casspi misses 2-pt shot from 2 ft (block by J. Teague)
10:39.0,Defensive rebound by J. Teague,,46-49,,
10:26.0,J. Teague misses 3-pt shot from 24 ft,,46-49,,
10:23.0,Offensive rebound by A. Horford,,46-49,,
10:14.0,A. Horford makes 2-pt shot from 4 ft (assist by J. Teague),2,48-49,,
10:00.0,,,48-49,,D. Cousins misses 2-pt shot from 3 ft (block by P. Millsap)
9:58.0,,,48-49,,Offensive rebound by O. Casspi
9:53.0,,,48-49,,Turnover by B. McLemore (lost ball; steal by K. Korver)
9:49.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,50-49,,
9:43.0,,,50-49,,Sacramento full timeout
9:27.0,,,50-49,,Shooting foul by A. Horford (drawn by D. Cousins)
9:27.0,,,50-49,,D. Cousins misses free throw 1 of 2
9:27.0,,,50-49,,Offensive rebound by Team
9:27.0,,,50-50,1,D. Cousins makes free throw 2 of 2
9:21.0,Offensive charge foul by J. Teague,,50-50,,
9:21.0,Turnover by J. Teague (offensive foul),,50-50,,
9:08.0,,,50-52,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
8:53.0,Turnover by P. Millsap (lost ball; steal by B. McLemore),,50-52,,
8:49.0,,,50-54,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore)
8:33.0,J. Teague misses 3-pt shot from 25 ft,,50-54,,
8:32.0,,,50-54,,Defensive rebound by W. Cauley-Stein
8:19.0,,,50-54,,R. Rondo misses 2-pt shot from 10 ft
8:18.0,Defensive rebound by A. Horford,,50-54,,
8:12.0,Turnover by J. Teague (traveling),,50-54,,
7:46.0,,,50-54,,R. Rondo misses 2-pt shot from 21 ft
7:45.0,,,50-54,,Offensive rebound by B. McLemore
7:38.0,,,50-57,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
7:38.0,,,50-57,,Shooting foul by J. Teague (drawn by B. McLemore)
7:38.0,,,50-58,1,B. McLemore makes free throw 1 of 1
7:17.0,K. Bazemore misses 2-pt shot from 19 ft,,50-58,,
7:16.0,,,50-58,,Defensive rebound by D. Cousins
7:09.0,T. Splitter enters the game for A. Horford,,50-58,,
7:09.0,T. Sefolosha enters the game for K. Bazemore,,50-58,,
7:01.0,,,50-58,,Turnover by D. Cousins (bad pass; steal by K. Korver)
6:56.0,J. Teague misses 2-pt shot at rim,,50-58,,
6:55.0,,,50-58,,Defensive rebound by R. Rondo
6:49.0,,,50-61,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
6:49.0,Atlanta full timeout,,50-61,,
6:49.0,D. Schroder enters the game for J. Teague,,50-61,,
6:37.0,Turnover by D. Schroder (bad pass; steal by W. Cauley-Stein),,50-61,,
6:25.0,,,50-63,2,R. Rondo makes 2-pt shot from 2 ft
5:56.0,T. Sefolosha misses 3-pt shot from 24 ft,,50-63,,
5:56.0,,,50-63,,Defensive rebound by W. Cauley-Stein
5:32.0,,,50-63,,O. Casspi misses 3-pt shot from 22 ft
5:32.0,Defensive rebound by P. Millsap,,50-63,,
