time,Denver,pts.away,score,pts.home,Chicago
4:01.0,,,81-89,,J. Butler misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by W. Barton,,81-89,,
3:54.0,W. Barton makes 2-pt shot from 1 ft,2,83-89,,
3:34.0,,,83-89,,P. Gasol misses 2-pt shot from 18 ft
3:33.0,Defensive rebound by J. Hickson,,83-89,,
3:24.0,W. Barton misses 2-pt shot from 9 ft,,83-89,,
3:23.0,Offensive rebound by W. Barton,,83-89,,
3:20.0,Offensive foul by K. Faried,,83-89,,
3:20.0,Turnover by K. Faried (offensive foul),,83-89,,
3:20.0,,,83-89,,Chicago full timeout
3:01.0,,,83-91,2,J. Butler makes 2-pt shot from 17 ft
2:51.0,D. Gallinari misses 2-pt shot from 22 ft,,83-91,,
2:50.0,Offensive rebound by K. Faried,,83-91,,
2:48.0,J. Hickson makes 2-pt shot at rim (assist by K. Faried),2,85-91,,
2:30.0,,,85-91,,D. Rose misses 2-pt shot from 18 ft
2:29.0,Defensive rebound by D. Gallinari,,85-91,,
2:22.0,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay),2,87-91,,
2:07.0,,,87-91,,Shooting foul by J. Hickson (drawn by D. Rose)
2:07.0,,,87-92,1,D. Rose makes free throw 1 of 2
2:07.0,,,87-93,1,D. Rose makes free throw 2 of 2
1:55.0,D. Gallinari misses 3-pt shot from 26 ft,,87-93,,
1:54.0,,,87-93,,Defensive rebound by D. McDermott
1:39.0,,,87-95,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
1:39.0,Denver full timeout,,87-95,,
1:30.0,W. Barton misses 3-pt shot from 23 ft,,87-95,,
1:29.0,,,87-95,,Defensive rebound by P. Gasol
1:10.0,,,87-95,,D. Rose misses 3-pt shot from 25 ft
1:09.0,,,87-95,,Offensive rebound by J. Noah
1:09.0,,,87-95,,J. Noah misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by W. Barton,,87-95,,
1:01.0,E. Mudiay misses 3-pt shot from 23 ft,,87-95,,
0:59.0,,,87-95,,Defensive rebound by P. Gasol
0:53.0,Personal take foul by K. Faried (drawn by J. Butler),,87-95,,
0:52.0,Personal take foul by J. Hickson (drawn by J. Noah),,87-95,,
0:52.0,,,87-96,1,J. Noah makes free throw 1 of 2
0:52.0,,,87-96,,J. Noah misses free throw 2 of 2
0:51.0,Defensive rebound by K. Faried,,87-96,,
0:51.0,M. Miller enters the game for J. Hickson,,87-96,,
0:51.0,Denver full timeout,,87-96,,
0:48.0,D. Gallinari makes 2-pt shot at rim,2,89-96,,
0:47.0,Personal take foul by M. Miller (drawn by P. Gasol),,89-96,,
0:47.0,,,89-96,,P. Gasol misses free throw 1 of 2
0:47.0,,,89-96,,Offensive rebound by Team
0:47.0,,,89-96,,P. Gasol misses free throw 2 of 2
0:43.0,Defensive rebound by K. Faried,,89-96,,
0:35.0,M. Miller misses 3-pt shot from 24 ft,,89-96,,
0:33.0,,,89-96,,Defensive rebound by P. Gasol
0:29.0,Personal take foul by E. Mudiay (drawn by D. Rose),,89-96,,
0:29.0,,,89-97,1,D. Rose makes free throw 1 of 2
0:29.0,,,89-97,,T. Snell enters the game for P. Gasol
0:29.0,D. Arthur enters the game for K. Faried,,89-97,,
0:29.0,,,89-97,,D. Rose misses free throw 2 of 2
0:29.0,Defensive rebound by M. Miller,,89-97,,
0:19.0,,,89-97,,Personal foul by J. Noah (drawn by W. Barton)
0:19.0,W. Barton makes free throw 1 of 2,1,90-97,,
0:19.0,,,90-97,,P. Gasol enters the game for J. Noah
0:19.0,W. Barton misses free throw 2 of 2,,90-97,,
0:19.0,,,90-97,,Defensive rebound by P. Gasol
0:18.0,Personal take foul by D. Arthur (drawn by P. Gasol),,90-97,,
0:18.0,,,90-98,1,P. Gasol makes free throw 1 of 2
0:18.0,,,90-99,1,P. Gasol makes free throw 2 of 2
0:12.0,E. Mudiay misses 2-pt shot from 3 ft,,90-99,,
0:11.0,,,90-99,,Defensive rebound by P. Gasol
0:00.0,End of 4th quarter,,,,End of 4th quarter
