time,Phoenix,pts.away,score,pts.home,Miami
4:42.0,,,86-97,,Shooting foul by D. Booker (drawn by D. Wade)
4:42.0,,,86-98,1,D. Wade makes free throw 1 of 2
4:42.0,,,86-98,,J. Richardson enters the game for G. Dragic
4:42.0,,,86-98,,D. Wade misses free throw 2 of 2
4:41.0,Defensive rebound by M. Teletovic,,86-98,,
4:28.0,D. Booker makes 2-pt shot from 17 ft,2,88-98,,
4:28.0,,,88-98,,Miami full timeout
4:16.0,,,88-98,,Shooting foul by A. Len (drawn by J. Winslow)
4:16.0,,,88-99,1,J. Winslow makes free throw 1 of 2
4:16.0,,,88-100,1,J. Winslow makes free throw 2 of 2
4:04.0,,,88-100,,Personal foul by D. Wade (drawn by P. Tucker)
3:50.0,Turnover by Team (shot clock),,88-100,,
3:40.0,Personal foul by A. Len (drawn by D. Wade),,88-100,,
3:24.0,,,88-103,3,J. Johnson makes 3-pt shot from 23 ft (assist by D. Wade)
3:15.0,,,88-103,,Personal foul by J. Richardson (drawn by D. Booker)
3:15.0,D. Booker makes free throw 1 of 2,1,89-103,,
3:15.0,D. Booker makes free throw 2 of 2,1,90-103,,
3:01.0,,,90-103,,D. Wade misses 2-pt shot from 1 ft
3:00.0,,,90-103,,Offensive rebound by A. Stoudemire
2:49.0,,,90-103,,Turnover by D. Wade (lost ball)
2:38.0,,,90-103,,Personal foul by A. Stoudemire (drawn by D. Booker)
2:38.0,D. Booker makes free throw 1 of 2,1,91-103,,
2:38.0,,,91-103,,G. Dragic enters the game for J. Richardson
2:38.0,D. Booker makes free throw 2 of 2,1,92-103,,
2:18.0,,,92-103,,J. Johnson misses 2-pt shot from 18 ft
2:17.0,,,92-103,,Offensive rebound by A. Stoudemire
2:05.0,,,92-103,,Shooting foul by A. Len (drawn by D. Wade)
2:05.0,,,92-104,1,D. Wade makes free throw 1 of 2
2:05.0,,,92-105,1,D. Wade makes free throw 2 of 2
1:48.0,A. Len misses 2-pt shot from 7 ft,,92-105,,
1:47.0,,,92-105,,Defensive rebound by J. Winslow
1:22.0,,,92-105,,J. Winslow misses 2-pt shot from 10 ft
1:21.0,Defensive rebound by D. Booker,,92-105,,
1:18.0,Turnover by D. Booker (lost ball; steal by J. Winslow),,92-105,,
1:00.0,,,92-105,,Turnover by G. Dragic (bad pass)
1:00.0,Phoenix full timeout,,92-105,,
0:47.0,D. Booker misses 3-pt shot from 24 ft,,92-105,,
0:46.0,Offensive rebound by P. Tucker,,92-105,,
0:42.0,J. Jenkins misses 3-pt shot from 24 ft,,92-105,,
0:41.0,,,92-105,,Defensive rebound by D. Wade
0:21.0,,,92-108,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade)
0:14.0,J. Jenkins misses 3-pt shot from 24 ft,,92-108,,
0:13.0,,,92-108,,Defensive rebound by G. Dragic
0:00.0,End of 4th quarter,,,,End of 4th quarter
