time,Phoenix,pts.away,score,pts.home,San Antonio
10:36.0,T. Chandler enters the game for J. Leuer,,60-71,,
10:15.0,B. Knight makes 2-pt shot from 6 ft,2,62-71,,
10:02.0,,,62-71,,Turnover by T. Duncan (dbl dribble)
9:50.0,B. Knight misses 2-pt shot from 19 ft,,62-71,,
9:49.0,,,62-71,,Defensive rebound by T. Parker
9:41.0,,,62-73,2,T. Parker makes 2-pt shot from 15 ft
9:32.0,,,62-73,,Personal foul by M. Ginobili (drawn by M. Teletovic)
9:23.0,B. Knight makes 2-pt shot from 8 ft (assist by R. Price),2,64-73,,
9:02.0,,,64-73,,K. Anderson misses 2-pt shot from 14 ft
9:01.0,Defensive rebound by T. Chandler,,64-73,,
8:48.0,Turnover by T. Chandler (3 sec),,64-73,,
8:36.0,,,64-73,,P. Mills misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by Team,,64-73,,
8:24.0,Turnover by T. Warren (traveling),,64-73,,
8:02.0,,,64-75,2,T. Parker makes 2-pt shot at rim
7:52.0,Turnover by R. Price (bad pass; steal by T. Duncan),,64-75,,
7:45.0,,,64-78,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
7:45.0,Phoenix full timeout,,64-78,,
7:45.0,,,64-78,,K. Leonard enters the game for K. Anderson
7:45.0,D. Booker enters the game for T. Warren,,64-78,,
7:45.0,M. Morris enters the game for T. Chandler,,64-78,,
7:31.0,,,64-78,,Personal foul by T. Duncan (drawn by B. Knight)
7:26.0,M. Morris makes 2-pt shot at rim (assist by B. Knight),2,66-78,,
7:07.0,,,66-80,2,T. Parker makes 2-pt shot from 6 ft (assist by M. Ginobili)
6:56.0,D. Booker makes 2-pt shot from 2 ft (assist by M. Morris),2,68-80,,
6:36.0,P. Tucker enters the game for R. Price,,68-80,,
6:36.0,,,68-80,,D. Green enters the game for M. Ginobili
6:35.0,Jump ball: T. Duncan vs. M. Morris (P. Mills gains possession),,,,Jump ball: T. Duncan vs. M. Morris (P. Mills gains possession)
6:31.0,,,68-80,,Turnover by T. Parker (lost ball; steal by B. Knight)
6:30.0,,,68-80,,Clear path foul by T. Duncan
6:30.0,B. Knight makes clear path free throw 1 of 2,1,69-80,,
6:30.0,B. Knight makes clear path free throw 2 of 2,1,70-80,,
6:10.0,Turnover by M. Morris (bad pass; steal by T. Parker),,70-80,,
6:06.0,,,70-82,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
5:53.0,B. Knight misses 2-pt shot from 8 ft (block by K. Leonard),,70-82,,
5:52.0,Offensive rebound by D. Booker,,70-82,,
5:42.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Morris),3,73-82,,
5:22.0,,,73-84,2,K. Leonard makes 2-pt shot from 8 ft
5:12.0,Turnover by M. Morris (bad pass),,73-84,,
4:47.0,,,73-84,,K. Leonard misses 2-pt shot from 13 ft
4:45.0,,,73-84,,Offensive rebound by Team
4:45.0,,,73-84,,San Antonio full timeout
4:38.0,,,73-86,2,D. Green makes 2-pt shot from 17 ft (assist by T. Parker)
4:21.0,B. Knight makes 2-pt shot from 1 ft,2,75-86,,
4:12.0,,,75-88,2,T. Parker makes 2-pt shot from 1 ft
3:55.0,P. Tucker misses 2-pt shot from 21 ft,,75-88,,
3:54.0,,,75-88,,Defensive rebound by D. Green
3:43.0,,,75-90,2,T. Parker makes 2-pt shot from 19 ft
3:28.0,B. Knight makes 2-pt shot from 1 ft,2,77-90,,
3:01.0,,,77-90,,K. Leonard misses 3-pt shot from 25 ft
