time,Boston,pts.away,score,pts.home,Phoenix
3:07.0,A. Johnson enters the game for J. Sullinger,,96-91,,
2:46.0,A. Bradley makes 2-pt shot from 19 ft,2,98-91,,
2:19.0,,,98-93,2,D. Booker makes 2-pt shot from 2 ft
2:07.0,I. Thomas misses 2-pt shot from 6 ft,,98-93,,
2:05.0,,,98-93,,Defensive rebound by P. Tucker
1:50.0,,,98-95,2,M. Teletovic makes 2-pt shot at rim (assist by D. Booker)
1:34.0,J. Jerebko misses 3-pt shot from 24 ft,,98-95,,
1:32.0,,,98-95,,Defensive rebound by D. Booker
1:22.0,,,98-95,,M. Teletovic misses 3-pt shot from 24 ft
1:21.0,,,98-95,,Offensive rebound by A. Len
1:16.0,,,98-97,2,D. Booker makes 2-pt shot from 16 ft
1:16.0,Boston full timeout,,98-97,,
1:16.0,E. Turner enters the game for A. Johnson,,98-97,,
1:16.0,K. Olynyk enters the game for J. Jerebko,,98-97,,
1:11.0,A. Bradley misses 2-pt shot from 2 ft,,98-97,,
1:09.0,,,98-97,,Defensive rebound by M. Teletovic
1:02.0,,,98-97,,Phoenix full timeout
1:02.0,A. Johnson enters the game for I. Thomas,,98-97,,
1:02.0,J. Jerebko enters the game for K. Olynyk,,98-97,,
0:58.0,,,98-97,,D. Booker misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by E. Turner,,98-97,,
0:56.0,,,98-97,,Personal foul by P. Tucker
0:56.0,I. Thomas enters the game for A. Johnson,,98-97,,
0:38.0,I. Thomas misses 3-pt shot from 24 ft,,98-97,,
0:36.0,,,98-97,,Defensive rebound by A. Len
0:24.0,,,98-97,,B. Knight misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by Team,,98-97,,
0:21.0,,,98-97,,Personal foul by M. Teletovic
0:21.0,M. Smart makes free throw 1 of 2,1,99-97,,
0:21.0,A. Johnson enters the game for I. Thomas,,99-97,,
0:21.0,M. Smart makes free throw 2 of 2,1,100-97,,
0:21.0,,,100-97,,Phoenix full timeout
0:18.0,,,100-97,,D. Booker misses 2-pt shot from 7 ft
0:16.0,,,100-97,,Offensive rebound by D. Booker
0:16.0,,,100-99,2,D. Booker makes 2-pt shot from 2 ft
0:15.0,Boston full timeout,,100-99,,
0:15.0,I. Thomas enters the game for A. Johnson,,100-99,,
0:15.0,,,100-99,,R. Price enters the game for A. Len
0:14.0,,,100-99,,Personal take foul by B. Knight
0:14.0,I. Thomas misses free throw 1 of 2,,100-99,,
0:14.0,Offensive rebound by Team,,100-99,,
0:14.0,,,100-99,,A. Len enters the game for R. Price
0:14.0,A. Johnson enters the game for J. Jerebko,,100-99,,
0:14.0,I. Thomas makes free throw 2 of 2,1,101-99,,
0:04.0,,,101-99,,D. Booker misses 2-pt shot from 8 ft (block by E. Turner)
0:02.0,Defensive rebound by M. Smart,,101-99,,
0:02.0,,,101-99,,Personal take foul by M. Teletovic
0:02.0,M. Smart makes free throw 1 of 2,1,102-99,,
0:02.0,J. Jerebko enters the game for I. Thomas,,102-99,,
0:02.0,M. Smart misses free throw 2 of 2,,102-99,,
0:02.0,,,102-99,,Defensive rebound by P. Tucker
0:00.0,End of 4th quarter,,,,End of 4th quarter
