time,Golden State,pts.away,score,pts.home,Denver
4:01.0,Offensive rebound by Team,,79-73,,
3:58.0,K. Thompson misses 3-pt shot from 24 ft,,79-73,,
3:56.0,,,79-73,,Defensive rebound by W. Barton
3:48.0,,,79-73,,Turnover by W. Barton (bad pass; steal by A. Iguodala)
3:45.0,Shooting foul by J. Nelson (drawn by H. Barnes),,79-73,,
3:45.0,H. Barnes makes free throw 1 of 2,1,80-73,,
3:45.0,H. Barnes makes free throw 2 of 2,1,81-73,,
3:34.0,,,81-73,,W. Barton misses 2-pt shot from 8 ft
3:30.0,,,81-73,,Offensive rebound by W. Barton
3:26.0,,,81-73,,G. Harris misses 3-pt shot from 23 ft
3:24.0,,,81-73,,Offensive rebound by N. Jokic
3:24.0,,,81-73,,Shooting foul by A. Iguodala (drawn by N. Jokic)
3:24.0,,,81-73,,N. Jokic misses free throw 1 of 2
3:24.0,,,81-73,,Offensive rebound by Team
3:24.0,,,81-73,,N. Jokic misses free throw 2 of 2
3:23.0,Defensive rebound by F. Ezeli,,81-73,,
3:06.0,H. Barnes makes 2-pt shot at rim (assist by A. Iguodala),2,83-73,,
2:50.0,,,83-73,,G. Harris misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by A. Iguodala,,83-73,,
2:40.0,F. Ezeli misses 2-pt shot at rim,,83-73,,
2:39.0,Offensive rebound by H. Barnes,,83-73,,
2:30.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,86-73,,
2:16.0,,,86-73,,W. Barton misses 2-pt shot from 4 ft
2:16.0,Defensive rebound by A. Iguodala,,86-73,,
2:16.0,Turnover by A. Iguodala (lost ball),,86-73,,
2:16.0,,,86-73,,R. Foye enters the game for G. Harris
2:16.0,,,86-73,,D. Arthur enters the game for N. Jokic
2:16.0,S. Livingston enters the game for K. Thompson,,86-73,,
2:01.0,,,86-73,,D. Gallinari misses 2-pt shot from 17 ft
1:59.0,Defensive rebound by F. Ezeli,,86-73,,
