time,Detroit,pts.away,score,pts.home,Philadelphia
6:19.0,R. Jackson misses 2-pt shot from 1 ft,,100-79,,
6:17.0,,,100-79,,Defensive rebound by J. Okafor
6:06.0,,,100-79,,H. Thompson misses 2-pt shot from 7 ft (block by A. Drummond)
6:04.0,,,100-79,,Offensive rebound by R. Covington
6:01.0,,,100-81,2,J. Okafor makes 2-pt shot at rim (assist by R. Covington)
5:57.0,Detroit full timeout,,100-81,,
5:57.0,K. Caldwell-Pope enters the game for S. Johnson,,100-81,,
5:39.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson),3,103-81,,
5:27.0,,,103-81,,J. Okafor misses 2-pt shot from 17 ft
5:25.0,Defensive rebound by A. Tolliver,,103-81,,
5:21.0,Turnover by R. Jackson (bad pass; steal by R. Covington),,103-81,,
5:16.0,,,103-81,,R. Covington misses 3-pt shot from 27 ft
5:13.0,Defensive rebound by M. Morris,,103-81,,
4:57.0,R. Jackson misses 2-pt shot from 1 ft,,103-81,,
4:56.0,,,103-81,,Defensive rebound by H. Thompson
4:49.0,,,103-81,,Turnover by N. Stauskas (bad pass; steal by A. Tolliver)
4:30.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,103-81,,
4:29.0,Offensive rebound by A. Drummond,,103-81,,
4:25.0,A. Drummond makes 2-pt shot from 5 ft,2,105-81,,
4:07.0,,,105-81,,N. Stauskas misses 3-pt shot from 25 ft
4:05.0,,,105-81,,Offensive rebound by T. McConnell
3:57.0,,,105-83,2,N. Stauskas makes 2-pt shot at rim
3:48.0,,,105-83,,Personal foul by R. Covington (drawn by A. Drummond)
3:48.0,,,105-83,,N. Noel enters the game for J. Okafor
3:38.0,A. Drummond misses 2-pt shot from 11 ft,,105-83,,
3:36.0,,,105-83,,Defensive rebound by R. Covington
3:24.0,,,105-83,,T. McConnell misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by A. Drummond,,105-83,,
3:10.0,R. Jackson misses 2-pt shot from 12 ft,,105-83,,
3:09.0,,,105-83,,Defensive rebound by T. McConnell
2:56.0,,,105-85,2,H. Thompson makes 2-pt shot at rim (assist by N. Noel)
2:49.0,,,105-85,,Personal foul by T. McConnell (drawn by A. Drummond)
2:49.0,D. Hilliard enters the game for M. Morris,,105-85,,
2:49.0,S. Johnson enters the game for A. Drummond,,105-85,,
2:49.0,A. Baynes enters the game for K. Caldwell-Pope,,105-85,,
2:49.0,S. Blake enters the game for R. Jackson,,105-85,,
2:49.0,,,105-85,,R. Holmes enters the game for R. Covington
2:37.0,D. Hilliard misses 2-pt shot from 2 ft,,105-85,,
2:36.0,,,105-85,,Defensive rebound by N. Noel
2:20.0,,,105-85,,N. Noel misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by S. Johnson,,105-85,,
2:16.0,,,105-85,,Personal foul by N. Stauskas (drawn by S. Johnson)
2:11.0,Turnover by S. Johnson (traveling),,105-85,,
1:51.0,,,105-85,,Shooting foul by S. Johnson (drawn by H. Thompson)
1:51.0,,,105-87,2,H. Thompson makes 2-pt shot from 7 ft (assist by T. McConnell)
1:51.0,R. Bullock enters the game for S. Johnson,,105-87,,
1:51.0,,,105-88,1,H. Thompson makes free throw 1 of 1
1:38.0,R. Bullock misses 3-pt shot from 25 ft,,105-88,,
1:37.0,Offensive rebound by A. Tolliver,,105-88,,
1:24.0,D. Hilliard makes 2-pt shot from 16 ft,2,107-88,,
1:15.0,,,107-90,2,T. McConnell makes 2-pt shot at rim
1:00.0,D. Hilliard misses 2-pt shot from 4 ft,,107-90,,
1:00.0,,,107-90,,Defensive rebound by R. Holmes
0:39.0,,,107-92,2,T. McConnell makes 2-pt shot from 7 ft (assist by R. Holmes)
0:24.0,S. Blake misses 3-pt shot from 25 ft,,107-92,,
0:22.0,,,107-92,,Defensive rebound by N. Noel
0:08.0,,,107-95,3,R. Holmes makes 3-pt shot from 22 ft (assist by T. McConnell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
