time,San Antonio,pts.away,score,pts.home,Indiana
2:39.0,,,83-90,,J. Hill enters the game for I. Mahinmi
2:39.0,K. Leonard makes free throw 1 of 2,1,84-90,,
2:39.0,K. Leonard makes free throw 2 of 2,1,85-90,,
2:15.0,,,85-90,,J. Hill misses 2-pt shot from 19 ft
2:13.0,Defensive rebound by P. Mills,,85-90,,
1:56.0,T. Duncan misses 2-pt shot from 2 ft,,85-90,,
1:55.0,Offensive rebound by L. Aldridge,,85-90,,
1:55.0,L. Aldridge makes 2-pt shot at rim,2,87-90,,
1:42.0,,,87-90,,Shooting foul by L. Aldridge (drawn by M. Ellis)
1:42.0,,,87-91,1,M. Ellis makes free throw 1 of 2
1:42.0,,,87-91,,I. Mahinmi enters the game for M. Turner
1:42.0,A. Miller enters the game for M. Ginobili,,87-91,,
1:42.0,,,87-92,1,M. Ellis makes free throw 2 of 2
1:24.0,K. Leonard misses 3-pt shot from 25 ft,,87-92,,
1:22.0,Offensive rebound by P. Mills,,87-92,,
1:12.0,,,87-92,,Personal foul by G. Hill (drawn by P. Mills)
1:12.0,P. Mills makes free throw 1 of 2,1,88-92,,
1:12.0,,,88-92,,M. Turner enters the game for I. Mahinmi
1:12.0,P. Mills makes free throw 2 of 2,1,89-92,,
0:56.0,,,89-92,,P. George misses 2-pt shot from 20 ft
0:55.0,Defensive rebound by Team,,89-92,,
0:55.0,San Antonio full timeout,,89-92,,
0:55.0,,,89-92,,I. Mahinmi enters the game for M. Turner
0:48.0,P. Mills misses 3-pt shot from 26 ft,,89-92,,
0:47.0,,,89-92,,Defensive rebound by Team
0:47.0,,,89-92,,M. Turner enters the game for I. Mahinmi
0:47.0,D. Green enters the game for A. Miller,,89-92,,
0:27.0,,,89-94,2,M. Ellis makes 2-pt shot at rim
0:19.0,K. Leonard makes 2-pt shot at rim,2,91-94,,
0:16.0,,,91-96,2,P. George makes 2-pt shot at rim
0:16.0,,,91-96,,Shooting foul by K. Leonard (drawn by P. George)
0:16.0,,,91-96,,I. Mahinmi enters the game for M. Turner
0:16.0,,,91-97,1,P. George makes free throw 1 of 1
0:16.0,San Antonio full timeout,,91-97,,
0:16.0,,,91-97,,S. Hill enters the game for J. Hill
0:15.0,Turnover by T. Duncan (bad pass; steal by I. Mahinmi),,91-97,,
0:14.0,Personal take foul by L. Aldridge (drawn by S. Hill),,91-97,,
0:14.0,,,91-98,1,S. Hill makes free throw 1 of 2
0:14.0,,,91-99,1,S. Hill makes free throw 2 of 2
0:03.0,D. Green misses 3-pt shot from 28 ft,,91-99,,
0:02.0,,,91-99,,Defensive rebound by I. Mahinmi
0:00.0,End of 4th quarter,,,,End of 4th quarter
