time,Philadelphia,pts.away,score,pts.home,Denver
5:13.0,,,91-94,1,N. Jokic makes free throw 1 of 2
5:13.0,,,91-94,,D. Arthur enters the game for D. Augustin
5:13.0,,,91-95,1,N. Jokic makes free throw 2 of 2
4:59.0,I. Canaan makes 3-pt shot from 28 ft (assist by J. Grant),3,94-95,,
4:35.0,,,94-95,,E. Mudiay misses 2-pt shot from 14 ft
4:35.0,Defensive rebound by J. Grant,,94-95,,
4:16.0,J. Grant misses 2-pt shot from 4 ft,,94-95,,
4:15.0,,,94-95,,Defensive rebound by G. Harris
3:59.0,,,94-97,2,N. Jokic makes 2-pt shot from 4 ft
3:47.0,Shooting foul by N. Jokic (drawn by C. Landry),,94-97,,
3:47.0,C. Landry makes free throw 1 of 2,1,95-97,,
3:47.0,H. Thompson enters the game for R. Covington,,95-97,,
3:47.0,C. Landry makes free throw 2 of 2,1,96-97,,
3:35.0,,,96-97,,N. Jokic misses 2-pt shot from 18 ft
3:34.0,Defensive rebound by I. Smith,,96-97,,
3:22.0,C. Landry makes 2-pt shot from 2 ft (assist by I. Smith),2,98-97,,
3:05.0,,,98-97,,E. Mudiay misses 2-pt shot from 2 ft
3:03.0,,,98-97,,Offensive rebound by E. Mudiay
3:03.0,,,98-97,,E. Mudiay misses 2-pt shot from 2 ft
3:01.0,Defensive rebound by I. Smith,,98-97,,
2:57.0,Philadelphia full timeout,,98-97,,
2:41.0,I. Smith misses 2-pt shot from 21 ft,,98-97,,
2:40.0,Offensive rebound by H. Thompson,,98-97,,
2:26.0,I. Canaan makes 2-pt shot from 21 ft (assist by J. Grant),2,100-97,,
2:07.0,,,100-97,,D. Arthur misses 2-pt shot from 8 ft
2:06.0,,,100-97,,Offensive rebound by Team
2:06.0,Loose ball foul by H. Thompson,,100-97,,
2:06.0,,,100-97,,N. Jokic misses free throw 1 of 2
2:06.0,,,100-97,,Offensive rebound by Team
2:06.0,R. Covington enters the game for J. Grant,,100-97,,
2:06.0,,,100-97,,N. Jokic misses free throw 2 of 2
2:04.0,Defensive rebound by R. Covington,,100-97,,
1:52.0,C. Landry makes 2-pt shot from 17 ft (assist by I. Canaan),2,102-97,,
1:52.0,,,102-97,,Denver full timeout
1:46.0,,,102-97,,E. Mudiay misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by C. Landry,,102-97,,
1:24.0,I. Canaan misses 3-pt shot from 25 ft,,102-97,,
1:21.0,,,102-97,,Defensive rebound by E. Mudiay
1:06.0,,,102-97,,Shooting foul by R. Covington (drawn by N. Jokic)
1:06.0,,,102-98,1,N. Jokic makes free throw 1 of 2
1:06.0,,,102-99,1,N. Jokic makes free throw 2 of 2
1:06.0,Philadelphia full timeout,,102-99,,
1:06.0,,,102-99,,J. Sampson enters the game for N. Jokic
0:47.0,I. Smith misses 2-pt shot from 16 ft,,102-99,,
0:46.0,,,102-99,,Defensive rebound by E. Mudiay
0:38.0,Shooting block foul by C. Landry (drawn by G. Harris),,102-99,,
0:38.0,,,102-100,1,G. Harris makes free throw 1 of 2
0:38.0,,,102-101,1,G. Harris makes free throw 2 of 2
0:16.0,R. Covington misses 3-pt shot from 26 ft,,102-101,,
0:15.0,,,102-101,,Defensive rebound by G. Harris
0:11.0,,,102-101,,Denver full timeout
0:11.0,,,102-101,,N. Jokic enters the game for J. Sampson
0:11.0,T. McConnell enters the game for H. Thompson,,102-101,,
0:11.0,J. Grant enters the game for I. Smith,,102-101,,
0:11.0,,,102-101,,Denver full timeout
0:07.0,,,102-101,,E. Mudiay misses 2-pt shot from 4 ft
0:06.0,,,102-101,,Offensive rebound by D. Arthur
0:06.0,,,102-101,,D. Arthur misses 2-pt shot at rim
0:05.0,Defensive rebound by R. Covington,,102-101,,
0:04.0,,,102-101,,Personal foul by D. Arthur
0:04.0,Philadelphia full timeout,,102-101,,
0:04.0,N. Stauskas enters the game for J. Grant,,102-101,,
0:04.0,H. Thompson enters the game for C. Landry,,102-101,,
0:04.0,,,102-101,,J. Sampson enters the game for N. Jokic
0:03.0,,,102-101,,Personal take foul by G. Harris
0:03.0,Violation by Team (delay of game),,102-101,,
0:03.0,R. Covington misses free throw 1 of 2,,102-101,,
0:03.0,Offensive rebound by Team,,102-101,,
0:03.0,J. Grant enters the game for N. Stauskas,,102-101,,
0:03.0,,,102-101,,N. Jokic enters the game for J. Sampson
0:03.0,R. Covington makes free throw 2 of 2,1,103-101,,
0:00.0,,,103-104,3,E. Mudiay makes 3-pt shot from 36 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
