time,Cleveland,pts.away,score,pts.home,Denver
2:03.0,,,87-78,,Defensive rebound by W. Barton
2:00.0,,,87-78,,Turnover by W. Barton (lost ball; steal by L. James)
1:56.0,L. James makes 2-pt shot at rim (assist by I. Shumpert),2,89-78,,
1:56.0,,,89-78,,Denver full timeout
1:56.0,T. Thompson enters the game for J. Smith,,89-78,,
1:45.0,,,89-78,,W. Barton misses 3-pt shot from 25 ft
1:45.0,Defensive rebound by L. James,,89-78,,
1:27.0,Loose ball foul by L. James (drawn by W. Barton),,89-78,,
1:27.0,Turnover by L. James (offensive foul),,89-78,,
1:27.0,,,89-79,1,W. Barton makes free throw 1 of 2
1:27.0,J. Jones enters the game for T. Thompson,,89-79,,
1:27.0,,,89-80,1,W. Barton makes free throw 2 of 2
1:16.0,,,89-80,,Personal take foul by N. Jokic (drawn by M. Dellavedova)
1:16.0,,,89-80,,K. Papanikolaou enters the game for N. Jokic
1:16.0,M. Dellavedova makes free throw 1 of 2,1,90-80,,
1:16.0,J. Smith enters the game for J. Jones,,90-80,,
1:16.0,M. Dellavedova makes free throw 2 of 2,1,91-80,,
1:16.0,,,91-80,,Denver full timeout
1:16.0,T. Thompson enters the game for K. Love,,91-80,,
1:15.0,,,91-80,,Turnover by W. Barton (bad pass; steal by L. James)
1:12.0,L. James makes 2-pt shot at rim,2,93-80,,
1:04.0,,,93-82,2,W. Barton makes 2-pt shot from 2 ft
1:04.0,Violation by L. James (def goaltending),,93-82,,
0:44.0,Turnover by M. Dellavedova (bad pass; steal by R. Foye),,93-82,,
0:31.0,,,93-85,3,R. Foye makes 3-pt shot from 25 ft (assist by W. Barton)
0:06.0,J. Smith misses 3-pt shot from 24 ft,,93-85,,
0:05.0,,,93-85,,Defensive rebound by G. Harris
0:01.0,,,93-87,2,G. Harris makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
