time,Utah,pts.away,score,pts.home,Sacramento
0:40.0,G. Hayward misses 2-pt shot from 10 ft,,102-96,,
0:39.0,Offensive rebound by D. Favors,,102-96,,
0:37.0,,,102-96,,Personal foul by R. Rondo
0:37.0,D. Favors makes free throw 1 of 2,1,103-96,,
0:37.0,D. Favors misses free throw 2 of 2,,103-96,,
0:36.0,,,103-96,,Defensive rebound by R. Rondo
0:32.0,,,103-96,,Turnover by R. Rondo (lost ball; steal by D. Favors)
0:31.0,,,103-96,,Personal foul by D. Cousins
0:31.0,D. Favors misses free throw 1 of 2,,103-96,,
0:31.0,Offensive rebound by Team,,103-96,,
0:31.0,D. Favors makes free throw 2 of 2,1,104-96,,
0:23.0,,,104-99,3,O. Casspi makes 3-pt shot from 28 ft (assist by D. Collison)
0:23.0,Utah full timeout,,104-99,,
0:23.0,,,104-99,,W. Cauley-Stein enters the game for R. Gay
0:23.0,,,104-99,,S. Curry enters the game for O. Casspi
0:23.0,J. Ingles enters the game for T. Booker,,104-99,,
0:18.0,Utah full timeout,,104-99,,
0:17.0,,,104-99,,Personal foul by D. Cousins
0:17.0,D. Favors makes free throw 1 of 2,1,105-99,,
0:17.0,T. Booker enters the game for J. Ingles,,105-99,,
0:17.0,D. Favors makes free throw 2 of 2,1,106-99,,
0:17.0,,,106-99,,Sacramento full timeout
0:17.0,,,106-99,,R. Gay enters the game for R. Rondo
0:17.0,,,106-99,,O. Casspi enters the game for W. Cauley-Stein
0:12.0,,,106-99,,Turnover by O. Casspi (lost ball; steal by G. Hayward)
0:08.0,G. Hayward makes 2-pt shot at rim,2,108-99,,
0:02.0,,,108-99,,D. Collison misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by G. Hayward,,108-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
