time,Washington,pts.away,score,pts.home,Denver
5:08.0,G. Temple misses 3-pt shot from 24 ft,,91-99,,
5:06.0,Offensive rebound by J. Wall,,91-99,,
5:02.0,J. Wall misses 2-pt shot from 23 ft,,91-99,,
5:01.0,,,91-99,,Defensive rebound by W. Barton
4:55.0,,,91-99,,Shooting foul by O. Porter (drawn by W. Barton)
4:55.0,,,91-99,,W. Barton misses free throw 1 of 2
4:55.0,,,91-99,,Offensive rebound by Team
4:55.0,,,91-100,1,W. Barton makes free throw 2 of 2
4:55.0,,,91-100,,Personal foul by A. Toupane
4:55.0,J. Wall makes free throw 1 of 2,1,92-100,,
4:55.0,J. Wall makes free throw 2 of 2,1,93-100,,
4:38.0,,,93-102,2,W. Barton makes 2-pt shot from 2 ft
4:35.0,,,93-102,,Shooting block foul by A. Toupane (drawn by O. Porter)
4:35.0,O. Porter makes free throw 1 of 2,1,94-102,,
4:35.0,O. Porter makes free throw 2 of 2,1,95-102,,
4:22.0,,,95-102,,A. Toupane misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by M. Morris,,95-102,,
4:15.0,Turnover by J. Wall (lost ball; steal by A. Toupane),,95-102,,
4:11.0,,,95-102,,Shooting foul by G. Temple (drawn by A. Toupane)
4:11.0,,,95-103,1,A. Toupane makes free throw 1 of 2
4:11.0,,,95-104,1,A. Toupane makes free throw 2 of 2
3:54.0,N. Hilario misses 2-pt shot from 2 ft (block by J. Nurkic),,95-104,,
3:52.0,,,95-104,,Defensive rebound by J. Nurkic
3:34.0,Personal block foul by G. Temple,,95-104,,
3:34.0,,,95-105,1,D. Augustin makes free throw 1 of 2
3:34.0,,,95-106,1,D. Augustin makes free throw 2 of 2
3:21.0,Washington full timeout,,95-106,,
3:21.0,M. Thornton enters the game for O. Porter,,95-106,,
3:21.0,J. Hickson enters the game for N. Hilario,,95-106,,
3:17.0,M. Thornton misses 3-pt shot from 23 ft,,95-106,,
3:16.0,Offensive rebound by M. Morris,,95-106,,
3:16.0,Loose ball foul by G. Temple,,95-106,,
3:16.0,Turnover by G. Temple (offensive foul),,95-106,,
3:16.0,,,95-107,1,D. Augustin makes free throw 1 of 2
3:16.0,,,95-108,1,D. Augustin makes free throw 2 of 2
3:07.0,Turnover by J. Wall (lost ball; steal by J. Nurkic),,95-108,,
3:02.0,,,95-108,,D. Arthur misses 3-pt shot from 25 ft
3:01.0,,,95-108,,Offensive rebound by W. Barton
2:58.0,,,95-108,,W. Barton misses 2-pt shot from 2 ft
2:58.0,Defensive rebound by M. Morris,,95-108,,
2:47.0,M. Thornton misses 3-pt shot from 23 ft,,95-108,,
2:46.0,,,95-108,,Defensive rebound by W. Barton
2:31.0,,,95-110,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Augustin)
2:31.0,,,95-110,,Shooting foul by G. Temple (drawn by J. Nurkic)
2:31.0,R. Sessions enters the game for J. Hickson,,95-110,,
2:31.0,O. Porter enters the game for G. Temple,,95-110,,
2:31.0,,,95-110,,J. Nurkic misses free throw 1 of 1
2:30.0,Defensive rebound by M. Morris,,95-110,,
2:15.0,R. Sessions makes 2-pt shot at rim,2,97-110,,
2:15.0,,,97-110,,Denver full timeout
2:15.0,,,97-110,,G. Harris enters the game for J. Nurkic
1:55.0,,,97-113,3,A. Toupane makes 3-pt shot from 22 ft (assist by D. Augustin)
1:48.0,Turnover by O. Porter (lost ball; steal by D. Augustin),,97-113,,
1:32.0,,,97-115,2,D. Augustin makes 2-pt shot from 1 ft
1:19.0,,,97-115,,Personal foul by G. Harris
1:19.0,Technical foul by J. Wall,,97-115,,
1:19.0,,,97-116,1,D. Augustin makes technical free throw
1:19.0,M. Morris misses free throw 1 of 2,,97-116,,
1:19.0,Offensive rebound by Team,,97-116,,
1:19.0,K. Oubre enters the game for J. Wall,,97-116,,
1:19.0,M. Morris makes free throw 2 of 2,1,98-116,,
1:00.0,,,98-116,,A. Toupane misses 2-pt shot from 21 ft
1:00.0,,,98-116,,Offensive rebound by D. Arthur
0:42.0,,,98-116,,A. Toupane misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by K. Oubre,,98-116,,
0:36.0,Turnover by K. Oubre (lost ball; steal by D. Arthur),,98-116,,
0:12.0,,,98-116,,Turnover by Team (shot clock)
0:12.0,J. Eddie enters the game for O. Porter,,98-116,,
0:12.0,,,98-116,,J. Sampson enters the game for D. Arthur
0:08.0,K. Oubre misses 2-pt shot from 2 ft,,98-116,,
0:07.0,Offensive rebound by K. Oubre,,98-116,,
0:06.0,K. Oubre makes 2-pt shot from 2 ft,2,100-116,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
