time,Indiana,pts.away,score,pts.home,Golden State
6:32.0,,,89-100,2,S. Curry makes 2-pt shot from 2 ft (assist by H. Barnes)
6:17.0,G. Robinson makes 2-pt shot from 6 ft (assist by J. Young),2,91-100,,
6:01.0,,,91-100,,K. Thompson misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by M. Turner,,91-100,,
5:43.0,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis),2,93-100,,
5:31.0,,,93-102,2,S. Curry makes 2-pt shot from 13 ft
5:19.0,J. Young misses 2-pt shot from 18 ft,,93-102,,
5:18.0,,,93-102,,Defensive rebound by S. Livingston
5:10.0,Violation by M. Turner (def goaltending),,93-102,,
5:10.0,,,93-104,2,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston)
5:00.0,M. Ellis makes 3-pt shot from 25 ft (assist by J. Young),3,96-104,,
4:43.0,,,96-106,2,S. Livingston makes 2-pt shot at rim (assist by K. Thompson)
4:21.0,Turnover by G. Robinson (lost ball; steal by D. Green),,96-106,,
4:16.0,,,96-109,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
4:15.0,Indiana full timeout,,96-109,,
4:15.0,P. George enters the game for J. Young,,96-109,,
4:15.0,C. Miles enters the game for M. Turner,,96-109,,
4:15.0,S. Hill enters the game for L. Allen,,96-109,,
3:56.0,Shooting foul by D. Green (drawn by G. Robinson),,96-109,,
3:56.0,G. Robinson makes free throw 1 of 2,1,97-109,,
3:56.0,,,97-109,,A. Iguodala enters the game for S. Livingston
3:56.0,G. Robinson makes free throw 2 of 2,1,98-109,,
3:45.0,,,98-109,,H. Barnes misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by G. Robinson,,98-109,,
3:38.0,Turnover by M. Ellis (lost ball; steal by D. Green),,98-109,,
3:26.0,,,98-112,3,S. Curry makes 3-pt shot from 23 ft (assist by H. Barnes)
3:25.0,Indiana full timeout,,98-112,,
3:11.0,G. Robinson misses 3-pt shot from 23 ft,,98-112,,
3:10.0,,,98-112,,Defensive rebound by K. Thompson
2:57.0,,,98-112,,D. Green misses 2-pt shot at rim
2:55.0,,,98-112,,Offensive rebound by D. Green
2:51.0,,,98-112,,H. Barnes misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by S. Hill,,98-112,,
2:44.0,Turnover by M. Ellis (lost ball; steal by A. Iguodala),,98-112,,
2:40.0,,,98-112,,Turnover by A. Iguodala (bad pass; steal by P. George)
2:34.0,P. George misses 2-pt shot from 1 ft,,98-112,,
2:32.0,,,98-112,,Defensive rebound by S. Curry
2:26.0,,,98-114,2,S. Curry makes 2-pt shot from 1 ft (assist by K. Thompson)
2:02.0,S. Hill makes 2-pt shot from 7 ft,2,100-114,,
1:50.0,,,100-114,,Turnover by D. Green (lost ball; steal by P. George)
1:46.0,P. George makes 2-pt shot at rim (assist by M. Ellis),2,102-114,,
1:46.0,,,102-114,,Golden State full timeout
1:46.0,M. Turner enters the game for S. Hill,,102-114,,
1:30.0,,,102-116,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
1:30.0,,,102-116,,Shooting foul by M. Turner (drawn by D. Green)
1:30.0,,,102-117,1,D. Green makes free throw 1 of 1
1:18.0,Shooting foul by H. Barnes (drawn by M. Turner),,102-117,,
1:18.0,M. Turner makes free throw 1 of 2,1,103-117,,
1:18.0,,,103-117,,I. Clark enters the game for D. Green
1:18.0,,,103-117,,B. Rush enters the game for S. Curry
1:18.0,,,103-117,,M. Speights enters the game for A. Iguodala
1:18.0,S. Hill enters the game for P. George,,103-117,,
1:18.0,J. Young enters the game for M. Ellis,,103-117,,
1:18.0,M. Turner makes free throw 2 of 2,1,104-117,,
1:05.0,,,104-119,2,I. Clark makes 2-pt shot from 1 ft (assist by M. Speights)
0:54.0,M. Turner makes 2-pt shot from 13 ft (assist by J. Young),2,106-119,,
0:42.0,,,106-119,,H. Barnes misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by C. Miles,,106-119,,
0:35.0,Shooting foul by M. Speights (drawn by M. Turner),,106-119,,
0:35.0,M. Turner makes free throw 1 of 2,1,107-119,,
0:35.0,M. Turner makes free throw 2 of 2,1,108-119,,
0:14.0,,,108-122,3,M. Speights makes 3-pt shot from 27 ft (assist by K. Thompson)
0:07.0,,,108-122,,Personal foul by I. Clark
0:07.0,J. Young makes free throw 1 of 2,1,109-122,,
0:07.0,J. Young makes free throw 2 of 2,1,110-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
