time,Denver,pts.away,score,pts.home,Toronto
0:38.0,,,102-96,,K. Lowry enters the game for B. Biyombo
0:35.0,,,102-96,,Shooting foul by D. Gallinari (drawn by K. Lowry)
0:35.0,,,102-96,,K. Lowry misses free throw 1 of 3
0:35.0,,,102-96,,Offensive rebound by Team
0:35.0,,,102-97,1,K. Lowry makes free throw 2 of 3
0:35.0,,,102-97,,B. Biyombo enters the game for L. Scola
0:35.0,,,102-97,,K. Lowry misses free throw 3 of 3
0:34.0,,,102-97,,Offensive rebound by Team
0:34.0,,,102-97,,L. Scola enters the game for B. Biyombo
0:26.0,,,102-99,2,L. Scola makes 2-pt shot from 2 ft (assist by C. Joseph)
0:22.0,Turnover by W. Barton (lost ball; steal by K. Lowry),,102-99,,
0:22.0,,,102-99,,Toronto full timeout
0:12.0,,,102-99,,K. Lowry misses 2-pt shot from 3 ft
0:12.0,Defensive rebound by Team,,102-99,,
0:12.0,Denver full timeout,,102-99,,
0:12.0,M. Miller enters the game for D. Arthur,,102-99,,
0:12.0,,,102-99,,B. Biyombo enters the game for L. Scola
0:09.0,,,102-99,,Personal foul by D. Carroll (drawn by R. Foye)
0:09.0,R. Foye makes free throw 1 of 2,1,103-99,,
0:09.0,D. Arthur enters the game for M. Miller,,103-99,,
0:09.0,R. Foye makes free throw 2 of 2,1,104-99,,
0:09.0,,,104-99,,Toronto full timeout
0:09.0,,,104-99,,L. Scola enters the game for B. Biyombo
0:04.0,,,104-102,3,D. Carroll makes 3-pt shot from 26 ft
0:03.0,Denver full timeout,,104-102,,
0:03.0,M. Miller enters the game for D. Arthur,,104-102,,
0:03.0,,,104-102,,P. Patterson enters the game for L. Scola
0:02.0,,,104-102,,Personal take foul by D. DeRozan (drawn by W. Barton)
0:02.0,W. Barton makes free throw 1 of 2,1,105-102,,
0:02.0,,,105-102,,L. Scola enters the game for P. Patterson
0:02.0,D. Arthur enters the game for M. Miller,,105-102,,
0:02.0,W. Barton makes free throw 2 of 2,1,106-102,,
0:00.0,,,106-105,3,K. Lowry makes 3-pt shot from 48 ft (assist by D. DeRozan)
0:00.0,End of 4th quarter,,,,End of 4th quarter
