time,Denver,pts.away,score,pts.home,Atlanta
7:18.0,W. Barton enters the game for D. Arthur,,56-72,,
7:18.0,J. Lauvergne enters the game for N. Jokic,,56-72,,
7:18.0,J. Nurkic enters the game for E. Mudiay,,56-72,,
7:05.0,D. Augustin makes 2-pt shot from 11 ft,2,58-72,,
6:51.0,,,58-74,2,J. Teague makes 2-pt shot from 1 ft
6:31.0,G. Harris misses 2-pt shot from 1 ft (block by P. Millsap),,58-74,,
6:29.0,,,58-74,,Defensive rebound by A. Horford
6:20.0,,,58-76,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Korver)
6:04.0,J. Nurkic makes 2-pt shot from 12 ft (assist by D. Augustin),2,60-76,,
5:56.0,Personal foul by G. Harris,,60-76,,
5:49.0,,,60-76,,Turnover by J. Teague (bad pass)
5:37.0,J. Nurkic makes 2-pt shot from 16 ft (assist by D. Augustin),2,62-76,,
5:23.0,,,62-78,2,A. Horford makes 2-pt shot from 21 ft (assist by J. Teague)
5:06.0,D. Augustin misses 2-pt shot from 1 ft,,62-78,,
5:05.0,,,62-78,,Defensive rebound by P. Millsap
5:03.0,,,62-78,,Shooting foul by W. Barton (drawn by T. Hardaway)
5:03.0,,,62-79,1,T. Hardaway makes free throw 1 of 2
5:03.0,,,62-79,,K. Humphries enters the game for A. Horford
5:03.0,,,62-79,,T. Sefolosha enters the game for K. Korver
5:03.0,,,62-79,,D. Schroder enters the game for J. Teague
5:03.0,,,62-80,1,T. Hardaway makes free throw 2 of 2
4:44.0,J. Nurkic misses 2-pt shot from 8 ft,,62-80,,
4:42.0,Offensive rebound by J. Nurkic,,62-80,,
4:41.0,J. Nurkic misses 2-pt shot at rim,,62-80,,
4:40.0,Offensive rebound by J. Lauvergne,,62-80,,
4:40.0,J. Lauvergne makes 2-pt shot at rim,2,64-80,,
4:27.0,,,64-80,,Offensive foul by T. Sefolosha
4:27.0,,,64-80,,Turnover by T. Sefolosha (offensive foul)
4:12.0,G. Harris misses 2-pt shot from 2 ft (block by P. Millsap),,64-80,,
4:10.0,Offensive rebound by G. Harris,,64-80,,
4:09.0,G. Harris makes 2-pt shot at rim,2,66-80,,
3:58.0,,,66-80,,K. Humphries misses 2-pt shot from 19 ft
3:55.0,Defensive rebound by J. Lauvergne,,66-80,,
3:49.0,,,66-80,,Personal foul by T. Sefolosha
3:49.0,,,66-80,,K. Hinrich enters the game for T. Hardaway
3:43.0,J. Nurkic makes 2-pt shot at rim,2,68-80,,
3:38.0,,,68-80,,Atlanta full timeout
