time,Orlando,pts.away,score,pts.home,Detroit
2:32.0,D. Dedmon enters the game for V. Oladipo,,102-116,,
2:32.0,D. Marble enters the game for E. Payton,,102-116,,
2:24.0,,,102-116,,Turnover by R. Jackson (lost ball)
2:07.0,A. Nicholson misses 2-pt shot from 4 ft,,102-116,,
2:06.0,,,102-116,,Defensive rebound by A. Drummond
1:49.0,,,102-116,,S. Johnson misses 2-pt shot at rim (block by D. Dedmon)
1:48.0,Defensive rebound by S. Napier,,102-116,,
1:43.0,S. Napier misses 3-pt shot from 25 ft,,102-116,,
1:42.0,,,102-116,,Defensive rebound by T. Harris
1:17.0,,,102-116,,R. Jackson misses 2-pt shot from 5 ft
1:17.0,,,102-116,,Offensive rebound by R. Jackson
1:14.0,,,102-116,,R. Jackson misses 2-pt shot at rim
1:13.0,Defensive rebound by S. Napier,,102-116,,
1:10.0,M. Hezonja misses 2-pt shot from 17 ft,,102-116,,
1:09.0,,,102-116,,Defensive rebound by T. Harris
0:46.0,,,102-116,,M. Morris misses 2-pt shot from 13 ft
0:46.0,,,102-116,,Offensive rebound by A. Drummond
0:46.0,,,102-118,2,A. Drummond makes 2-pt shot at rim
0:35.0,,,102-118,,Personal foul by S. Johnson
0:35.0,,,102-118,,S. Blake enters the game for T. Harris
0:35.0,,,102-118,,D. Hilliard enters the game for M. Morris
0:35.0,,,102-118,,A. Tolliver enters the game for A. Drummond
0:35.0,,,102-118,,A. Baynes enters the game for R. Jackson
0:28.0,D. Marble misses 2-pt shot from 17 ft,,102-118,,
0:27.0,Offensive rebound by A. Nicholson,,102-118,,
0:22.0,D. Marble misses 3-pt shot from 27 ft,,102-118,,
0:21.0,,,102-118,,Defensive rebound by S. Johnson
0:00.0,End of 4th quarter,,,,End of 4th quarter
