time,Phoenix,pts.away,score,pts.home,New Orleans
6:52.0,,,96-101,,Defensive rebound by A. Gee
6:49.0,,,96-101,,E. Gordon misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by B. Knight,,96-101,,
6:39.0,M. Morris makes 2-pt shot from 1 ft (assist by B. Knight),2,98-101,,
6:39.0,Shooting foul by E. Gordon (drawn by M. Morris),,98-101,,
6:39.0,M. Morris makes free throw 1 of 1,1,99-101,,
6:20.0,,,99-101,,Turnover by R. Anderson (lost ball)
6:20.0,T. Warren enters the game for M. Teletovic,,99-101,,
6:10.0,B. Knight misses 2-pt shot from 1 ft,,99-101,,
6:10.0,,,99-101,,Defensive rebound by E. Gordon
6:03.0,,,99-101,,Turnover by E. Gordon (lost ball)
5:57.0,M. Morris misses 3-pt shot from 26 ft,,99-101,,
5:56.0,,,99-101,,Defensive rebound by I. Smith
5:38.0,,,99-101,,Shooting foul by P. Tucker (drawn by R. Anderson)
5:38.0,,,99-101,,New Orleans full timeout
5:38.0,,,99-102,1,R. Anderson makes free throw 1 of 2
5:38.0,,,99-103,1,R. Anderson makes free throw 2 of 2
5:20.0,M. Morris makes 2-pt shot from 14 ft,2,101-103,,
5:05.0,,,101-103,,E. Gordon misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by M. Morris,,101-103,,
4:55.0,T. Warren misses 3-pt shot from 24 ft,,101-103,,
4:52.0,,,101-103,,Defensive rebound by A. Davis
4:47.0,,,101-105,2,A. Davis makes 2-pt shot at rim (assist by A. Gee)
4:27.0,M. Morris misses 3-pt shot from 25 ft,,101-105,,
4:26.0,Offensive rebound by E. Bledsoe,,101-105,,
4:23.0,,,101-105,,Loose ball foul by A. Davis (drawn by M. Morris)
4:23.0,M. Morris makes free throw 1 of 2,1,102-105,,
4:23.0,M. Teletovic enters the game for T. Warren,,102-105,,
4:23.0,,,102-105,,J. Holiday enters the game for I. Smith
4:23.0,M. Morris misses free throw 2 of 2,,102-105,,
4:21.0,,,102-105,,Defensive rebound by A. Davis
4:09.0,,,102-105,,R. Anderson misses 2-pt shot from 12 ft (block by P. Tucker)
4:09.0,,,102-105,,Offensive rebound by Team
4:04.0,Personal foul by M. Morris (drawn by A. Davis),,102-105,,
3:52.0,,,102-105,,A. Davis misses 2-pt shot from 14 ft (block by M. Morris)
3:50.0,Defensive rebound by P. Tucker,,102-105,,
3:38.0,M. Morris makes 2-pt shot from 12 ft,2,104-105,,
3:19.0,,,104-107,2,A. Gee makes 2-pt shot at rim (assist by J. Holiday)
2:58.0,E. Bledsoe misses 3-pt shot from 25 ft,,104-107,,
2:57.0,,,104-107,,Defensive rebound by Team
2:57.0,Phoenix full timeout,,104-107,,
2:47.0,,,104-107,,R. Anderson misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by M. Morris,,104-107,,
2:39.0,M. Teletovic misses 3-pt shot from 23 ft,,104-107,,
2:39.0,Offensive rebound by Team,,104-107,,
2:39.0,,,104-107,,Loose ball foul by A. Davis (drawn by P. Tucker)
2:39.0,P. Tucker makes free throw 1 of 2,1,105-107,,
2:39.0,P. Tucker makes free throw 2 of 2,1,106-107,,
2:25.0,,,106-109,2,A. Davis makes 2-pt shot from 19 ft (assist by E. Gordon)
1:57.0,E. Bledsoe misses 3-pt shot from 26 ft,,106-109,,
1:56.0,,,106-109,,Defensive rebound by A. Davis
1:44.0,,,106-109,,E. Gordon misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by B. Knight,,106-109,,
1:39.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,106-109,,
1:39.0,E. Bledsoe misses free throw 1 of 2,,106-109,,
1:39.0,Offensive rebound by Team,,106-109,,
1:39.0,E. Bledsoe makes free throw 2 of 2,1,107-109,,
1:17.0,,,107-109,,Turnover by A. Davis (bad pass; steal by P. Tucker)
1:13.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,107-109,,
1:13.0,,,107-109,,I. Smith enters the game for J. Holiday
1:13.0,E. Bledsoe makes free throw 1 of 2,1,108-109,,
1:13.0,E. Bledsoe makes free throw 2 of 2,1,109-109,,
1:13.0,,,109-109,,New Orleans full timeout
0:55.0,,,109-112,3,A. Davis makes 3-pt shot from 25 ft (assist by I. Smith)
0:32.0,Turnover by E. Bledsoe (bad pass; steal by E. Gordon),,109-112,,
0:31.0,Personal block foul by B. Knight (drawn by E. Gordon),,109-112,,
0:31.0,,,109-112,,L. Babbitt enters the game for A. Gee
0:30.0,Personal take foul by E. Bledsoe (drawn by I. Smith),,109-112,,
0:30.0,,,109-113,1,I. Smith makes free throw 1 of 2
0:30.0,,,109-114,1,I. Smith makes free throw 2 of 2
0:30.0,Phoenix full timeout,,109-114,,
0:30.0,,,109-114,,A. Gee enters the game for L. Babbitt
0:27.0,P. Tucker makes 3-pt shot from 24 ft (assist by M. Teletovic),3,112-114,,
0:26.0,Personal foul by E. Bledsoe (drawn by E. Gordon),,112-114,,
0:26.0,,,112-115,1,E. Gordon makes free throw 1 of 2
0:26.0,,,112-116,1,E. Gordon makes free throw 2 of 2
0:26.0,Phoenix full timeout,,112-116,,
0:23.0,M. Teletovic misses 3-pt shot from 22 ft (block by A. Davis),,112-116,,
0:22.0,,,112-116,,Defensive rebound by I. Smith
0:22.0,Personal take foul by M. Morris (drawn by R. Anderson),,112-116,,
0:22.0,,,112-117,1,R. Anderson makes free throw 1 of 2
0:22.0,,,112-118,1,R. Anderson makes free throw 2 of 2
0:16.0,B. Knight makes 2-pt shot from 1 ft,2,114-118,,
0:16.0,,,114-118,,New Orleans full timeout
0:16.0,,,114-118,,L. Babbitt enters the game for A. Gee
0:16.0,T. Chandler enters the game for M. Morris,,114-118,,
0:16.0,R. Price enters the game for E. Bledsoe,,114-118,,
0:16.0,Personal foul by P. Tucker (drawn by R. Anderson),,114-118,,
0:16.0,,,114-119,1,R. Anderson makes free throw 1 of 2
0:16.0,E. Bledsoe enters the game for R. Price,,114-119,,
0:16.0,M. Morris enters the game for T. Chandler,,114-119,,
0:16.0,,,114-119,,A. Gee enters the game for L. Babbitt
0:16.0,,,114-120,1,R. Anderson makes free throw 2 of 2
0:12.0,B. Knight makes 2-pt shot from 12 ft,2,116-120,,
0:10.0,Personal take foul by B. Knight (drawn by I. Smith),,116-120,,
0:10.0,,,116-121,1,I. Smith makes free throw 1 of 2
0:10.0,,,116-122,1,I. Smith makes free throw 2 of 2
0:10.0,Phoenix full timeout,,116-122,,
0:05.0,B. Knight misses 3-pt shot from 26 ft,,116-122,,
0:04.0,,,116-122,,Defensive rebound by A. Davis
0:00.0,End of 4th quarter,,,,End of 4th quarter
