time,Brooklyn,pts.away,score,pts.home,Dallas
1:00.0,M. Brown enters the game for B. Lopez,,79-91,,
1:00.0,,,79-91,,C. Villanueva enters the game for R. Felton
1:00.0,,,79-91,,J. Barea misses free throw 2 of 2
0:59.0,,,79-91,,Offensive rebound by S. Mejri
0:58.0,,,79-91,,S. Mejri misses 2-pt shot at rim
0:56.0,,,79-91,,Offensive rebound by S. Mejri
0:40.0,,,79-91,,J. Barea misses 2-pt shot from 13 ft
0:40.0,Defensive rebound by B. Bogdanovic,,79-91,,
0:32.0,B. Bogdanovic misses 3-pt shot from 23 ft,,79-91,,
0:31.0,,,79-91,,Defensive rebound by J. Anderson
0:07.0,,,79-91,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
