time,LA Clippers,pts.away,score,pts.home,Toronto
5:31.0,Defensive rebound by C. Paul,,80-100,,
5:25.0,L. Stephenson makes 2-pt shot from 2 ft (assist by C. Paul),2,82-100,,
5:25.0,,,82-100,,Toronto full timeout
5:10.0,,,82-103,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
4:58.0,,,82-103,,Personal foul by T. Ross (drawn by J. Redick)
4:58.0,C. Wilcox enters the game for J. Redick,,82-103,,
4:58.0,A. Rivers enters the game for J. Crawford,,82-103,,
4:58.0,J. Ayres enters the game for D. Jordan,,82-103,,
4:58.0,W. Johnson enters the game for C. Paul,,82-103,,
4:47.0,C. Wilcox misses 2-pt shot from 15 ft,,82-103,,
4:47.0,,,82-103,,Defensive rebound by J. Valanciunas
4:36.0,,,82-103,,K. Lowry misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by W. Johnson,,82-103,,
4:26.0,L. Stephenson makes 2-pt shot at rim,2,84-103,,
4:00.0,,,84-103,,P. Patterson misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by L. Stephenson,,84-103,,
3:56.0,Turnover by L. Stephenson (bad pass; steal by T. Ross),,84-103,,
3:54.0,Personal foul by A. Rivers (drawn by T. Ross),,84-103,,
3:54.0,,,84-103,,T. Ross misses free throw 1 of 2
3:54.0,,,84-103,,Offensive rebound by Team
3:54.0,,,84-103,,D. Wright enters the game for K. Lowry
3:54.0,,,84-103,,C. Joseph enters the game for D. DeRozan
3:54.0,,,84-104,1,T. Ross makes free throw 2 of 2
3:33.0,A. Rivers makes 2-pt shot from 2 ft (assist by J. Ayres),2,86-104,,
3:26.0,,,86-104,,Offensive charge foul by D. Wright
3:26.0,,,86-104,,Turnover by D. Wright (offensive foul)
3:15.0,W. Johnson misses 3-pt shot from 24 ft,,86-104,,
3:14.0,,,86-104,,Defensive rebound by J. Valanciunas
2:51.0,,,86-104,,Shooting foul by A. Rivers (drawn by J. Valanciunas)
2:51.0,LA Clippers full timeout,,86-104,,
2:51.0,,,86-104,,A. Bennett enters the game for P. Patterson
2:51.0,,,86-105,1,J. Valanciunas makes free throw 1 of 2
2:51.0,,,86-106,1,J. Valanciunas makes free throw 2 of 2
2:31.0,L. Stephenson makes 2-pt shot from 19 ft (assist by A. Rivers),2,88-106,,
2:17.0,,,88-109,3,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph)
2:02.0,C. Wilcox misses 2-pt shot from 20 ft,,88-109,,
2:01.0,,,88-109,,Defensive rebound by J. Valanciunas
1:49.0,,,88-109,,Turnover by D. Wright (lost ball)
1:33.0,A. Rivers misses 2-pt shot from 3 ft,,88-109,,
1:33.0,,,88-109,,Defensive rebound by C. Joseph
1:21.0,,,88-111,2,J. Valanciunas makes 2-pt shot from 9 ft
1:10.0,Shooting foul by J. Valanciunas (drawn by J. Ayres),,88-111,,
1:10.0,J. Ayres makes free throw 1 of 2,1,89-111,,
1:10.0,J. Ayres makes free throw 2 of 2,1,90-111,,
1:00.0,Personal foul by A. Rivers (drawn by D. Wright),,90-111,,
1:00.0,,,90-111,,D. Wright misses free throw 1 of 2
1:00.0,,,90-111,,Offensive rebound by Team
1:00.0,,,90-111,,D. Wright misses free throw 2 of 2
1:00.0,Defensive rebound by L. Stephenson,,90-111,,
0:46.0,A. Rivers misses 2-pt shot from 2 ft,,90-111,,
0:45.0,,,90-111,,Defensive rebound by J. Valanciunas
0:41.0,,,90-111,,Shooting foul by L. Stephenson (drawn by D. Wright)
0:41.0,,,90-112,1,D. Wright makes free throw 1 of 2
0:41.0,,,90-112,,D. Wright misses free throw 2 of 2
0:40.0,Defensive rebound by C. Wilcox,,90-112,,
0:36.0,A. Rivers makes 2-pt shot from 2 ft (assist by C. Wilcox),2,92-112,,
0:13.0,,,92-112,,A. Bennett misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by J. Ayres,,92-112,,
0:02.0,L. Stephenson makes 2-pt shot from 20 ft,2,94-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
