time,Detroit,pts.away,score,pts.home,Charlotte
2:42.0,Shooting foul by C. Lee (drawn by D. Hilliard),,96-112,,
2:42.0,,,96-112,,F. Kaminsky enters the game for N. Batum
2:42.0,,,96-112,,T. Daniels enters the game for M. Williams
2:42.0,,,96-112,,A. Harrison enters the game for C. Zeller
2:42.0,,,96-112,,T. Hansbrough enters the game for C. Lee
2:42.0,,,96-112,,J. Gutierrez enters the game for K. Walker
2:42.0,D. Hilliard makes free throw 1 of 1,1,97-112,,
2:28.0,,,97-114,2,T. Hansbrough makes 2-pt shot from 6 ft (assist by T. Daniels)
2:18.0,A. Tolliver misses 2-pt shot from 19 ft,,97-114,,
2:17.0,,,97-114,,Defensive rebound by T. Hansbrough
2:06.0,,,97-114,,Turnover by J. Gutierrez (lost ball; steal by A. Tolliver)
2:00.0,,,97-114,,Personal foul by J. Gutierrez
1:49.0,A. Baynes makes 2-pt shot at rim (assist by D. Hilliard),2,99-114,,
1:39.0,,,99-116,2,T. Daniels makes 2-pt shot from 18 ft (assist by J. Gutierrez)
1:26.0,D. Hilliard makes 2-pt shot from 1 ft (assist by A. Baynes),2,101-116,,
1:17.0,,,101-116,,Turnover by A. Harrison (traveling)
0:59.0,A. Baynes misses 2-pt shot from 19 ft,,101-116,,
0:58.0,,,101-116,,Defensive rebound by J. Gutierrez
0:44.0,,,101-116,,J. Gutierrez misses 2-pt shot from 17 ft
0:43.0,Defensive rebound by S. Blake,,101-116,,
0:33.0,S. Blake makes 2-pt shot from 1 ft,2,103-116,,
0:14.0,,,103-118,2,T. Hansbrough makes 2-pt shot from 7 ft (assist by A. Harrison)
0:00.0,End of 4th quarter,,,,End of 4th quarter
