time,Atlanta,pts.away,score,pts.home,Denver
7:06.0,D. Schroder makes 2-pt shot from 2 ft,2,104-89,,
6:56.0,Personal foul by T. Hardaway (drawn by W. Barton),,104-89,,
6:56.0,,,104-90,1,W. Barton makes free throw 1 of 2
6:56.0,J. Teague enters the game for T. Hardaway,,104-90,,
6:56.0,P. Millsap enters the game for M. Scott,,104-90,,
6:56.0,,,104-91,1,W. Barton makes free throw 2 of 2
6:47.0,,,104-91,,Violation by S. Kilpatrick (def goaltending)
6:47.0,J. Teague makes 2-pt shot from 1 ft,2,106-91,,
6:27.0,,,106-91,,W. Barton misses 2-pt shot from 4 ft
6:27.0,Defensive rebound by P. Millsap,,106-91,,
6:17.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,108-91,,
6:17.0,,,108-91,,Denver full timeout
6:17.0,K. Bazemore enters the game for D. Schroder,,108-91,,
6:17.0,,,108-91,,E. Mudiay enters the game for J. Lauvergne
6:17.0,,,108-91,,D. Gallinari enters the game for R. Foye
6:17.0,,,108-91,,G. Harris enters the game for S. Kilpatrick
5:56.0,,,108-91,,W. Barton misses 2-pt shot at rim
5:55.0,Defensive rebound by P. Millsap,,108-91,,
5:44.0,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague),3,111-91,,
5:30.0,,,111-91,,G. Harris misses 3-pt shot from 24 ft
5:29.0,,,111-91,,Offensive rebound by Team
5:29.0,Official timeout,,111-91,,
5:23.0,,,111-91,,E. Mudiay misses 2-pt shot from 7 ft
5:22.0,Defensive rebound by K. Bazemore,,111-91,,
5:15.0,Turnover by K. Bazemore (lost ball; steal by G. Harris),,111-91,,
5:08.0,,,111-93,2,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:46.0,T. Splitter makes 2-pt shot at rim (assist by J. Teague),2,113-93,,
4:23.0,,,113-93,,D. Gallinari misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Bazemore,,113-93,,
4:12.0,J. Teague misses 3-pt shot from 25 ft,,113-93,,
4:11.0,,,113-93,,Defensive rebound by W. Barton
3:58.0,,,113-93,,W. Barton misses 2-pt shot from 4 ft
3:58.0,Defensive rebound by K. Bazemore,,113-93,,
3:42.0,T. Splitter makes 2-pt shot from 22 ft (assist by K. Bazemore),2,115-93,,
3:32.0,,,115-93,,Denver full timeout
3:32.0,T. Hardaway enters the game for K. Bazemore,,115-93,,
3:32.0,L. Patterson enters the game for P. Millsap,,115-93,,
3:32.0,M. Scott enters the game for K. Korver,,115-93,,
3:32.0,M. Muscala enters the game for J. Teague,,115-93,,
3:32.0,S. Mack enters the game for T. Splitter,,115-93,,
3:32.0,,,115-93,,M. Miller enters the game for D. Gallinari
3:32.0,,,115-93,,R. Foye enters the game for G. Harris
3:32.0,,,115-93,,N. Jokic enters the game for E. Mudiay
3:32.0,,,115-93,,S. Kilpatrick enters the game for D. Arthur
3:17.0,,,115-95,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
2:58.0,M. Scott makes 2-pt shot from 4 ft (assist by S. Mack),2,117-95,,
2:44.0,,,117-95,,R. Foye misses 2-pt shot from 3 ft
2:43.0,,,117-95,,Offensive rebound by M. Miller
2:43.0,,,117-95,,M. Miller misses 2-pt shot from 3 ft
2:42.0,Defensive rebound by M. Muscala,,117-95,,
2:29.0,S. Mack misses 2-pt shot from 4 ft,,117-95,,
2:29.0,,,117-95,,Defensive rebound by N. Jokic
2:21.0,,,117-97,2,W. Barton makes 2-pt shot from 2 ft
2:05.0,L. Patterson misses 3-pt shot from 25 ft,,117-97,,
2:04.0,,,117-97,,Defensive rebound by S. Kilpatrick
1:58.0,,,117-99,2,S. Kilpatrick makes 2-pt shot from 5 ft
1:44.0,M. Muscala misses 2-pt shot from 14 ft,,117-99,,
1:43.0,,,117-99,,Defensive rebound by M. Miller
1:36.0,,,117-101,2,N. Jokic makes 2-pt shot from 5 ft (assist by M. Miller)
1:16.0,L. Patterson misses 3-pt shot from 23 ft,,117-101,,
1:14.0,,,117-101,,Defensive rebound by N. Jokic
1:03.0,,,117-101,,Shooting foul by M. Muscala (drawn by N. Jokic)
1:03.0,,,117-102,1,N. Jokic makes free throw 1 of 2
1:03.0,,,117-103,1,N. Jokic makes free throw 2 of 2
0:41.0,Shooting foul by R. Foye (drawn by L. Patterson),,117-103,,
0:41.0,L. Patterson makes free throw 1 of 2,1,118-103,,
0:41.0,L. Patterson makes free throw 2 of 2,1,119-103,,
0:27.0,,,119-103,,N. Jokic misses 2-pt shot from 2 ft
0:26.0,,,119-103,,Offensive rebound by S. Kilpatrick
0:25.0,,,119-103,,Shooting foul by M. Scott (drawn by S. Kilpatrick)
0:25.0,,,119-104,1,S. Kilpatrick makes free throw 1 of 2
0:25.0,,,119-105,1,S. Kilpatrick makes free throw 2 of 2
0:05.0,S. Mack misses 3-pt shot from 25 ft,,119-105,,
0:04.0,,,119-105,,Defensive rebound by R. Foye
0:01.0,,,119-105,,R. Foye misses 3-pt shot from 24 ft
0:00.0,,,119-105,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
