time,Memphis,pts.away,score,pts.home,Brooklyn
0:39.0,,,48-44,,M. Brown enters the game for T. Young
0:39.0,,,48-45,1,B. Lopez makes free throw 2 of 2
0:30.0,T. Allen makes 2-pt shot from 18 ft (assist by M. Conley),2,50-45,,
0:12.0,,,50-45,,Turnover by J. Johnson (bad pass)
0:12.0,V. Carter enters the game for T. Allen,,50-45,,
0:04.0,,,50-45,,Personal foul by D. Sloan (drawn by M. Conley)
0:04.0,,,50-45,,T. Robinson enters the game for B. Lopez
0:03.0,C. Lee misses 2-pt shot from 14 ft,,50-45,,
0:02.0,Offensive rebound by J. Green,,50-45,,
0:01.0,J. Green misses 2-pt shot from 1 ft,,50-45,,
0:00.0,Offensive rebound by Team,,50-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. Allen misses 2-pt shot from 17 ft,,50-45,,
11:38.0,Offensive rebound by M. Conley,,50-45,,
11:23.0,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph),3,53-45,,
11:06.0,,,53-45,,D. Sloan misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by Z. Randolph,,53-45,,
10:57.0,M. Conley makes 3-pt shot from 24 ft (assist by T. Allen),3,56-45,,
10:32.0,,,56-45,,J. Johnson misses 2-pt shot from 8 ft
10:31.0,Defensive rebound by J. Green,,56-45,,
10:23.0,C. Lee makes 2-pt shot from 2 ft,2,58-45,,
10:23.0,,,58-45,,Brooklyn full timeout
10:01.0,,,58-45,,T. Young misses 2-pt shot from 6 ft (block by Z. Randolph)
10:00.0,,,58-45,,Offensive rebound by T. Young
9:59.0,,,58-45,,Turnover by Team (shot clock)
9:37.0,J. Green makes 2-pt shot from 3 ft (assist by C. Lee),2,60-45,,
9:23.0,,,60-47,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sloan)
9:09.0,M. Conley misses 2-pt shot from 16 ft,,60-47,,
9:08.0,,,60-47,,Defensive rebound by D. Sloan
8:43.0,,,60-47,,B. Lopez misses 2-pt shot from 21 ft
8:42.0,Defensive rebound by J. Green,,60-47,,
8:28.0,Z. Randolph misses 2-pt shot from 18 ft,,60-47,,
8:27.0,,,60-47,,Defensive rebound by T. Young
8:17.0,Personal foul by J. Green (drawn by D. Sloan),,60-47,,
8:14.0,,,60-49,2,W. Ellington makes 2-pt shot from 2 ft (assist by B. Lopez)
8:14.0,,,60-49,,Shooting foul by J. Green (drawn by W. Ellington)
8:14.0,,,60-50,1,W. Ellington makes free throw 1 of 1
7:53.0,J. Green makes 2-pt shot from 8 ft (assist by Z. Randolph),2,62-50,,
7:38.0,,,62-50,,T. Robinson enters the game for T. Young
7:25.0,,,62-50,,B. Lopez misses 2-pt shot from 21 ft
7:24.0,Defensive rebound by T. Allen,,62-50,,
7:02.0,J. Green makes 3-pt shot from 25 ft (assist by M. Conley),3,65-50,,
6:50.0,,,65-50,,Turnover by T. Robinson (lost ball; steal by T. Allen)
6:36.0,C. Lee misses 3-pt shot from 24 ft,,65-50,,
6:35.0,,,65-50,,Defensive rebound by B. Lopez
6:29.0,,,65-50,,W. Ellington misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by T. Allen,,65-50,,
6:22.0,Turnover by T. Allen (lost ball; steal by T. Robinson),,65-50,,
6:16.0,,,65-50,,J. Johnson misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by J. Green,,65-50,,
6:15.0,Memphis full timeout,,65-50,,
6:15.0,J. Green enters the game for J. Green,,65-50,,
6:15.0,,,65-50,,S. Larkin enters the game for D. Sloan
6:15.0,,,65-50,,B. Bogdanovic enters the game for J. Johnson
5:49.0,J. Green misses 3-pt shot from 22 ft,,65-50,,
5:48.0,Offensive rebound by Z. Randolph,,65-50,,
5:43.0,Shooting foul by T. Robinson (drawn by Z. Randolph),,65-50,,
5:43.0,Z. Randolph makes free throw 1 of 2,1,66-50,,
5:43.0,Z. Randolph makes free throw 2 of 2,1,67-50,,
5:27.0,,,67-50,,Turnover by W. Ellington (lost ball; steal by M. Conley)
5:27.0,Jump ball: M. Conley vs. W. Ellington,,,,Jump ball: M. Conley vs. W. Ellington
5:14.0,M. Conley makes 2-pt shot from 1 ft,2,69-50,,
5:14.0,Shooting foul by S. Larkin (drawn by M. Conley),,69-50,,
5:14.0,,,69-50,,M. Brown enters the game for W. Ellington
5:14.0,M. Conley makes free throw 1 of 1,1,70-50,,
4:57.0,,,70-50,,S. Larkin misses 2-pt shot from 1 ft
4:56.0,,,70-50,,Offensive rebound by B. Lopez
4:55.0,,,70-52,2,B. Lopez makes 2-pt shot at rim
4:40.0,M. Conley misses 3-pt shot from 24 ft,,70-52,,
4:39.0,,,70-52,,Defensive rebound by T. Robinson
4:29.0,,,70-52,,B. Lopez misses 2-pt shot from 7 ft
4:28.0,Defensive rebound by T. Allen,,70-52,,
4:12.0,Z. Randolph misses 2-pt shot from 19 ft,,70-52,,
4:11.0,,,70-52,,Defensive rebound by T. Robinson
4:06.0,,,70-52,,Shooting foul by C. Lee (drawn by B. Bogdanovic)
4:06.0,,,70-53,1,B. Bogdanovic makes free throw 1 of 2
4:06.0,M. Barnes enters the game for T. Allen,,70-53,,
4:06.0,M. Chalmers enters the game for M. Conley,,70-53,,
4:06.0,,,70-54,1,B. Bogdanovic makes free throw 2 of 2
3:42.0,Z. Randolph makes 3-pt shot from 22 ft,3,73-54,,
3:27.0,,,73-56,2,T. Robinson makes 2-pt shot from 2 ft (assist by M. Brown)
2:58.0,J. Green makes 3-pt shot from 24 ft,3,76-56,,
2:51.0,Personal foul by C. Lee (drawn by M. Brown),,76-56,,
2:48.0,,,76-56,,Turnover by M. Brown (bad pass; steal by C. Lee)
2:41.0,J. Green makes 3-pt shot from 23 ft (assist by M. Chalmers),3,79-56,,
2:20.0,,,79-56,,M. Brown misses 2-pt shot from 18 ft
2:19.0,,,79-56,,Offensive rebound by T. Robinson
2:18.0,,,79-58,2,T. Robinson makes 2-pt shot at rim
2:04.0,J. Green makes 3-pt shot from 26 ft (assist by M. Chalmers),3,82-58,,
2:04.0,,,82-58,,Brooklyn full timeout
2:04.0,,,82-58,,C. McCullough enters the game for B. Lopez
2:04.0,R. Hollins enters the game for Z. Randolph,,82-58,,
1:56.0,Personal foul by R. Hollins (drawn by S. Larkin),,82-58,,
1:56.0,,,82-59,1,S. Larkin makes free throw 1 of 2
1:56.0,,,82-60,1,S. Larkin makes free throw 2 of 2
1:37.0,R. Hollins makes 2-pt shot at rim (assist by C. Lee),2,84-60,,
1:26.0,,,84-63,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Brown)
1:07.0,C. Lee makes 2-pt shot from 2 ft,2,86-63,,
0:57.0,,,86-63,,Turnover by B. Bogdanovic (bad pass; steal by J. Green)
0:53.0,J. Green makes 2-pt shot at rim,2,88-63,,
0:53.0,Shooting foul by M. Brown (drawn by J. Green),,88-63,,
0:53.0,J. Green makes free throw 1 of 1,1,89-63,,
0:38.0,,,89-63,,Turnover by C. McCullough (lost ball)
0:28.0,C. Lee misses 2-pt shot from 22 ft,,89-63,,
0:27.0,,,89-63,,Defensive rebound by S. Larkin
0:05.0,,,89-63,,Turnover by S. Larkin (bad pass; steal by C. Lee)
0:00.0,J. Green misses 3-pt shot from 24 ft,,89-63,,
0:00.0,Offensive rebound by Team,,89-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,89-63,,Shooting foul by M. Barnes (drawn by T. Robinson)
11:42.0,,,89-63,,T. Robinson misses free throw 1 of 2
11:42.0,,,89-63,,Offensive rebound by Team
11:42.0,,,89-63,,S. Karasev enters the game for B. Bogdanovic
11:42.0,,,89-63,,T. Robinson misses free throw 2 of 2
11:41.0,Defensive rebound by J. Green,,89-63,,
11:24.0,J. Green misses 3-pt shot from 28 ft,,89-63,,
11:23.0,,,89-63,,Defensive rebound by T. Robinson
11:13.0,,,89-63,,Turnover by T. Robinson (bad pass; steal by V. Carter)
11:10.0,Turnover by M. Chalmers (traveling),,89-63,,
10:54.0,,,89-63,,T. Robinson misses 2-pt shot from 11 ft
10:52.0,Defensive rebound by M. Chalmers,,89-63,,
10:45.0,M. Chalmers misses 2-pt shot from 18 ft,,89-63,,
10:44.0,,,89-63,,Defensive rebound by C. McCullough
10:32.0,,,89-65,2,C. McCullough makes 2-pt shot from 17 ft (assist by S. Larkin)
10:15.0,M. Chalmers makes 2-pt shot from 8 ft (assist by V. Carter),2,91-65,,
9:51.0,,,91-65,,C. McCullough misses 2-pt shot from 17 ft
9:50.0,,,91-65,,Offensive rebound by T. Robinson
9:38.0,,,91-67,2,T. Robinson makes 2-pt shot from 18 ft (assist by S. Larkin)
9:22.0,M. Barnes misses 2-pt shot from 4 ft,,91-67,,
9:21.0,Offensive rebound by R. Hollins,,91-67,,
9:17.0,M. Barnes misses 2-pt shot from 5 ft,,91-67,,
9:16.0,,,91-67,,Defensive rebound by S. Larkin
9:05.0,,,91-67,,C. McCullough misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by M. Chalmers,,91-67,,
8:59.0,J. Green misses 2-pt shot from 2 ft,,91-67,,
8:58.0,,,91-67,,Defensive rebound by T. Robinson
8:50.0,,,91-70,3,M. Brown makes 3-pt shot from 24 ft (assist by S. Larkin)
8:50.0,Memphis full timeout,,91-70,,
8:50.0,J. Green enters the game for M. Barnes,,91-70,,
8:35.0,R. Hollins misses 2-pt shot from 3 ft (block by T. Robinson),,91-70,,
8:33.0,Offensive rebound by J. Green,,91-70,,
8:28.0,J. Green makes 2-pt shot from 17 ft,2,93-70,,
8:05.0,,,93-70,,M. Brown misses 3-pt shot from 22 ft
8:04.0,,,93-70,,Offensive rebound by Team
8:03.0,,,93-70,,Turnover by Team (shot clock)
7:51.0,V. Carter misses 2-pt shot from 19 ft,,93-70,,
7:50.0,,,93-70,,Defensive rebound by T. Robinson
7:34.0,,,93-70,,S. Larkin misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by M. Chalmers,,93-70,,
7:20.0,M. Chalmers makes 2-pt shot from 6 ft,2,95-70,,
6:57.0,,,95-70,,T. Robinson misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by V. Carter,,95-70,,
6:41.0,R. Hollins misses 2-pt shot at rim (block by T. Robinson),,95-70,,
6:39.0,,,95-70,,Defensive rebound by S. Larkin
6:25.0,,,95-73,3,C. McCullough makes 3-pt shot from 25 ft (assist by S. Larkin)
6:00.0,V. Carter makes 2-pt shot at rim (assist by J. Green),2,97-73,,
5:51.0,,,97-73,,Shooting foul by J. Green (drawn by M. Brown)
5:51.0,Official timeout,,97-73,,
5:51.0,M. Conley enters the game for J. Green,,97-73,,
5:51.0,,,97-73,,B. Bogdanovic enters the game for C. McCullough
5:51.0,,,97-73,,M. Brown misses free throw 1 of 2
5:51.0,,,97-73,,Offensive rebound by Team
5:51.0,,,97-74,1,M. Brown makes free throw 2 of 2
5:35.0,M. Chalmers makes 2-pt shot from 16 ft (assist by R. Hollins),2,99-74,,
5:11.0,,,99-77,3,B. Bogdanovic makes 3-pt shot from 26 ft
4:47.0,V. Carter misses 3-pt shot from 26 ft,,99-77,,
4:46.0,Offensive rebound by R. Hollins,,99-77,,
4:45.0,R. Hollins makes 2-pt shot from 4 ft,2,101-77,,
4:22.0,,,101-80,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by S. Karasev)
3:59.0,J. Green makes 2-pt shot at rim (assist by V. Carter),2,103-80,,
3:41.0,,,103-80,,Shooting foul by M. Chalmers (drawn by T. Robinson)
3:41.0,,,103-80,,T. Robinson misses free throw 1 of 2
3:41.0,,,103-80,,Offensive rebound by Team
3:41.0,,,103-81,1,T. Robinson makes free throw 2 of 2
3:28.0,M. Chalmers misses 2-pt shot from 1 ft,,103-81,,
3:27.0,,,103-81,,Defensive rebound by T. Robinson
3:12.0,,,103-81,,S. Karasev misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by M. Conley,,103-81,,
3:06.0,Offensive foul by R. Hollins,,103-81,,
3:06.0,Turnover by R. Hollins (offensive foul),,103-81,,
3:06.0,,,103-81,,C. McCullough enters the game for B. Bogdanovic
3:06.0,,,103-81,,Brooklyn full timeout
3:06.0,C. Lee enters the game for M. Conley,,103-81,,
2:47.0,,,103-84,3,M. Brown makes 3-pt shot from 23 ft
2:27.0,Shooting foul by C. McCullough (drawn by J. Green),,103-84,,
2:27.0,J. Green makes free throw 1 of 2,1,104-84,,
2:27.0,J. Green makes free throw 2 of 2,1,105-84,,
2:09.0,Personal foul by J. Green (drawn by S. Larkin),,105-84,,
2:03.0,,,105-86,2,S. Larkin makes 2-pt shot from 18 ft
1:42.0,J. Green misses 2-pt shot from 18 ft,,105-86,,
1:41.0,,,105-86,,Defensive rebound by Team
1:32.0,,,105-89,3,M. Brown makes 3-pt shot from 24 ft (assist by S. Larkin)
1:16.0,V. Carter misses 3-pt shot from 27 ft,,105-89,,
1:15.0,Offensive rebound by R. Hollins,,105-89,,
0:54.0,M. Chalmers makes 2-pt shot from 21 ft,2,107-89,,
0:54.0,,,107-89,,Brooklyn full timeout
0:44.0,,,107-89,,Shooting foul by J. Green (drawn by T. Robinson)
0:44.0,,,107-89,,T. Robinson misses free throw 1 of 2
0:44.0,,,107-89,,Offensive rebound by Team
0:44.0,,,107-90,1,T. Robinson makes free throw 2 of 2
0:31.0,C. Lee makes 2-pt shot from 2 ft,2,109-90,,
0:31.0,,,109-90,,Brooklyn full timeout
0:28.0,,,109-90,,T. Robinson misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by J. Green,,109-90,,
0:03.0,Turnover by Team (shot clock),,109-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
