time,Houston,pts.away,score,pts.home,Detroit
6:05.0,M. Thornton misses 3-pt shot from 26 ft,,85-94,,
6:05.0,,,85-94,,Defensive rebound by A. Drummond
5:52.0,,,85-94,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:51.0,,,85-94,,Offensive rebound by A. Drummond
5:48.0,,,85-96,2,A. Drummond makes 2-pt shot at rim
5:41.0,Shooting foul by A. Drummond (drawn by M. Thornton),,85-96,,
5:41.0,Official timeout,,85-96,,
5:41.0,D. Howard enters the game for C. Capela,,85-96,,
5:41.0,J. Harden enters the game for C. Brewer,,85-96,,
5:41.0,M. Thornton makes free throw 1 of 2,1,86-96,,
5:41.0,M. Thornton makes free throw 2 of 2,1,87-96,,
5:33.0,,,87-96,,Shooting foul by P. Beverley (drawn by R. Jackson)
5:33.0,,,87-97,1,R. Jackson makes free throw 1 of 2
5:33.0,,,87-98,1,R. Jackson makes free throw 2 of 2
5:19.0,M. Thornton makes 3-pt shot from 23 ft (assist by J. Harden),3,90-98,,
4:57.0,,,90-101,3,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris)
4:35.0,Turnover by M. Thornton (lost ball),,90-101,,
4:23.0,,,90-101,,Shooting foul by D. Howard (drawn by A. Drummond)
4:23.0,,,90-103,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:23.0,,,90-103,,A. Drummond misses free throw 1 of 1
4:22.0,Defensive rebound by J. Harden,,90-103,,
4:09.0,J. Harden misses 2-pt shot from 4 ft,,90-103,,
4:09.0,,,90-103,,Defensive rebound by Team
4:07.0,Personal take foul by P. Beverley (drawn by A. Drummond),,90-103,,
4:07.0,,,90-103,,A. Drummond misses free throw 1 of 2
4:07.0,,,90-103,,Offensive rebound by Team
4:07.0,,,90-103,,A. Drummond misses free throw 2 of 2
4:07.0,,,90-103,,Offensive rebound by Team
4:04.0,,,90-103,,A. Baynes enters the game for A. Drummond
3:57.0,,,90-103,,Shooting foul by M. Thornton (drawn by R. Jackson)
3:57.0,,,90-103,,R. Jackson misses free throw 1 of 2
3:57.0,,,90-103,,Offensive rebound by Team
3:57.0,,,90-104,1,R. Jackson makes free throw 2 of 2
3:43.0,M. Thornton makes 3-pt shot from 26 ft (assist by J. Harden),3,93-104,,
3:19.0,,,93-104,,M. Morris misses 3-pt shot from 24 ft
3:18.0,,,93-104,,Offensive rebound by A. Baynes
3:15.0,,,93-106,2,A. Baynes makes 2-pt shot at rim
2:56.0,J. Harden makes 3-pt shot from 26 ft,3,96-106,,
2:56.0,Shooting foul by S. Johnson (drawn by J. Harden),,96-106,,
2:56.0,,,96-106,,Detroit full timeout
2:56.0,J. Harden makes free throw 1 of 1,1,97-106,,
2:33.0,,,97-106,,Turnover by K. Caldwell-Pope (lost ball; steal by J. Harden)
2:28.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,97-106,,
2:28.0,J. Harden makes free throw 1 of 2,1,98-106,,
2:28.0,J. Harden makes free throw 2 of 2,1,99-106,,
2:10.0,Violation by D. Howard (def goaltending),,99-106,,
2:10.0,,,99-108,2,R. Jackson makes 2-pt shot at rim
1:56.0,Shooting foul by S. Johnson (drawn by J. Harden),,99-108,,
1:56.0,J. Harden makes free throw 1 of 2,1,100-108,,
1:56.0,,,100-108,,A. Drummond enters the game for A. Baynes
1:56.0,J. Harden misses free throw 2 of 2,,100-108,,
1:55.0,,,100-108,,Defensive rebound by A. Drummond
1:31.0,,,100-110,2,R. Jackson makes 2-pt shot from 18 ft (assist by M. Morris)
1:21.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,100-110,,
1:21.0,J. Harden makes free throw 1 of 2,1,101-110,,
1:21.0,J. Harden makes free throw 2 of 2,1,102-110,,
1:09.0,Personal foul by T. Ariza (drawn by S. Johnson),,102-110,,
1:09.0,,,102-111,1,S. Johnson makes free throw 1 of 2
1:09.0,,,102-112,1,S. Johnson makes free throw 2 of 2
1:00.0,M. Thornton makes 3-pt shot from 24 ft (assist by P. Beverley),3,105-112,,
0:55.0,,,105-112,,Detroit full timeout
0:55.0,C. Brewer enters the game for D. Howard,,105-112,,
0:55.0,,,105-112,,Detroit full timeout
0:55.0,,,105-112,,A. Baynes enters the game for A. Drummond
0:54.0,Personal foul by J. Harden (drawn by A. Baynes),,105-112,,
0:54.0,,,105-113,1,A. Baynes makes free throw 1 of 2
0:54.0,,,105-113,,A. Baynes misses free throw 2 of 2
0:52.0,,,105-113,,Offensive rebound by K. Caldwell-Pope
0:47.0,Personal foul by P. Beverley (drawn by M. Morris),,105-113,,
0:47.0,K. McDaniels enters the game for P. Beverley,,105-113,,
0:47.0,,,105-114,1,M. Morris makes free throw 1 of 2
0:47.0,,,105-114,,S. Blake enters the game for A. Baynes
0:47.0,,,105-114,,M. Morris misses free throw 2 of 2
0:47.0,Defensive rebound by M. Thornton,,105-114,,
0:37.0,M. Thornton misses 2-pt shot at rim,,105-114,,
0:37.0,,,105-114,,Defensive rebound by R. Jackson
0:34.0,Personal foul by K. McDaniels (drawn by R. Jackson),,105-114,,
0:34.0,,,105-115,1,R. Jackson makes free throw 1 of 2
0:34.0,M. Harrell enters the game for J. Harden,,105-115,,
0:34.0,,,105-115,,A. Drummond enters the game for S. Johnson
0:34.0,,,105-116,1,R. Jackson makes free throw 2 of 2
0:26.0,M. Thornton misses 3-pt shot from 25 ft,,105-116,,
0:26.0,,,105-116,,Defensive rebound by Team
0:02.0,,,105-116,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
