time,LA Clippers,pts.away,score,pts.home,New York
2:44.0,A. Rivers misses 2-pt shot from 2 ft (block by K. Seraphin),,110-80,,
2:41.0,,,110-80,,Defensive rebound by K. Seraphin
2:32.0,,,110-82,2,L. Amundson makes 2-pt shot from 1 ft (assist by J. Grant)
2:32.0,,,110-82,,Shooting foul by L. Stephenson (drawn by L. Amundson)
2:32.0,,,110-82,,Turnover by K. Seraphin (lane violation.)
2:11.0,Shooting foul by K. Seraphin (drawn by C. Aldrich),,110-82,,
2:11.0,C. Aldrich makes free throw 1 of 2,1,111-82,,
2:11.0,C. Aldrich makes free throw 2 of 2,1,112-82,,
1:53.0,,,112-84,2,L. Galloway makes 2-pt shot from 1 ft (assist by K. Seraphin)
1:31.0,A. Rivers misses 3-pt shot from 25 ft,,112-84,,
1:29.0,Offensive rebound by Team,,112-84,,
1:29.0,Turnover by Team (shot clock),,112-84,,
1:15.0,,,112-86,2,L. Galloway makes 2-pt shot from 18 ft (assist by L. Amundson)
1:04.0,C. Wilcox makes 2-pt shot from 18 ft (assist by A. Rivers),2,114-86,,
0:54.0,,,114-88,2,K. Seraphin makes 2-pt shot at rim (assist by J. Grant)
0:33.0,C. Aldrich makes 2-pt shot from 2 ft,2,116-88,,
0:27.0,,,116-88,,K. Seraphin misses 2-pt shot from 13 ft
0:25.0,Defensive rebound by C. Aldrich,,116-88,,
0:17.0,Turnover by Team (turnover),,116-88,,
0:11.0,,,116-88,,L. Amundson misses 2-pt shot from 17 ft
0:09.0,Defensive rebound by L. Stephenson,,116-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
