time,Boston,pts.away,score,pts.home,Golden State
7:13.0,,,55-58,,Personal foul by S. Curry
7:06.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Sullinger),3,58-58,,
6:57.0,,,58-58,,Turnover by D. Green (lost ball; steal by E. Turner)
6:51.0,I. Thomas makes 2-pt shot from 1 ft (assist by E. Turner),2,60-58,,
6:51.0,,,60-58,,Golden State full timeout
6:37.0,,,60-58,,S. Curry misses 2-pt shot from 16 ft
6:36.0,Defensive rebound by A. Johnson,,60-58,,
6:21.0,A. Bradley makes 2-pt shot from 1 ft,2,62-58,,
6:04.0,,,62-58,,H. Barnes misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by J. Sullinger,,62-58,,
5:46.0,J. Sullinger misses 2-pt shot from 7 ft,,62-58,,
5:45.0,,,62-58,,Defensive rebound by D. Green
5:32.0,,,62-58,,K. Thompson misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by A. Johnson,,62-58,,
5:22.0,A. Bradley misses 3-pt shot from 23 ft,,62-58,,
5:22.0,,,62-58,,Defensive rebound by H. Barnes
5:15.0,,,62-58,,Offensive foul by A. Bogut
5:15.0,,,62-58,,Turnover by A. Bogut (offensive foul)
5:15.0,M. Smart enters the game for E. Turner,,62-58,,
5:15.0,,,62-58,,L. Barbosa enters the game for K. Thompson
5:15.0,,,62-58,,A. Varejao enters the game for A. Bogut
4:59.0,Shooting foul by A. Varejao (drawn by A. Bradley),,62-58,,
4:59.0,A. Bradley misses free throw 1 of 2,,62-58,,
4:59.0,Offensive rebound by Team,,62-58,,
4:59.0,A. Bradley makes free throw 2 of 2,1,63-58,,
4:45.0,,,63-61,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
4:27.0,I. Thomas misses 3-pt shot from 24 ft,,63-61,,
4:26.0,Offensive rebound by A. Johnson,,63-61,,
4:21.0,,,63-61,,Personal foul by H. Barnes
4:21.0,A. Johnson misses free throw 1 of 2,,63-61,,
4:21.0,Offensive rebound by Team,,63-61,,
4:21.0,A. Johnson misses free throw 2 of 2,,63-61,,
4:20.0,,,63-61,,Defensive rebound by S. Curry
4:14.0,,,63-61,,Turnover by S. Curry (lost ball; steal by M. Smart)
4:07.0,I. Thomas makes 2-pt shot at rim (assist by M. Smart),2,65-61,,
3:55.0,Personal foul by A. Bradley,,65-61,,
3:44.0,,,65-63,2,L. Barbosa makes 2-pt shot from 20 ft
3:38.0,I. Thomas makes 2-pt shot from 2 ft,2,67-63,,
3:38.0,Shooting foul by A. Varejao (drawn by I. Thomas),,67-63,,
3:38.0,I. Thomas makes free throw 1 of 1,1,68-63,,
3:27.0,,,68-66,3,L. Barbosa makes 3-pt shot from 26 ft (assist by H. Barnes)
3:04.0,J. Sullinger makes 3-pt shot from 25 ft (assist by M. Smart),3,71-66,,
2:51.0,,,71-66,,S. Curry misses 2-pt shot from 1 ft
2:50.0,,,71-66,,Offensive rebound by H. Barnes
2:46.0,,,71-69,3,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes)
2:30.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,73-69,,
2:19.0,,,73-69,,Shooting foul by A. Bradley (drawn by S. Curry)
2:19.0,,,73-70,1,S. Curry makes free throw 1 of 3
2:19.0,,,73-71,1,S. Curry makes free throw 2 of 3
2:19.0,T. Rozier enters the game for I. Thomas,,73-71,,
2:19.0,K. Olynyk enters the game for J. Sullinger,,73-71,,
2:19.0,,,73-71,,S. Livingston enters the game for H. Barnes
2:19.0,,,73-72,1,S. Curry makes free throw 3 of 3
2:09.0,A. Bradley misses 2-pt shot from 19 ft,,73-72,,
2:05.0,Offensive rebound by M. Smart,,73-72,,
2:05.0,M. Smart makes 2-pt shot at rim,2,75-72,,
1:52.0,,,75-75,3,S. Curry makes 3-pt shot from 34 ft
1:41.0,K. Olynyk makes 3-pt shot from 26 ft (assist by M. Smart),3,78-75,,
