time,Utah,pts.away,score,pts.home,Indiana
1:56.0,,,92-76,,L. Allen enters the game for M. Ellis
1:56.0,,,92-76,,C. Budinger enters the game for G. Hill
1:56.0,C. Johnson enters the game for G. Hayward,,92-76,,
1:56.0,T. Booker enters the game for R. Gobert,,92-76,,
1:56.0,J. Ingles enters the game for R. Hood,,92-76,,
1:56.0,T. Burke makes free throw 2 of 2,1,93-76,,
1:42.0,,,93-76,,Turnover by J. Young (lost ball; steal by C. Johnson)
1:39.0,Shooting foul by C. Budinger (drawn by C. Johnson),,93-76,,
1:39.0,C. Johnson misses free throw 1 of 2,,93-76,,
1:39.0,Offensive rebound by Team,,93-76,,
1:39.0,T. Lyles enters the game for D. Favors,,93-76,,
1:39.0,C. Johnson makes free throw 2 of 2,1,94-76,,
1:21.0,,,94-76,,Turnover by S. Whittington (dbl dribble)
1:21.0,J. Withey enters the game for T. Booker,,94-76,,
1:07.0,J. Ingles makes 3-pt shot from 22 ft (assist by T. Burke),3,97-76,,
1:00.0,,,97-76,,Turnover by S. Whittington (step out of bounds)
0:43.0,T. Burke misses 2-pt shot at rim,,97-76,,
0:42.0,,,97-76,,Defensive rebound by C. Budinger
0:34.0,,,97-76,,L. Allen misses 2-pt shot from 6 ft
0:33.0,Defensive rebound by T. Lyles,,97-76,,
0:10.0,Shooting foul by S. Whittington (drawn by T. Lyles),,97-76,,
0:10.0,T. Lyles misses free throw 1 of 2,,97-76,,
0:10.0,Offensive rebound by Team,,97-76,,
0:10.0,T. Lyles misses free throw 2 of 2,,97-76,,
0:10.0,Offensive rebound by T. Lyles,,97-76,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
