time,Indiana,pts.away,score,pts.home,LA Clippers
7:03.0,Personal foul by R. Stuckey (drawn by J. Crawford),,88-74,,
6:57.0,,,88-74,,Shooting foul by R. Stuckey (drawn by J. Crawford)
6:57.0,,,88-75,1,J. Crawford makes free throw 1 of 2
6:57.0,,,88-76,1,J. Crawford makes free throw 2 of 2
6:41.0,R. Stuckey misses 2-pt shot from 18 ft,,88-76,,
6:38.0,,,88-76,,Defensive rebound by Team
6:21.0,,,88-76,,J. Crawford misses 3-pt shot from 25 ft
6:21.0,,,88-76,,Offensive rebound by Team
6:21.0,Loose ball foul by J. Hill (drawn by D. Jordan),,88-76,,
6:21.0,,,88-77,1,D. Jordan makes free throw 1 of 2
6:21.0,I. Mahinmi enters the game for J. Hill,,88-77,,
6:21.0,,,88-77,,D. Jordan misses free throw 2 of 2
6:20.0,,,88-77,,Offensive rebound by Team
6:10.0,,,88-79,2,J. Crawford makes 2-pt shot from 20 ft (assist by B. Griffin)
5:50.0,Offensive foul by L. Allen,,88-79,,
5:50.0,Turnover by L. Allen (offensive foul),,88-79,,
5:50.0,Official timeout,,88-79,,
5:50.0,M. Ellis enters the game for G. Hill,,88-79,,
5:42.0,,,88-79,,Turnover by D. Jordan (bad pass; steal by P. George)
5:42.0,,,88-79,,Personal foul by J. Crawford (drawn by P. George)
5:42.0,C. Miles enters the game for L. Allen,,88-79,,
5:17.0,P. George misses 2-pt shot from 17 ft,,88-79,,
5:17.0,Offensive rebound by I. Mahinmi,,88-79,,
5:06.0,P. George misses 2-pt shot from 18 ft,,88-79,,
5:05.0,,,88-79,,Defensive rebound by B. Griffin
4:49.0,,,88-82,3,J. Crawford makes 3-pt shot from 27 ft (assist by B. Griffin)
4:28.0,M. Ellis misses 2-pt shot from 3 ft,,88-82,,
4:27.0,,,88-82,,Defensive rebound by J. Crawford
4:10.0,,,88-82,,B. Griffin misses 2-pt shot from 3 ft (block by I. Mahinmi)
4:08.0,,,88-82,,Offensive rebound by B. Griffin
4:06.0,,,88-82,,Turnover by B. Griffin (bad pass; steal by M. Ellis)
4:00.0,M. Ellis makes 2-pt shot at rim,2,90-82,,
3:45.0,,,90-82,,Shooting foul by C. Miles (drawn by J. Crawford)
3:45.0,,,90-83,1,J. Crawford makes free throw 1 of 2
3:45.0,L. Allen enters the game for C. Miles,,90-83,,
3:45.0,G. Hill enters the game for R. Stuckey,,90-83,,
3:45.0,,,90-84,1,J. Crawford makes free throw 2 of 2
3:33.0,Turnover by I. Mahinmi (lost ball),,90-84,,
3:18.0,,,90-84,,J. Crawford misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by P. George,,90-84,,
3:13.0,,,90-84,,Personal foul by L. Mbah a Moute (drawn by G. Hill)
3:13.0,Indiana full timeout,,90-84,,
3:13.0,,,90-84,,J. Smith enters the game for D. Jordan
3:13.0,,,90-84,,Personal take foul by J. Smith (drawn by I. Mahinmi)
3:13.0,I. Mahinmi makes free throw 1 of 2,1,91-84,,
3:13.0,,,91-84,,L. Stephenson enters the game for J. Smith
3:13.0,I. Mahinmi misses free throw 2 of 2,,91-84,,
3:11.0,,,91-84,,Defensive rebound by B. Griffin
2:59.0,,,91-86,2,B. Griffin makes 2-pt shot at rim
2:57.0,,,91-86,,Personal take foul by B. Griffin (drawn by I. Mahinmi)
2:57.0,I. Mahinmi misses free throw 1 of 2,,91-86,,
2:57.0,Offensive rebound by Team,,91-86,,
2:57.0,R. Stuckey enters the game for L. Allen,,91-86,,
2:57.0,I. Mahinmi makes free throw 2 of 2,1,92-86,,
2:38.0,,,92-86,,J. Crawford misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by P. George,,92-86,,
2:36.0,,,92-86,,Personal take foul by L. Stephenson (drawn by I. Mahinmi)
2:36.0,I. Mahinmi makes free throw 1 of 2,1,93-86,,
2:36.0,I. Mahinmi makes free throw 2 of 2,1,94-86,,
2:28.0,J. Hill enters the game for I. Mahinmi,,94-86,,
2:14.0,,,94-86,,A. Rivers misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by P. George,,94-86,,
1:55.0,P. George misses 2-pt shot from 12 ft,,94-86,,
1:55.0,,,94-86,,Defensive rebound by L. Mbah a Moute
1:47.0,,,94-86,,Turnover by J. Crawford (bad pass)
1:47.0,I. Mahinmi enters the game for J. Hill,,94-86,,
1:47.0,,,94-86,,D. Jordan enters the game for J. Crawford
1:39.0,,,94-86,,Personal foul by L. Stephenson (drawn by R. Stuckey)
1:39.0,R. Stuckey makes free throw 1 of 2,1,95-86,,
1:39.0,R. Stuckey makes free throw 2 of 2,1,96-86,,
1:39.0,,,96-86,,LA Clippers full timeout
1:39.0,,,96-86,,J. Crawford enters the game for L. Mbah a Moute
1:39.0,,,96-86,,W. Johnson enters the game for L. Stephenson
1:25.0,,,96-86,,B. Griffin misses 2-pt shot from 8 ft
1:25.0,Defensive rebound by G. Hill,,96-86,,
1:24.0,,,96-86,,Personal take foul by A. Rivers (drawn by G. Hill)
1:24.0,G. Hill makes free throw 1 of 2,1,97-86,,
1:24.0,,,97-86,,L. Stephenson enters the game for D. Jordan
1:24.0,G. Hill makes free throw 2 of 2,1,98-86,,
1:18.0,,,98-88,2,A. Rivers makes 2-pt shot from 1 ft
1:08.0,M. Ellis makes 2-pt shot at rim,2,100-88,,
0:57.0,,,100-88,,W. Johnson misses 3-pt shot from 23 ft
0:56.0,,,100-88,,Offensive rebound by J. Crawford
0:54.0,,,100-88,,Turnover by B. Griffin (bad pass; steal by R. Stuckey)
0:51.0,R. Stuckey makes 2-pt shot at rim,2,102-88,,
0:43.0,,,102-91,3,L. Stephenson makes 3-pt shot from 23 ft (assist by B. Griffin)
0:39.0,,,102-91,,Personal take foul by J. Crawford (drawn by G. Hill)
0:39.0,G. Hill makes free throw 1 of 2,1,103-91,,
0:39.0,G. Hill misses free throw 2 of 2,,103-91,,
0:38.0,,,103-91,,Defensive rebound by B. Griffin
0:32.0,,,103-91,,Turnover by A. Rivers (bad pass)
0:08.0,P. George misses 3-pt shot from 27 ft,,103-91,,
0:08.0,,,103-91,,Defensive rebound by A. Rivers
0:00.0,End of 4th quarter,,,,End of 4th quarter
