time,Minnesota,pts.away,score,pts.home,LA Lakers
2:01.0,,,106-109,,Turnover by B. Bass (offensive foul)
1:51.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,108-109,,
1:34.0,,,108-109,,K. Bryant misses 2-pt shot from 21 ft
1:32.0,Defensive rebound by A. Wiggins,,108-109,,
1:26.0,Turnover by Z. LaVine (lost ball; steal by J. Clarkson),,108-109,,
1:04.0,,,108-111,2,J. Randle makes 2-pt shot from 7 ft
1:04.0,Minnesota full timeout,,108-111,,
0:46.0,Shooting foul by B. Bass (drawn by G. Dieng),,108-111,,
0:46.0,G. Dieng makes free throw 1 of 2,1,109-111,,
0:46.0,G. Dieng makes free throw 2 of 2,1,110-111,,
0:26.0,,,110-113,2,K. Bryant makes 2-pt shot from 20 ft
0:18.0,Turnover by A. Wiggins (lost ball),,110-113,,
0:18.0,,,110-113,,LA Lakers full timeout
0:17.0,Personal take foul by G. Dieng (drawn by B. Bass),,110-113,,
0:17.0,Personal take foul by A. Wiggins (drawn by K. Bryant),,110-113,,
0:17.0,,,110-114,1,K. Bryant makes free throw 1 of 2
0:17.0,,,110-115,1,K. Bryant makes free throw 2 of 2
0:10.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,112-115,,
0:08.0,Personal take foul by A. Wiggins (drawn by K. Bryant),,112-115,,
0:08.0,S. Muhammad enters the game for A. Wiggins,,112-115,,
0:08.0,,,112-116,1,K. Bryant makes free throw 1 of 2
0:08.0,,,112-117,1,K. Bryant makes free throw 2 of 2
0:08.0,Minnesota full timeout,,112-117,,
0:08.0,D. Rudez enters the game for G. Dieng,,112-117,,
0:05.0,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio),3,115-117,,
0:05.0,Personal take foul by S. Muhammad (drawn by K. Bryant),,115-117,,
0:05.0,,,115-118,1,K. Bryant makes free throw 1 of 2
0:05.0,,,115-119,1,K. Bryant makes free throw 2 of 2
0:01.0,Z. LaVine misses 3-pt shot from 25 ft,,115-119,,
0:00.0,Offensive rebound by Team,,115-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
