time,Cleveland,pts.away,score,pts.home,Portland
1:18.0,J. Cunningham misses free throw 1 of 2,,73-103,,
1:18.0,Offensive rebound by Team,,73-103,,
1:18.0,J. Cunningham makes free throw 2 of 2,1,74-103,,
0:58.0,,,74-103,,L. Montero misses 2-pt shot from 1 ft (block by S. Kaun)
0:58.0,,,74-103,,Offensive rebound by Team
0:56.0,,,74-103,,P. Connaughton misses 2-pt shot from 19 ft
0:55.0,,,74-103,,Offensive rebound by M. Harkless
0:55.0,,,74-105,2,M. Harkless makes 2-pt shot from 1 ft
0:44.0,J. Cunningham makes 2-pt shot from 14 ft,2,76-105,,
0:33.0,,,76-105,,Turnover by L. Montero (lost ball; steal by J. Cunningham)
0:28.0,J. Cunningham misses 2-pt shot at rim,,76-105,,
0:26.0,,,76-105,,Defensive rebound by T. Frazier
0:01.0,,,76-105,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
