time,Houston,pts.away,score,pts.home,Miami
3:19.0,Jump ball: M. Chalmers vs. J. Harden (T. Lawson gains possession),,,,Jump ball: M. Chalmers vs. J. Harden (T. Lawson gains possession)
3:19.0,Offensive rebound by Team,,84-97,,
3:02.0,Turnover by J. Harden (lost ball; steal by J. Winslow),,84-97,,
2:49.0,,,84-97,,D. Wade misses 2-pt shot from 20 ft
2:48.0,,,84-97,,Offensive rebound by T. Johnson
2:47.0,,,84-99,2,T. Johnson makes 2-pt shot from 1 ft
2:32.0,,,84-99,,Personal foul by M. Chalmers (drawn by M. Thornton)
2:19.0,J. Harden misses 3-pt shot from 24 ft (block by H. Whiteside),,84-99,,
2:18.0,Offensive rebound by Team,,84-99,,
2:18.0,Turnover by Team (shot clock),,84-99,,
2:18.0,,,84-99,,Miami full timeout
2:18.0,C. Brewer enters the game for M. Harrell,,84-99,,
1:58.0,,,84-101,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
1:48.0,T. Ariza makes 3-pt shot from 24 ft (assist by T. Lawson),3,87-101,,
1:30.0,,,87-103,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
1:23.0,C. Brewer misses 2-pt shot from 7 ft,,87-103,,
1:22.0,,,87-103,,Defensive rebound by T. Johnson
1:07.0,,,87-106,3,D. Wade makes 3-pt shot from 24 ft
0:59.0,T. Ariza misses 3-pt shot from 24 ft,,87-106,,
0:58.0,,,87-106,,Defensive rebound by H. Whiteside
0:37.0,,,87-109,3,T. Johnson makes 3-pt shot from 24 ft (assist by M. Chalmers)
0:27.0,C. Brewer makes 2-pt shot from 2 ft,2,89-109,,
0:03.0,,,89-109,,Turnover by Team (shot clock)
0:02.0,T. Ariza misses 3-pt shot from 40 ft,,89-109,,
0:00.0,Offensive rebound by Team,,89-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
