time,Washington,pts.away,score,pts.home,Detroit
0:41.0,N. Hilario makes free throw 1 of 2,1,99-110,,
0:41.0,N. Hilario misses free throw 2 of 2,,99-110,,
0:41.0,,,99-110,,Defensive rebound by A. Baynes
0:40.0,Personal foul by M. Morris,,99-110,,
0:40.0,,,99-111,1,A. Baynes makes free throw 1 of 2
0:40.0,,,99-112,1,A. Baynes makes free throw 2 of 2
0:40.0,Washington full timeout,,99-112,,
0:40.0,J. Dudley enters the game for N. Hilario,,99-112,,
0:32.0,B. Beal misses 2-pt shot from 3 ft,,99-112,,
0:32.0,,,99-112,,Defensive rebound by M. Morris
0:11.0,,,99-112,,Turnover by Team (shot clock)
0:01.0,A. Anderson misses 3-pt shot from 26 ft,,99-112,,
0:00.0,Offensive rebound by Team,,99-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
