time,Denver,pts.away,score,pts.home,Washington
4:59.0,,,102-99,,J. Dudley misses 2-pt shot at rim
4:58.0,Defensive rebound by K. Faried,,102-99,,
4:45.0,Turnover by E. Mudiay (lost ball; steal by J. Dudley),,102-99,,
4:42.0,,,102-99,,J. Wall misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by K. Faried,,102-99,,
4:18.0,W. Barton misses 2-pt shot from 16 ft,,102-99,,
4:17.0,,,102-99,,Defensive rebound by J. Wall
4:11.0,,,102-99,,Turnover by J. Wall (bad pass)
4:11.0,,,102-99,,B. Beal enters the game for R. Sessions
3:55.0,,,102-99,,Personal foul by J. Dudley (drawn by D. Gallinari)
3:42.0,Turnover by W. Barton (offensive goaltending),,102-99,,
3:39.0,,,102-99,,B. Beal misses 3-pt shot from 25 ft
3:37.0,,,102-99,,Offensive rebound by N. Hilario
3:31.0,,,102-99,,Turnover by J. Wall (bad pass)
3:16.0,D. Gallinari makes 3-pt shot from 28 ft (assist by E. Mudiay),3,105-99,,
2:54.0,,,105-101,2,B. Beal makes 2-pt shot from 15 ft
2:54.0,Technical foul by K. Faried,,105-101,,
2:54.0,,,105-101,,Washington full timeout
2:54.0,,,105-101,,B. Beal misses technical free throw
2:54.0,Offensive rebound by Team,,105-101,,
2:42.0,E. Mudiay makes 2-pt shot from 1 ft,2,107-101,,
2:22.0,,,107-101,,B. Beal misses 2-pt shot from 7 ft
2:21.0,,,107-101,,Offensive rebound by N. Hilario
2:16.0,,,107-104,3,G. Temple makes 3-pt shot from 26 ft (assist by J. Dudley)
1:54.0,Turnover by E. Mudiay (bad pass; steal by J. Wall),,107-104,,
1:53.0,Personal foul by E. Mudiay (drawn by J. Wall),,107-104,,
1:53.0,,,107-104,,J. Wall misses free throw 1 of 2
1:53.0,,,107-104,,Offensive rebound by Team
1:53.0,,,107-105,1,J. Wall makes free throw 2 of 2
1:33.0,D. Gallinari makes 2-pt shot from 20 ft (assist by K. Faried),2,109-105,,
1:13.0,,,109-105,,B. Beal misses 2-pt shot at rim (block by K. Faried)
1:11.0,Defensive rebound by E. Mudiay,,109-105,,
0:50.0,W. Barton misses 3-pt shot from 30 ft,,109-105,,
0:48.0,,,109-105,,Defensive rebound by Team
0:36.0,,,109-105,,G. Temple misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by D. Gallinari,,109-105,,
0:32.0,,,109-105,,Personal take foul by B. Beal (drawn by D. Gallinari)
0:30.0,,,109-105,,Personal take foul by B. Beal (drawn by E. Mudiay)
0:30.0,E. Mudiay makes free throw 1 of 2,1,110-105,,
0:30.0,E. Mudiay makes free throw 2 of 2,1,111-105,,
0:30.0,,,111-105,,Washington full timeout
0:25.0,,,111-105,,Shooting foul by G. Harris (drawn by J. Wall)
0:25.0,,,111-106,1,J. Wall makes free throw 1 of 2
0:25.0,N. Jokic enters the game for G. Harris,,111-106,,
0:25.0,,,111-107,1,J. Wall makes free throw 2 of 2
0:25.0,,,111-107,,Personal take foul by J. Dudley (drawn by K. Faried)
0:25.0,K. Faried misses free throw 1 of 2,,111-107,,
0:25.0,Offensive rebound by Team,,111-107,,
0:25.0,G. Harris enters the game for N. Jokic,,111-107,,
0:25.0,K. Faried makes free throw 2 of 2,1,112-107,,
0:20.0,,,112-107,,J. Wall misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by Team,,112-107,,
0:19.0,Denver full timeout,,112-107,,
0:19.0,M. Miller enters the game for K. Faried,,112-107,,
0:17.0,,,112-107,,Personal foul by B. Beal (drawn by E. Mudiay)
0:17.0,E. Mudiay makes free throw 1 of 2,1,113-107,,
0:17.0,K. Faried enters the game for M. Miller,,113-107,,
0:17.0,E. Mudiay misses free throw 2 of 2,,113-107,,
0:16.0,,,113-107,,Defensive rebound by G. Temple
0:16.0,,,113-107,,Washington full timeout
0:13.0,Personal foul by W. Barton (drawn by B. Beal),,113-107,,
0:13.0,,,113-108,1,B. Beal makes free throw 1 of 2
0:13.0,N. Jokic enters the game for K. Faried,,113-108,,
0:13.0,,,113-109,1,B. Beal makes free throw 2 of 2
0:13.0,Denver full timeout,,113-109,,
0:13.0,M. Miller enters the game for N. Jokic,,113-109,,
0:13.0,Denver full timeout,,113-109,,
0:11.0,,,113-109,,Personal take foul by N. Hilario (drawn by D. Gallinari)
0:11.0,D. Gallinari makes free throw 1 of 2,1,114-109,,
0:11.0,K. Faried enters the game for M. Miller,,114-109,,
0:11.0,D. Gallinari makes free throw 2 of 2,1,115-109,,
0:05.0,,,115-111,2,N. Hilario makes 2-pt shot at rim (assist by J. Dudley)
0:05.0,,,115-111,,Personal take foul by G. Temple (drawn by W. Barton)
0:05.0,W. Barton makes free throw 1 of 2,1,116-111,,
0:05.0,W. Barton makes free throw 2 of 2,1,117-111,,
0:02.0,,,117-113,2,G. Temple makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
