time,Atlanta,pts.away,score,pts.home,Boston
0:05.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,42-43,,
0:02.0,,,42-43,,Offensive charge foul by I. Thomas
0:02.0,,,42-43,,Turnover by I. Thomas (offensive foul)
0:02.0,,,42-43,,J. Jerebko enters the game for I. Thomas
0:00.0,A. Horford misses 2-pt shot from 18 ft,,42-43,,
0:00.0,Offensive rebound by Team,,42-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,42-43,,Turnover by J. Crowder (bad pass; steal by K. Korver)
11:44.0,,,42-43,,Personal foul by A. Bradley (drawn by K. Bazemore)
11:37.0,,,42-43,,Personal foul by A. Johnson (drawn by P. Millsap)
11:31.0,J. Teague makes 2-pt shot from 2 ft (assist by K. Korver),2,44-43,,
11:15.0,,,44-43,,A. Bradley misses 3-pt shot from 24 ft
11:14.0,Defensive rebound by A. Horford,,44-43,,
11:05.0,Shooting foul by A. Johnson (drawn by P. Millsap),,44-43,,
11:05.0,P. Millsap misses free throw 1 of 2,,44-43,,
11:05.0,Offensive rebound by Team,,44-43,,
11:05.0,P. Millsap makes free throw 2 of 2,1,45-43,,
10:49.0,,,45-43,,I. Thomas misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by A. Horford,,45-43,,
10:30.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,47-43,,
10:17.0,,,47-43,,J. Sullinger misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by K. Korver,,47-43,,
10:05.0,Turnover by J. Teague (bad pass; steal by J. Sullinger),,47-43,,
9:59.0,,,47-43,,A. Bradley misses 2-pt shot from 1 ft
9:58.0,,,47-43,,Offensive rebound by J. Crowder
9:57.0,,,47-45,2,J. Crowder makes 2-pt shot from 1 ft
9:31.0,J. Teague misses 2-pt shot from 5 ft,,47-45,,
9:30.0,,,47-45,,Defensive rebound by J. Sullinger
9:19.0,,,47-45,,J. Crowder misses 2-pt shot from 13 ft
9:17.0,Defensive rebound by P. Millsap,,47-45,,
9:10.0,Turnover by A. Horford (lost ball),,47-45,,
8:56.0,,,47-47,2,J. Sullinger makes 2-pt shot from 2 ft
8:40.0,Shooting foul by J. Crowder (drawn by K. Bazemore),,47-47,,
8:40.0,K. Bazemore makes free throw 1 of 2,1,48-47,,
8:40.0,,,48-47,,D. Lee enters the game for A. Johnson
8:40.0,K. Bazemore makes free throw 2 of 2,1,49-47,,
8:29.0,,,49-49,2,I. Thomas makes 2-pt shot from 2 ft
8:29.0,,,49-49,,Shooting foul by K. Bazemore (drawn by I. Thomas)
