time,Indiana,pts.away,score,pts.home,Chicago
5:53.0,,,84-89,,K. Hinrich enters the game for D. Rose
5:53.0,I. Mahinmi enters the game for L. Allen,,84-89,,
5:53.0,,,84-90,1,T. Gibson makes free throw 1 of 2
5:53.0,,,84-91,1,T. Gibson makes free throw 2 of 2
5:38.0,Turnover by M. Ellis (traveling),,84-91,,
5:12.0,,,84-91,,J. Butler misses 2-pt shot from 22 ft
5:11.0,Defensive rebound by I. Mahinmi,,84-91,,
4:56.0,Shooting foul by P. Gasol (drawn by M. Ellis),,84-91,,
4:56.0,M. Ellis makes free throw 1 of 2,1,85-91,,
4:56.0,M. Ellis makes free throw 2 of 2,1,86-91,,
4:43.0,,,86-91,,J. Butler misses 2-pt shot from 19 ft
4:42.0,,,86-91,,Offensive rebound by T. Gibson
4:42.0,,,86-91,,T. Gibson misses 2-pt shot from 1 ft
4:42.0,,,86-91,,Offensive rebound by Team
4:42.0,Personal foul by I. Mahinmi (drawn by J. Butler),,86-91,,
4:29.0,,,86-91,,P. Gasol misses 2-pt shot from 8 ft (block by I. Mahinmi)
4:26.0,Defensive rebound by P. George,,86-91,,
4:24.0,,,86-91,,Personal foul by K. Hinrich (drawn by M. Ellis)
4:18.0,Shooting foul by J. Butler (drawn by P. George),,86-91,,
4:18.0,P. George makes free throw 1 of 2,1,87-91,,
4:18.0,P. George misses free throw 2 of 2,,87-91,,
4:17.0,,,87-91,,Defensive rebound by Team
4:09.0,Personal foul by M. Ellis (drawn by K. Hinrich),,87-91,,
4:09.0,,,87-92,1,K. Hinrich makes free throw 1 of 2
4:09.0,,,87-92,,T. Snell enters the game for E. Moore
4:09.0,,,87-93,1,K. Hinrich makes free throw 2 of 2
3:53.0,P. George makes 2-pt shot at rim,2,89-93,,
3:29.0,,,89-93,,K. Hinrich misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by P. George,,89-93,,
3:19.0,P. George makes 2-pt shot from 1 ft,2,91-93,,
2:54.0,,,91-93,,T. Gibson misses 2-pt shot from 12 ft
2:53.0,Defensive rebound by P. George,,91-93,,
2:40.0,P. George misses 2-pt shot from 14 ft,,91-93,,
2:40.0,Offensive rebound by Team,,91-93,,
2:40.0,,,91-93,,Chicago full timeout
2:40.0,L. Allen enters the game for J. Hill,,91-93,,
2:33.0,M. Ellis makes 2-pt shot from 1 ft,2,93-93,,
2:11.0,,,93-93,,P. Gasol misses 2-pt shot from 17 ft
2:11.0,,,93-93,,Offensive rebound by Team
2:01.0,,,93-93,,Shooting foul by I. Mahinmi (drawn by P. Gasol)
2:01.0,,,93-93,,P. Gasol misses free throw 1 of 2
2:01.0,,,93-93,,Offensive rebound by Team
2:01.0,,,93-93,,E. Moore enters the game for K. Hinrich
2:01.0,,,93-94,1,P. Gasol makes free throw 2 of 2
1:42.0,C. Miles misses 3-pt shot from 24 ft,,93-94,,
1:41.0,,,93-94,,Defensive rebound by J. Butler
1:24.0,,,93-96,2,J. Butler makes 2-pt shot from 14 ft
1:08.0,L. Allen misses 2-pt shot from 20 ft,,93-96,,
1:08.0,Offensive rebound by I. Mahinmi,,93-96,,
1:08.0,,,93-96,,Personal foul by T. Gibson (drawn by I. Mahinmi)
1:08.0,I. Mahinmi misses free throw 1 of 2,,93-96,,
1:08.0,Offensive rebound by Team,,93-96,,
1:08.0,I. Mahinmi misses free throw 2 of 2,,93-96,,
1:04.0,,,93-96,,Defensive rebound by T. Snell
1:02.0,,,93-96,,Offensive charge foul by T. Snell
1:02.0,,,93-96,,Turnover by T. Snell (offensive foul)
1:02.0,Indiana full timeout,,93-96,,
1:02.0,,,93-96,,J. Noah enters the game for P. Gasol
0:46.0,M. Ellis makes 2-pt shot from 1 ft,2,95-96,,
0:31.0,,,95-96,,Chicago full timeout
0:31.0,,,95-96,,P. Gasol enters the game for J. Noah
0:25.0,,,95-96,,J. Butler misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by L. Allen,,95-96,,
0:05.0,Indiana full timeout,,95-96,,
0:05.0,,,95-96,,J. Noah enters the game for P. Gasol
0:01.0,P. George misses 2-pt shot from 8 ft (block by J. Butler),,95-96,,
0:00.0,,,95-96,,Defensive rebound by J. Noah
0:00.0,End of 4th quarter,,,,End of 4th quarter
