time,Detroit,pts.away,score,pts.home,Brooklyn
1:03.0,,,100-98,,Personal foul by D. Sloan (drawn by R. Jackson)
1:03.0,,,100-98,,A. Bargnani enters the game for T. Young
1:03.0,,,100-98,,B. Bogdanovic enters the game for W. Ellington
0:51.0,R. Jackson makes 2-pt shot from 19 ft,2,102-98,,
0:51.0,,,102-98,,Brooklyn full timeout
0:51.0,,,102-98,,S. Larkin enters the game for D. Sloan
0:35.0,,,102-100,2,S. Larkin makes 2-pt shot from 1 ft
0:15.0,R. Jackson makes 2-pt shot from 4 ft,2,104-100,,
0:15.0,,,104-100,,Brooklyn full timeout
0:15.0,,,104-100,,W. Ellington enters the game for A. Bargnani
0:15.0,S. Johnson enters the game for E. Ilyasova,,104-100,,
0:09.0,,,104-100,,W. Ellington misses 3-pt shot from 24 ft (block by A. Drummond)
0:08.0,Defensive rebound by K. Caldwell-Pope,,104-100,,
0:07.0,,,104-100,,Personal foul by B. Bogdanovic (drawn by M. Morris)
0:07.0,M. Morris makes free throw 1 of 2,1,105-100,,
0:07.0,M. Morris misses free throw 2 of 2,,105-100,,
0:06.0,,,105-100,,Defensive rebound by B. Lopez
0:01.0,,,105-100,,J. Johnson misses 3-pt shot from 35 ft
0:00.0,,,105-100,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
