time,LA Lakers,pts.away,score,pts.home,Detroit
5:53.0,,,79-102,2,S. Blake makes 2-pt shot from 1 ft
5:51.0,R. Sacre makes 2-pt shot from 6 ft (assist by M. Huertas),2,81-102,,
5:51.0,,,81-102,,Detroit full timeout
5:51.0,LA Lakers full timeout,,81-102,,
5:29.0,,,81-102,,Turnover by S. Johnson (bad pass; steal by R. Kelly)
5:07.0,R. Sacre misses 2-pt shot from 8 ft,,81-102,,
5:06.0,,,81-102,,Defensive rebound by A. Tolliver
4:56.0,,,81-102,,D. Hilliard misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by R. Kelly,,81-102,,
4:43.0,Shooting foul by A. Tolliver (drawn by R. Kelly),,81-102,,
4:43.0,R. Kelly makes free throw 1 of 2,1,82-102,,
4:43.0,,,82-102,,S. Dinwiddie enters the game for S. Blake
4:43.0,R. Kelly misses free throw 2 of 2,,82-102,,
4:41.0,,,82-102,,Defensive rebound by A. Tolliver
4:25.0,,,82-102,,A. Baynes misses 2-pt shot from 2 ft (block by M. World Peace)
4:24.0,,,82-102,,Offensive rebound by D. Hilliard
4:23.0,,,82-102,,D. Hilliard misses 3-pt shot from 22 ft
4:23.0,Defensive rebound by M. Huertas,,82-102,,
4:12.0,M. Huertas makes 2-pt shot at rim,2,84-102,,
3:50.0,,,84-102,,D. Hilliard misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by R. Kelly,,84-102,,
3:40.0,R. Sacre misses 2-pt shot from 6 ft,,84-102,,
3:39.0,,,84-102,,Defensive rebound by S. Johnson
3:29.0,,,84-102,,S. Johnson misses 2-pt shot from 12 ft
3:29.0,,,84-102,,Offensive rebound by A. Baynes
3:24.0,,,84-105,3,D. Hilliard makes 3-pt shot from 26 ft (assist by A. Baynes)
3:05.0,M. Huertas makes 3-pt shot from 26 ft,3,87-105,,
2:39.0,,,87-105,,D. Hilliard misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by R. Sacre,,87-105,,
2:28.0,L. Williams makes 3-pt shot from 26 ft (assist by M. Huertas),3,90-105,,
2:28.0,,,90-105,,Detroit full timeout
2:28.0,,,90-105,,R. Bullock enters the game for A. Baynes
2:28.0,,,90-105,,J. Anthony enters the game for S. Johnson
2:13.0,,,90-105,,Shooting foul by R. Sacre (drawn by R. Bullock)
2:13.0,,,90-106,1,R. Bullock makes free throw 1 of 2
2:13.0,,,90-107,1,R. Bullock makes free throw 2 of 2
1:56.0,R. Kelly misses 3-pt shot from 26 ft,,90-107,,
1:55.0,,,90-107,,Defensive rebound by R. Bullock
1:45.0,,,90-107,,Shooting foul by R. Sacre (drawn by D. Hilliard)
1:45.0,,,90-108,1,D. Hilliard makes free throw 1 of 2
1:45.0,,,90-108,,S. Johnson enters the game for A. Tolliver
1:45.0,,,90-109,1,D. Hilliard makes free throw 2 of 2
1:32.0,Shooting foul by D. Hilliard (drawn by L. Williams),,90-109,,
1:32.0,L. Williams makes free throw 1 of 2,1,91-109,,
1:32.0,L. Williams misses free throw 2 of 2,,91-109,,
1:30.0,,,91-109,,Defensive rebound by J. Anthony
1:07.0,,,91-111,2,S. Dinwiddie makes 2-pt shot from 11 ft
0:42.0,M. World Peace misses 2-pt shot from 19 ft,,91-111,,
0:42.0,,,91-111,,Defensive rebound by S. Johnson
0:32.0,,,91-111,,S. Johnson misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by Team,,91-111,,
0:20.0,M. Huertas misses 2-pt shot from 6 ft (block by J. Anthony),,91-111,,
0:19.0,,,91-111,,Defensive rebound by S. Dinwiddie
0:00.0,End of 4th quarter,,,,End of 4th quarter
