time,Brooklyn,pts.away,score,pts.home,Utah
4:03.0,,,87-80,,Personal foul by C. Johnson (drawn by D. Sloan)
3:46.0,W. Ellington misses 3-pt shot from 24 ft,,87-80,,
3:46.0,,,87-80,,Defensive rebound by Team
3:34.0,,,87-80,,R. Hood misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by B. Lopez,,87-80,,
3:32.0,Turnover by B. Lopez (lost ball),,87-80,,
3:28.0,,,87-80,,G. Hayward misses 2-pt shot from 18 ft
3:27.0,,,87-80,,Offensive rebound by T. Booker
3:25.0,,,87-80,,R. Hood misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by D. Sloan,,87-80,,
3:13.0,Shooting foul by R. Gobert (drawn by B. Lopez),,87-80,,
3:13.0,B. Lopez makes free throw 1 of 2,1,88-80,,
3:13.0,B. Lopez makes free throw 2 of 2,1,89-80,,
3:02.0,,,89-82,2,C. Johnson makes 2-pt shot from 2 ft
2:56.0,Brooklyn full timeout,,89-82,,
2:51.0,Turnover by T. Young (lost ball),,89-82,,
2:33.0,,,89-84,2,G. Hayward makes 2-pt shot from 11 ft
2:12.0,T. Young makes 2-pt shot from 1 ft,2,91-84,,
1:59.0,,,91-86,2,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward)
1:44.0,D. Sloan misses 2-pt shot from 18 ft (block by C. Johnson),,91-86,,
1:43.0,Offensive rebound by T. Young,,91-86,,
1:41.0,T. Young misses 2-pt shot from 5 ft,,91-86,,
1:40.0,,,91-86,,Defensive rebound by R. Hood
1:31.0,,,91-86,,R. Hood misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by B. Bogdanovic,,91-86,,
1:26.0,,,91-86,,Personal foul by C. Johnson (drawn by D. Sloan)
1:26.0,D. Sloan makes free throw 1 of 2,1,92-86,,
1:26.0,M. Brown enters the game for B. Bogdanovic,,92-86,,
1:26.0,D. Sloan misses free throw 2 of 2,,92-86,,
1:25.0,,,92-86,,Defensive rebound by G. Hayward
1:16.0,,,92-86,,G. Hayward misses 3-pt shot from 24 ft
1:15.0,,,92-86,,Offensive rebound by R. Gobert
1:07.0,Personal block foul by T. Young (drawn by G. Hayward),,92-86,,
1:00.0,,,92-86,,C. Johnson misses 2-pt shot from 3 ft
1:00.0,Defensive rebound by M. Brown,,92-86,,
0:54.0,Turnover by B. Lopez (lost ball; steal by G. Hayward),,92-86,,
0:47.0,,,92-89,3,G. Hayward makes 3-pt shot from 24 ft
0:47.0,Brooklyn full timeout,,92-89,,
0:47.0,B. Bogdanovic enters the game for M. Brown,,92-89,,
0:47.0,Brooklyn full timeout,,92-89,,
0:33.0,B. Lopez makes 2-pt shot at rim,2,94-89,,
0:33.0,,,94-89,,Utah full timeout
0:33.0,,,94-89,,D. Favors enters the game for T. Booker
0:33.0,,,94-89,,S. Mack enters the game for C. Johnson
0:33.0,M. Brown enters the game for B. Lopez,,94-89,,
0:31.0,,,94-91,2,G. Hayward makes 2-pt shot at rim (assist by R. Hood)
0:23.0,,,94-91,,Personal foul by S. Mack (drawn by M. Brown)
0:23.0,M. Brown makes free throw 1 of 2,1,95-91,,
0:23.0,M. Brown makes free throw 2 of 2,1,96-91,,
0:23.0,,,96-91,,Utah full timeout
0:16.0,,,96-91,,Shooting foul by M. Brown (drawn by R. Hood)
0:16.0,,,96-92,1,R. Hood makes free throw 1 of 3
0:16.0,,,96-93,1,R. Hood makes free throw 2 of 3
0:16.0,B. Lopez enters the game for M. Brown,,96-93,,
0:16.0,,,96-93,,C. Johnson enters the game for G. Hayward
0:16.0,,,96-93,,T. Booker enters the game for D. Favors
0:16.0,,,96-94,1,R. Hood makes free throw 3 of 3
0:16.0,Brooklyn full timeout,,96-94,,
0:13.0,,,96-94,,Personal foul by C. Johnson (drawn by D. Sloan)
0:13.0,D. Sloan misses free throw 1 of 2,,96-94,,
0:13.0,Offensive rebound by Team,,96-94,,
0:13.0,,,96-94,,D. Favors enters the game for T. Booker
0:13.0,,,96-94,,J. Ingles enters the game for C. Johnson
0:13.0,D. Sloan makes free throw 2 of 2,1,97-94,,
0:13.0,,,97-94,,Utah full timeout
0:13.0,M. Brown enters the game for B. Lopez,,97-94,,
0:13.0,,,97-94,,G. Hayward enters the game for R. Gobert
0:07.0,,,97-96,2,G. Hayward makes 2-pt shot from 1 ft
0:06.0,,,97-96,,Personal foul by D. Favors (drawn by W. Ellington)
0:06.0,W. Ellington misses free throw 1 of 2,,97-96,,
0:06.0,Offensive rebound by Team,,97-96,,
0:06.0,W. Ellington makes free throw 2 of 2,1,98-96,,
0:01.0,,,98-96,,J. Ingles misses 3-pt shot from 24 ft
0:00.0,,,98-96,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
