time,Minnesota,pts.away,score,pts.home,Memphis
2:45.0,,,95-99,1,M. Chalmers makes free throw 1 of 2
2:45.0,,,95-100,1,M. Chalmers makes free throw 2 of 2
2:33.0,A. Wiggins misses 2-pt shot from 19 ft,,95-100,,
2:32.0,,,95-100,,Defensive rebound by M. Chalmers
2:18.0,,,95-100,,M. Chalmers misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by K. Towns,,95-100,,
2:01.0,K. Towns misses 2-pt shot from 1 ft,,95-100,,
2:01.0,Offensive rebound by K. Towns,,95-100,,
2:01.0,,,95-100,,Personal foul by Z. Randolph
2:01.0,K. Towns makes free throw 1 of 2,1,96-100,,
2:01.0,K. Towns makes free throw 2 of 2,1,97-100,,
1:41.0,,,97-100,,Turnover by Z. Randolph (lost ball; steal by A. Wiggins)
1:35.0,,,97-100,,Personal block foul by M. Conley
1:35.0,A. Wiggins makes free throw 1 of 2,1,98-100,,
1:35.0,A. Wiggins makes free throw 2 of 2,1,99-100,,
1:21.0,,,99-100,,M. Barnes misses 3-pt shot from 24 ft
1:20.0,,,99-100,,Offensive rebound by V. Carter
1:20.0,,,99-102,2,V. Carter makes 2-pt shot from 1 ft
1:08.0,Z. LaVine misses 3-pt shot from 26 ft,,99-102,,
1:07.0,,,99-102,,Defensive rebound by M. Barnes
0:48.0,,,99-102,,Shooting foul by G. Dieng (drawn by M. Barnes)
0:48.0,,,99-103,1,M. Barnes makes free throw 1 of 2
0:48.0,,,99-104,1,M. Barnes makes free throw 2 of 2
0:48.0,Minnesota full timeout,,99-104,,
0:40.0,K. Towns misses 3-pt shot from 23 ft,,99-104,,
0:38.0,,,99-104,,Defensive rebound by M. Barnes
0:38.0,Personal take foul by R. Rubio,,99-104,,
0:38.0,,,99-105,1,M. Barnes makes free throw 1 of 2
0:38.0,,,99-106,1,M. Barnes makes free throw 2 of 2
0:31.0,Shooting foul by M. Conley (drawn by R. Rubio),,99-106,,
0:31.0,R. Rubio makes free throw 1 of 3,1,100-106,,
0:31.0,R. Rubio makes free throw 2 of 3,1,101-106,,
0:31.0,R. Rubio makes free throw 3 of 3,1,102-106,,
0:31.0,Away from play foul by Z. LaVine,,102-106,,
0:31.0,,,102-107,1,V. Carter makes free throw 1 of 1
0:29.0,Personal take foul by Z. LaVine,,102-107,,
0:29.0,,,102-107,,M. Conley misses free throw 1 of 2
0:29.0,,,102-107,,Offensive rebound by Team
0:29.0,,,102-108,1,M. Conley makes free throw 2 of 2
0:21.0,K. Towns misses 3-pt shot from 26 ft,,102-108,,
0:20.0,Offensive rebound by G. Dieng,,102-108,,
0:19.0,Shooting foul by V. Carter (drawn by G. Dieng),,102-108,,
0:19.0,G. Dieng makes free throw 1 of 2,1,103-108,,
0:19.0,S. Muhammad enters the game for Z. LaVine,,103-108,,
0:19.0,,,103-108,,C. Andersen enters the game for M. Barnes
0:19.0,G. Dieng makes free throw 2 of 2,1,104-108,,
0:19.0,,,104-108,,Memphis full timeout
0:19.0,,,104-108,,M. Barnes enters the game for C. Andersen
0:17.0,Personal take foul by K. Towns,,104-108,,
0:17.0,,,104-108,,M. Chalmers misses free throw 1 of 2
0:17.0,,,104-108,,Offensive rebound by Team
0:17.0,Z. LaVine enters the game for G. Dieng,,104-108,,
0:17.0,,,104-109,1,M. Chalmers makes free throw 2 of 2
0:10.0,S. Muhammad misses 3-pt shot from 25 ft,,104-109,,
0:09.0,,,104-109,,Defensive rebound by M. Barnes
0:00.0,End of 4th quarter,,,,End of 4th quarter
