time,San Antonio,pts.away,score,pts.home,LA Lakers
0:36.0,B. Marjanovic enters the game for T. Duncan,,116-107,,
0:36.0,,,116-107,,N. Young enters the game for K. Bryant
0:36.0,R. McCallum enters the game for P. Mills,,116-107,,
0:36.0,R. Butler enters the game for L. Aldridge,,116-107,,
0:36.0,T. Parker makes free throw 2 of 2,1,117-107,,
0:36.0,,,117-107,,LA Lakers full timeout
0:36.0,J. Simmons enters the game for T. Parker,,117-107,,
0:31.0,,,117-110,3,L. Williams makes 3-pt shot from 24 ft
0:09.0,K. Anderson makes 2-pt shot from 12 ft,2,119-110,,
0:02.0,,,119-113,3,J. Randle makes 3-pt shot from 27 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
