time,Toronto,pts.away,score,pts.home,Dallas
6:18.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,84-86,,
6:05.0,,,84-86,,Turnover by J. Barea (bad pass; steal by D. DeRozan)
5:59.0,L. Scola makes 2-pt shot at rim (assist by D. Carroll),2,86-86,,
5:58.0,,,86-86,,Dallas full timeout
5:53.0,Personal foul by K. Lowry (drawn by D. Nowitzki),,86-86,,
5:36.0,,,86-86,,J. Barea misses 2-pt shot from 11 ft (block by K. Lowry)
5:33.0,,,86-86,,Offensive rebound by W. Matthews
5:28.0,,,86-86,,D. Nowitzki misses 2-pt shot from 11 ft
5:27.0,Defensive rebound by D. DeRozan,,86-86,,
5:20.0,L. Scola misses 3-pt shot from 22 ft,,86-86,,
5:19.0,Offensive rebound by Team,,86-86,,
5:17.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,88-86,,
5:03.0,,,88-86,,W. Matthews misses 2-pt shot from 13 ft
5:01.0,Defensive rebound by L. Scola,,88-86,,
4:51.0,,,88-86,,Personal block foul by W. Matthews (drawn by D. DeRozan)
4:51.0,D. DeRozan makes free throw 1 of 2,1,89-86,,
4:51.0,,,89-86,,D. Harris enters the game for W. Matthews
4:51.0,C. Joseph enters the game for D. Carroll,,89-86,,
4:51.0,D. DeRozan makes free throw 2 of 2,1,90-86,,
4:37.0,,,90-86,,D. Williams misses 2-pt shot from 18 ft
4:36.0,,,90-86,,Offensive rebound by D. Nowitzki
4:32.0,,,90-86,,D. Nowitzki misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by L. Scola,,90-86,,
4:12.0,K. Lowry misses 2-pt shot from 9 ft,,90-86,,
4:10.0,Offensive rebound by J. Valanciunas,,90-86,,
4:10.0,J. Valanciunas makes 2-pt shot at rim,2,92-86,,
4:10.0,,,92-86,,Dallas full timeout
3:51.0,,,92-86,,J. Barea misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by Team,,92-86,,
3:51.0,,,92-86,,Loose ball foul by Z. Pachulia (drawn by J. Valanciunas)
3:51.0,J. Valanciunas makes free throw 1 of 2,1,93-86,,
3:51.0,,,93-86,,D. Powell enters the game for D. Nowitzki
3:51.0,J. Valanciunas makes free throw 2 of 2,1,94-86,,
3:42.0,,,94-86,,D. Williams misses 2-pt shot from 19 ft
3:41.0,Defensive rebound by K. Lowry,,94-86,,
3:28.0,Turnover by K. Lowry (bad pass),,94-86,,
3:13.0,,,94-86,,D. Williams misses 3-pt shot from 23 ft
3:12.0,Defensive rebound by D. DeRozan,,94-86,,
2:53.0,K. Lowry misses 2-pt shot from 20 ft,,94-86,,
2:52.0,,,94-86,,Defensive rebound by D. Powell
2:46.0,,,94-88,2,D. Harris makes 2-pt shot from 1 ft (assist by D. Williams)
2:46.0,,,94-88,,Shooting foul by K. Lowry (drawn by D. Harris)
2:46.0,Official timeout,,94-88,,
2:46.0,,,94-88,,D. Nowitzki enters the game for D. Powell
2:46.0,,,94-88,,W. Matthews enters the game for J. Barea
2:46.0,,,94-89,1,D. Harris makes free throw 1 of 1
2:28.0,D. DeRozan misses 2-pt shot from 14 ft (block by D. Harris),,94-89,,
2:27.0,,,94-89,,Defensive rebound by D. Harris
2:10.0,,,94-89,,D. Nowitzki misses 2-pt shot from 14 ft
2:09.0,Defensive rebound by J. Valanciunas,,94-89,,
1:50.0,L. Scola makes 3-pt shot from 22 ft (assist by K. Lowry),3,97-89,,
1:40.0,,,97-89,,Turnover by Z. Pachulia (lost ball; steal by K. Lowry)
1:20.0,K. Lowry makes 2-pt shot from 20 ft,2,99-89,,
1:20.0,,,99-89,,Away from play foul by D. Williams (drawn by J. Valanciunas)
1:20.0,,,99-89,,Dallas full timeout
1:20.0,,,99-89,,J. Barea enters the game for Z. Pachulia
1:20.0,,,99-89,,Violation by Team (delay of game)
1:20.0,J. Valanciunas makes free throw 1 of 1,1,100-89,,
1:14.0,,,100-89,,W. Matthews misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by K. Lowry,,100-89,,
1:09.0,,,100-89,,Personal take foul by D. Harris (drawn by K. Lowry)
1:09.0,K. Lowry makes free throw 1 of 2,1,101-89,,
1:09.0,,,101-89,,R. Felton enters the game for D. Nowitzki
1:09.0,,,101-89,,D. Powell enters the game for D. Williams
1:09.0,K. Lowry makes free throw 2 of 2,1,102-89,,
1:00.0,,,102-89,,D. Powell misses 2-pt shot from 6 ft
0:59.0,Defensive rebound by L. Scola,,102-89,,
0:42.0,Offensive foul by J. Valanciunas,,102-89,,
0:42.0,Turnover by J. Valanciunas (offensive foul),,102-89,,
0:42.0,,,102-89,,S. Mejri enters the game for D. Powell
0:42.0,,,102-89,,J. Anderson enters the game for D. Harris
0:42.0,N. Powell enters the game for J. Valanciunas,,102-89,,
0:42.0,T. Ross enters the game for K. Lowry,,102-89,,
0:32.0,,,102-89,,J. Anderson misses 2-pt shot from 15 ft
0:31.0,Defensive rebound by L. Scola,,102-89,,
0:09.0,Turnover by C. Joseph (lost ball; steal by J. Barea),,102-89,,
0:05.0,,,102-91,2,J. Anderson makes 2-pt shot at rim (assist by W. Matthews)
0:00.0,End of 4th quarter,,,,End of 4th quarter
