time,San Antonio,pts.away,score,pts.home,Washington
1:00.0,Turnover by T. Parker (lost ball; steal by B. Beal),,96-96,,
0:51.0,,,96-96,,Shooting foul by L. Aldridge (drawn by J. Wall)
0:51.0,,,96-97,1,J. Wall makes free throw 1 of 2
0:51.0,,,96-97,,J. Wall misses free throw 2 of 2
0:50.0,Defensive rebound by L. Aldridge,,96-97,,
0:50.0,San Antonio full timeout,,96-97,,
0:45.0,L. Aldridge misses 2-pt shot from 18 ft,,96-97,,
0:43.0,Offensive rebound by Team,,96-97,,
0:28.0,K. Leonard misses 2-pt shot from 20 ft,,96-97,,
0:27.0,Offensive rebound by L. Aldridge,,96-97,,
0:24.0,K. Leonard misses 2-pt shot from 14 ft,,96-97,,
0:22.0,,,96-97,,Defensive rebound by M. Gortat
0:18.0,Personal take foul by T. Duncan (drawn by J. Wall),,96-97,,
0:18.0,,,96-98,1,J. Wall makes free throw 1 of 2
0:18.0,,,96-99,1,J. Wall makes free throw 2 of 2
0:18.0,San Antonio full timeout,,96-99,,
0:18.0,D. Green enters the game for M. Ginobili,,96-99,,
0:08.0,T. Parker makes 3-pt shot from 26 ft (assist by D. Green),3,99-99,,
0:07.0,,,99-99,,Washington full timeout
0:07.0,M. Ginobili enters the game for T. Duncan,,99-99,,
0:07.0,,,99-99,,Washington full timeout
0:01.0,,,99-102,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
0:00.0,Turnover by D. Green (bad pass; steal by J. Wall),,99-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
