time,Milwaukee,pts.away,score,pts.home,Oklahoma City
7:54.0,Violation by M. Plumlee (def goaltending),,95-105,,
7:54.0,,,95-107,2,R. Westbrook makes 2-pt shot from 2 ft
7:38.0,M. Carter-Williams misses 2-pt shot from 16 ft,,95-107,,
7:37.0,,,95-107,,Defensive rebound by C. Payne
7:29.0,,,95-109,2,C. Payne makes 2-pt shot from 21 ft
7:15.0,Shooting foul by R. Westbrook (drawn by O. Mayo),,95-109,,
7:15.0,O. Mayo makes free throw 1 of 2,1,96-109,,
7:15.0,J. Henson enters the game for M. Plumlee,,96-109,,
7:15.0,,,96-109,,K. Durant enters the game for A. Morrow
7:15.0,O. Mayo makes free throw 2 of 2,1,97-109,,
7:03.0,,,97-111,2,E. Kanter makes 2-pt shot at rim (assist by C. Payne)
6:54.0,K. Middleton makes 3-pt shot from 25 ft (assist by O. Mayo),3,100-111,,
6:38.0,,,100-111,,R. Westbrook misses 2-pt shot at rim (block by J. Henson)
6:37.0,Defensive rebound by M. Carter-Williams,,100-111,,
6:34.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,102-111,,
6:13.0,,,102-111,,K. Durant misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by J. Henson,,102-111,,
6:06.0,M. Carter-Williams misses 2-pt shot from 1 ft,,102-111,,
6:05.0,,,102-111,,Defensive rebound by E. Kanter
6:01.0,,,102-111,,R. Westbrook misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by G. Antetokounmpo,,102-111,,
5:49.0,J. Bayless enters the game for O. Mayo,,102-111,,
5:49.0,,,102-111,,D. Waiters enters the game for C. Payne
5:38.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,104-111,,
5:28.0,,,104-113,2,E. Kanter makes 2-pt shot at rim (assist by K. Durant)
5:06.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,106-113,,
4:52.0,,,106-113,,D. Waiters misses 3-pt shot from 22 ft
4:51.0,Defensive rebound by J. Henson,,106-113,,
4:47.0,Turnover by M. Carter-Williams (bad pass),,106-113,,
4:24.0,,,106-113,,K. Durant misses 2-pt shot from 20 ft
4:24.0,,,106-113,,Offensive rebound by E. Kanter
4:23.0,,,106-113,,Shooting foul by G. Antetokounmpo (drawn by E. Kanter)
4:23.0,,,106-114,1,E. Kanter makes free throw 1 of 2
4:23.0,,,106-115,1,E. Kanter makes free throw 2 of 2
4:14.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,108-115,,
3:59.0,,,108-117,2,E. Kanter makes 2-pt shot at rim (assist by K. Durant)
3:42.0,K. Middleton makes 2-pt shot from 1 ft,2,110-117,,
3:29.0,,,110-117,,Shooting foul by J. Henson (drawn by E. Kanter)
3:29.0,,,110-118,1,E. Kanter makes free throw 1 of 2
3:29.0,,,110-119,1,E. Kanter makes free throw 2 of 2
3:16.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,112-119,,
2:57.0,,,112-121,2,K. Durant makes 2-pt shot from 10 ft
2:44.0,,,112-121,,Personal block foul by E. Kanter (drawn by K. Middleton)
2:44.0,,,112-121,,Oklahoma City full timeout
2:44.0,,,112-121,,S. Adams enters the game for E. Kanter
2:44.0,O. Mayo enters the game for J. Bayless,,112-121,,
2:44.0,K. Middleton makes free throw 1 of 2,1,113-121,,
2:44.0,K. Middleton makes free throw 2 of 2,1,114-121,,
2:30.0,,,114-123,2,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook)
2:12.0,J. Henson misses 2-pt shot from 3 ft,,114-123,,
2:11.0,Offensive rebound by G. Antetokounmpo,,114-123,,
2:11.0,G. Antetokounmpo makes 2-pt shot at rim,2,116-123,,
2:03.0,,,116-123,,Oklahoma City full timeout
2:03.0,,,116-123,,A. Roberson enters the game for S. Adams
1:52.0,,,116-125,2,R. Westbrook makes 2-pt shot from 1 ft
1:48.0,,,116-125,,Personal foul by K. Durant (drawn by G. Antetokounmpo)
1:48.0,G. Antetokounmpo misses free throw 1 of 2,,116-125,,
1:48.0,Offensive rebound by Team,,116-125,,
1:48.0,G. Antetokounmpo makes free throw 2 of 2,1,117-125,,
1:30.0,,,117-125,,K. Durant misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by M. Carter-Williams,,117-125,,
1:24.0,,,117-125,,Personal foul by A. Roberson (drawn by G. Antetokounmpo)
1:24.0,G. Antetokounmpo makes free throw 1 of 2,1,118-125,,
1:24.0,G. Antetokounmpo makes free throw 2 of 2,1,119-125,,
1:15.0,,,119-127,2,R. Westbrook makes 2-pt shot at rim
1:06.0,Turnover by O. Mayo (bad pass; steal by R. Westbrook),,119-127,,
0:56.0,,,119-127,,Turnover by R. Westbrook (bad pass; steal by M. Carter-Williams)
0:51.0,M. Carter-Williams makes 2-pt shot at rim,2,121-127,,
0:34.0,,,121-127,,S. Ibaka misses 3-pt shot from 22 ft
0:33.0,Defensive rebound by M. Carter-Williams,,121-127,,
0:23.0,K. Middleton misses 3-pt shot from 24 ft,,121-127,,
0:22.0,,,121-127,,Defensive rebound by R. Westbrook
0:19.0,Personal take foul by G. Antetokounmpo (drawn by R. Westbrook),,121-127,,
0:19.0,,,121-127,,A. Morrow enters the game for A. Roberson
0:19.0,J. Bayless enters the game for O. Mayo,,121-127,,
0:17.0,Personal take foul by G. Antetokounmpo (drawn by R. Westbrook),,121-127,,
0:17.0,,,121-128,1,K. Durant makes free throw 1 of 2
0:17.0,,,121-128,,A. Roberson enters the game for A. Morrow
0:17.0,,,121-129,1,K. Durant makes free throw 2 of 2
0:17.0,Milwaukee full timeout,,121-129,,
0:17.0,O. Mayo enters the game for J. Bayless,,121-129,,
0:12.0,O. Mayo misses 2-pt shot from 11 ft,,121-129,,
0:11.0,,,121-129,,Defensive rebound by A. Roberson
0:08.0,Personal foul by G. Antetokounmpo (drawn by A. Roberson),,121-129,,
0:08.0,J. Bayless enters the game for G. Antetokounmpo,,121-129,,
0:08.0,,,121-130,1,A. Roberson makes free throw 1 of 2
0:08.0,,,121-131,1,A. Roberson makes free throw 2 of 2
0:01.0,K. Middleton makes 2-pt shot at rim,2,123-131,,
0:01.0,,,123-131,,Turnover by K. Durant (bad pass; steal by O. Mayo)
0:00.0,O. Mayo misses 2-pt shot from 9 ft,,123-131,,
0:00.0,Offensive rebound by Team,,123-131,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
