time,Milwaukee,pts.away,score,pts.home,Minnesota
3:50.0,J. Bayless makes free throw 1 of 2,1,86-75,,
3:50.0,J. Bayless makes free throw 2 of 2,1,87-75,,
3:41.0,,,87-75,,S. Muhammad misses 2-pt shot from 4 ft
3:40.0,,,87-75,,Offensive rebound by S. Muhammad
3:39.0,,,87-77,2,S. Muhammad makes 2-pt shot from 2 ft
3:17.0,J. Bayless misses 3-pt shot from 24 ft,,87-77,,
3:16.0,Offensive rebound by G. Monroe,,87-77,,
2:54.0,J. Bayless misses 2-pt shot from 16 ft,,87-77,,
2:53.0,Offensive rebound by G. Monroe,,87-77,,
2:51.0,G. Monroe makes 2-pt shot from 1 ft,2,89-77,,
2:42.0,,,89-79,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
2:30.0,Milwaukee full timeout,,89-79,,
2:22.0,Turnover by K. Middleton (lost ball),,89-79,,
2:17.0,Personal foul by M. Carter-Williams (drawn by R. Rubio),,89-79,,
2:17.0,,,89-80,1,R. Rubio makes free throw 1 of 2
2:17.0,,,89-80,,R. Rubio misses free throw 2 of 2
2:15.0,Defensive rebound by G. Monroe,,89-80,,
2:00.0,Shooting foul by Z. LaVine (drawn by J. Parker),,89-80,,
2:00.0,J. Parker makes free throw 1 of 2,1,90-80,,
2:00.0,J. Parker makes free throw 2 of 2,1,91-80,,
1:52.0,,,91-80,,Turnover by Z. LaVine (bad pass; steal by G. Monroe)
1:34.0,G. Monroe makes 2-pt shot at rim (assist by K. Middleton),2,93-80,,
1:24.0,,,93-80,,R. Rubio misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by J. Bayless,,93-80,,
1:01.0,Shooting foul by G. Dieng (drawn by G. Monroe),,93-80,,
1:01.0,G. Monroe makes free throw 1 of 2,1,94-80,,
1:01.0,G. Monroe makes free throw 2 of 2,1,95-80,,
0:50.0,,,95-82,2,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad)
0:28.0,Turnover by J. Bayless (lost ball),,95-82,,
0:21.0,,,95-82,,S. Muhammad misses 3-pt shot from 23 ft
0:19.0,,,95-82,,Offensive rebound by G. Dieng
0:18.0,,,95-84,2,G. Dieng makes 2-pt shot from 1 ft
0:18.0,,,95-84,,Shooting foul by J. Parker (drawn by G. Dieng)
0:18.0,,,95-85,1,G. Dieng makes free throw 1 of 1
0:00.0,End of 4th quarter,,,,End of 4th quarter
