time,Boston,pts.away,score,pts.home,Houston
6:56.0,,,103-74,,Offensive rebound by Team
6:56.0,T. Zeller enters the game for M. Smart,,103-74,,
6:56.0,,,103-74,,K. McDaniels misses free throw 2 of 2
6:56.0,Defensive rebound by T. Zeller,,103-74,,
6:42.0,K. Olynyk misses 2-pt shot from 6 ft (block by C. Capela),,103-74,,
6:40.0,,,103-74,,Defensive rebound by C. Capela
6:34.0,,,103-74,,C. Brewer misses 3-pt shot from 23 ft
6:33.0,Defensive rebound by K. Olynyk,,103-74,,
6:19.0,E. Turner misses 2-pt shot from 15 ft,,103-74,,
6:18.0,Offensive rebound by K. Olynyk,,103-74,,
6:18.0,,,103-74,,Loose ball foul by M. Thornton (drawn by K. Olynyk)
6:08.0,T. Zeller misses 2-pt shot from 6 ft,,103-74,,
6:07.0,,,103-74,,Defensive rebound by T. Jones
5:50.0,,,103-74,,T. Jones misses 2-pt shot from 2 ft
5:49.0,,,103-74,,Offensive rebound by K. McDaniels
5:49.0,,,103-74,,K. McDaniels misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by J. Jerebko,,103-74,,
5:44.0,Offensive charge foul by J. Jerebko,,103-74,,
5:44.0,Turnover by J. Jerebko (offensive foul),,103-74,,
5:44.0,,,103-74,,Houston full timeout
5:44.0,T. Rozier enters the game for E. Turner,,103-74,,
5:33.0,,,103-74,,Shooting foul by T. Zeller (drawn by C. Capela)
5:33.0,,,103-74,,C. Capela misses free throw 1 of 2
5:33.0,,,103-74,,Offensive rebound by Team
5:33.0,,,103-75,1,C. Capela makes free throw 2 of 2
5:09.0,R. Hunter misses 3-pt shot from 25 ft,,103-75,,
5:08.0,,,103-75,,Defensive rebound by T. Jones
4:56.0,,,103-78,3,M. Thornton makes 3-pt shot from 24 ft
4:44.0,T. Rozier misses 3-pt shot from 25 ft,,103-78,,
4:43.0,,,103-78,,Defensive rebound by T. Jones
4:33.0,,,103-78,,M. Thornton misses 2-pt shot from 11 ft
4:32.0,Defensive rebound by T. Zeller,,103-78,,
4:19.0,Shooting foul by K. McDaniels (drawn by T. Zeller),,103-78,,
4:19.0,T. Zeller makes free throw 1 of 2,1,104-78,,
4:19.0,T. Zeller makes free throw 2 of 2,1,105-78,,
4:05.0,,,105-81,3,M. Thornton makes 3-pt shot from 24 ft (assist by T. Jones)
3:50.0,T. Zeller misses 2-pt shot from 3 ft (block by K. McDaniels),,105-81,,
3:49.0,Offensive rebound by T. Zeller,,105-81,,
3:47.0,Turnover by T. Zeller (lost ball; steal by M. Thornton),,105-81,,
3:43.0,,,105-83,2,T. Jones makes 2-pt shot at rim (assist by C. Brewer)
3:20.0,Turnover by K. Olynyk (step out of bounds),,105-83,,
3:18.0,,,105-85,2,C. Brewer makes 2-pt shot from 3 ft
3:18.0,,,105-85,,Shooting foul by J. Jerebko (drawn by C. Brewer)
3:18.0,,,105-85,,C. Brewer misses free throw 1 of 1
3:18.0,,,105-85,,Offensive rebound by T. Jones
3:17.0,,,105-87,2,T. Jones makes 2-pt shot at rim
3:05.0,Turnover by T. Rozier (lost ball; steal by C. Capela),,105-87,,
3:02.0,,,105-89,2,T. Jones makes 2-pt shot at rim (assist by C. Capela)
3:02.0,Boston full timeout,,105-89,,
3:02.0,M. Smart enters the game for R. Hunter,,105-89,,
2:48.0,T. Rozier misses 2-pt shot from 2 ft,,105-89,,
2:46.0,Offensive rebound by K. Olynyk,,105-89,,
2:46.0,K. Olynyk misses 2-pt shot from 2 ft,,105-89,,
2:44.0,,,105-89,,Defensive rebound by C. Brewer
2:39.0,,,105-89,,M. Thornton misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by M. Smart,,105-89,,
2:34.0,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart),2,107-89,,
2:15.0,,,107-89,,T. Jones misses 2-pt shot from 7 ft (block by K. Olynyk)
2:14.0,Defensive rebound by M. Smart,,107-89,,
2:05.0,K. Olynyk misses 3-pt shot from 25 ft,,107-89,,
2:04.0,,,107-89,,Defensive rebound by Team
1:42.0,,,107-89,,M. Thornton misses 2-pt shot from 2 ft
1:41.0,Defensive rebound by M. Smart,,107-89,,
1:37.0,Turnover by J. Jerebko (traveling),,107-89,,
1:37.0,R. Hunter enters the game for M. Smart,,107-89,,
1:20.0,,,107-91,2,T. Jones makes 2-pt shot from 20 ft (assist by K. McDaniels)
1:02.0,Turnover by T. Zeller (lost ball; steal by C. Brewer),,107-91,,
0:58.0,,,107-93,2,T. Jones makes 2-pt shot from 2 ft (assist by C. Brewer)
0:46.0,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Rozier),2,109-93,,
0:40.0,,,109-93,,C. Brewer misses 3-pt shot from 27 ft
0:39.0,Defensive rebound by T. Zeller,,109-93,,
0:18.0,T. Rozier makes 2-pt shot from 2 ft,2,111-93,,
0:08.0,,,111-95,2,C. Brewer makes 2-pt shot from 9 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
