time,Phoenix,pts.away,score,pts.home,Charlotte
5:22.0,,,76-115,,Personal foul by F. Kaminsky (drawn by R. Price)
5:22.0,Official timeout,,76-115,,
5:22.0,J. Jenkins enters the game for A. Goodwin,,76-115,,
5:13.0,A. Len misses 2-pt shot from 2 ft (block by F. Kaminsky),,76-115,,
5:12.0,Jump ball: F. Kaminsky vs. A. Len (T. Chandler gains possession),,,,Jump ball: F. Kaminsky vs. A. Len (T. Chandler gains possession)
5:12.0,Offensive rebound by Team,,76-115,,
5:02.0,J. Jenkins makes 2-pt shot from 19 ft,2,78-115,,
4:45.0,,,78-115,,F. Kaminsky misses 2-pt shot from 6 ft
4:43.0,Defensive rebound by A. Len,,78-115,,
4:35.0,J. Jenkins makes 2-pt shot from 6 ft,2,80-115,,
4:24.0,,,80-117,2,J. Gutierrez makes 2-pt shot at rim
4:24.0,,,80-117,,Shooting foul by T. Chandler (drawn by J. Gutierrez)
4:24.0,,,80-118,1,J. Gutierrez makes free throw 1 of 1
4:08.0,A. Len misses 2-pt shot from 17 ft,,80-118,,
4:06.0,,,80-118,,Defensive rebound by T. Daniels
3:59.0,,,80-118,,Turnover by J. Gutierrez (bad pass; steal by R. Price)
3:44.0,P. Tucker misses 3-pt shot from 23 ft,,80-118,,
3:42.0,,,80-118,,Defensive rebound by T. Daniels
3:26.0,,,80-121,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by T. Daniels)
3:16.0,J. Jenkins makes 2-pt shot from 1 ft,2,82-121,,
3:16.0,Shooting foul by F. Kaminsky (drawn by J. Jenkins),,82-121,,
3:16.0,J. Jenkins misses free throw 1 of 1,,82-121,,
3:13.0,,,82-121,,Defensive rebound by F. Kaminsky
2:59.0,,,82-121,,Shooting foul by A. Len (drawn by T. Hansbrough)
2:59.0,,,82-121,,Charlotte full timeout
2:59.0,,,82-121,,T. Hansbrough misses free throw 1 of 2
2:59.0,,,82-121,,Offensive rebound by Team
2:59.0,,,82-122,1,T. Hansbrough makes free throw 2 of 2
2:46.0,A. Len makes 2-pt shot from 1 ft (assist by T. Chandler),2,84-122,,
2:29.0,,,84-122,,Shooting foul by T. Chandler (drawn by A. Harrison)
2:29.0,,,84-123,1,A. Harrison makes free throw 1 of 2
2:29.0,,,84-123,,A. Harrison misses free throw 2 of 2
2:27.0,Defensive rebound by P. Tucker,,84-123,,
2:14.0,J. Jenkins makes 3-pt shot from 25 ft,3,87-123,,
2:05.0,Personal foul by R. Price (drawn by J. Gutierrez),,87-123,,
2:05.0,,,87-124,1,J. Gutierrez makes free throw 1 of 2
2:05.0,,,87-125,1,J. Gutierrez makes free throw 2 of 2
1:55.0,A. Len makes 2-pt shot at rim (assist by J. Jenkins),2,89-125,,
1:45.0,,,89-125,,A. Harrison misses 3-pt shot from 25 ft
1:43.0,,,89-125,,Offensive rebound by F. Kaminsky
1:41.0,,,89-125,,F. Kaminsky misses 2-pt shot from 5 ft
1:40.0,Defensive rebound by T. Chandler,,89-125,,
1:30.0,J. Jenkins misses 2-pt shot from 1 ft,,89-125,,
1:29.0,,,89-125,,Defensive rebound by T. Hansbrough
1:17.0,,,89-125,,F. Kaminsky misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by A. Len,,89-125,,
1:10.0,,,89-125,,Personal foul by T. Hansbrough (drawn by A. Len)
1:10.0,A. Len makes free throw 1 of 2,1,90-125,,
1:10.0,A. Len misses free throw 2 of 2,,90-125,,
1:09.0,,,90-125,,Defensive rebound by F. Kaminsky
1:00.0,Personal foul by P. Tucker (drawn by A. Harrison),,90-125,,
1:00.0,,,90-125,,A. Harrison misses free throw 1 of 2
1:00.0,,,90-125,,Offensive rebound by Team
1:00.0,,,90-126,1,A. Harrison makes free throw 2 of 2
0:42.0,R. Price makes 2-pt shot from 1 ft,2,92-126,,
0:31.0,,,92-126,,T. Daniels misses 3-pt shot from 23 ft
0:30.0,,,92-126,,Offensive rebound by F. Kaminsky
0:26.0,,,92-126,,Turnover by J. Gutierrez (bad pass)
0:10.0,Turnover by A. Len (lost ball; steal by T. Hansbrough),,92-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
