time,San Antonio,pts.away,score,pts.home,New York
1:40.0,,,93-79,,Shooting foul by K. Leonard (drawn by C. Anthony)
1:40.0,,,93-79,,C. Anthony misses free throw 1 of 2
1:40.0,,,93-79,,Offensive rebound by Team
1:40.0,,,93-79,,K. Seraphin enters the game for R. Lopez
1:40.0,,,93-80,1,C. Anthony makes free throw 2 of 2
1:22.0,,,93-80,,C. Early enters the game for C. Anthony
1:22.0,B. Marjanovic enters the game for L. Aldridge,,93-80,,
1:22.0,R. McCallum enters the game for P. Mills,,93-80,,
1:22.0,R. Butler enters the game for K. Leonard,,93-80,,
1:16.0,R. McCallum misses 2-pt shot from 17 ft,,93-80,,
1:15.0,,,93-80,,Defensive rebound by C. Early
1:02.0,,,93-80,,K. Seraphin misses 2-pt shot from 11 ft
1:01.0,Defensive rebound by B. Diaw,,93-80,,
0:46.0,Shooting foul by K. O'Quinn (drawn by B. Marjanovic),,93-80,,
0:46.0,B. Marjanovic makes free throw 1 of 2,1,94-80,,
0:46.0,B. Marjanovic misses free throw 2 of 2,,94-80,,
0:46.0,,,94-80,,Defensive rebound by L. Galloway
0:45.0,Personal foul by B. Diaw (drawn by L. Galloway),,94-80,,
0:45.0,,,94-80,,New York full timeout
0:45.0,,,94-81,1,L. Galloway makes free throw 1 of 2
0:45.0,,,94-82,1,L. Galloway makes free throw 2 of 2
0:22.0,K. Anderson misses 2-pt shot from 13 ft,,94-82,,
0:21.0,Offensive rebound by Team,,94-82,,
0:21.0,Turnover by Team (shot clock),,94-82,,
0:06.0,,,94-84,2,J. Grant makes 2-pt shot from 18 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
