time,Sacramento,pts.away,score,pts.home,Minnesota
7:37.0,,,60-70,,Personal foul by R. Rubio (drawn by R. Rondo)
7:27.0,O. Casspi makes 3-pt shot from 23 ft (assist by B. McLemore),3,63-70,,
7:10.0,,,63-70,,Turnover by K. Towns (bad pass; steal by O. Casspi)
7:05.0,,,63-70,,Violation by K. Garnett (kicked ball)
6:58.0,B. McLemore misses 3-pt shot from 24 ft,,63-70,,
6:57.0,,,63-70,,Defensive rebound by R. Rubio
6:51.0,,,63-70,,Turnover by R. Rubio (bad pass; steal by B. McLemore)
6:37.0,R. Gay misses 2-pt shot from 14 ft,,63-70,,
6:35.0,Offensive rebound by R. Gay,,63-70,,
6:33.0,R. Gay misses 2-pt shot from 2 ft,,63-70,,
6:31.0,Offensive rebound by D. Cousins,,63-70,,
6:31.0,D. Cousins misses 2-pt shot at rim,,63-70,,
6:30.0,,,63-70,,Defensive rebound by R. Rubio
6:13.0,,,63-72,2,T. Prince makes 2-pt shot from 20 ft (assist by K. Garnett)
5:50.0,R. Rondo makes 2-pt shot from 21 ft (assist by D. Cousins),2,65-72,,
5:29.0,,,65-72,,Turnover by K. Towns (offensive foul)
5:29.0,,,65-72,,Offensive foul by K. Towns
5:29.0,,,65-72,,G. Dieng enters the game for K. Towns
5:29.0,K. Koufos enters the game for O. Casspi,,65-72,,
5:29.0,,,65-72,,S. Muhammad enters the game for K. Garnett
5:18.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,67-72,,
5:18.0,Shooting foul by G. Dieng (drawn by D. Cousins),,67-72,,
5:18.0,,,67-72,,Minnesota full timeout
5:18.0,D. Cousins makes free throw 1 of 1,1,68-72,,
4:57.0,,,68-72,,R. Rubio misses 2-pt shot from 19 ft
4:56.0,,,68-72,,Offensive rebound by A. Wiggins
4:52.0,,,68-74,2,S. Muhammad makes 2-pt shot from 9 ft (assist by A. Wiggins)
4:32.0,R. Gay makes 2-pt shot from 8 ft,2,70-74,,
4:09.0,,,70-74,,Turnover by A. Wiggins (lost ball)
4:09.0,D. Collison enters the game for B. McLemore,,70-74,,
4:09.0,,,70-74,,A. Payne enters the game for T. Prince
3:51.0,Turnover by D. Cousins (lost ball; steal by R. Rubio),,70-74,,
3:34.0,,,70-76,2,G. Dieng makes 2-pt shot from 16 ft (assist by A. Payne)
3:23.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,72-76,,
3:04.0,,,72-76,,A. Wiggins misses 2-pt shot from 18 ft
3:03.0,Defensive rebound by K. Koufos,,72-76,,
2:50.0,D. Cousins makes 2-pt shot from 3 ft,2,74-76,,
2:30.0,,,74-76,,Z. LaVine enters the game for R. Rubio
2:30.0,M. Belinelli enters the game for D. Cousins,,74-76,,
2:26.0,,,74-79,3,A. Wiggins makes 3-pt shot from 24 ft (assist by G. Dieng)
2:07.0,Turnover by R. Rondo (bad pass),,74-79,,
1:52.0,,,74-79,,Z. LaVine misses 2-pt shot from 19 ft
1:51.0,Defensive rebound by K. Koufos,,74-79,,
1:41.0,R. Gay misses 2-pt shot from 6 ft (block by G. Dieng),,74-79,,
1:39.0,,,74-79,,Defensive rebound by A. Wiggins
1:36.0,,,74-81,2,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Wiggins)
1:14.0,K. Koufos misses 2-pt shot from 6 ft,,74-81,,
1:13.0,,,74-81,,Defensive rebound by S. Muhammad
0:55.0,,,74-83,2,S. Muhammad makes 2-pt shot from 7 ft (assist by G. Dieng)
0:55.0,Sacramento full timeout,,74-83,,
0:55.0,O. Casspi enters the game for R. Rondo,,74-83,,
0:55.0,,,74-83,,K. Martin enters the game for A. Wiggins
0:38.0,O. Casspi makes 3-pt shot from 24 ft (assist by M. Belinelli),3,77-83,,
0:22.0,,,77-83,,A. Payne misses 2-pt shot from 7 ft
0:20.0,,,77-83,,Offensive rebound by G. Dieng
0:04.0,,,77-83,,Turnover by Z. LaVine (discontinued dribble)
0:01.0,D. Collison misses 3-pt shot from 28 ft,,77-83,,
0:00.0,,,77-83,,Defensive rebound by G. Dieng
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,77-85,2,Z. LaVine makes 2-pt shot from 2 ft
11:15.0,R. Gay misses 2-pt shot from 5 ft (block by A. Payne),,77-85,,
11:13.0,,,77-85,,Defensive rebound by S. Muhammad
11:08.0,,,77-85,,Z. LaVine misses 3-pt shot from 24 ft
11:07.0,,,77-85,,Offensive rebound by Z. LaVine
11:06.0,Personal foul by D. Collison (drawn by Z. LaVine),,77-85,,
10:52.0,,,77-85,,S. Muhammad misses 2-pt shot from 11 ft
10:51.0,Defensive rebound by Team,,77-85,,
10:51.0,,,77-85,,Loose ball foul by A. Payne (drawn by O. Casspi)
10:37.0,K. Koufos misses 2-pt shot from 4 ft,,77-85,,
10:36.0,,,77-85,,Defensive rebound by G. Dieng
10:16.0,,,77-85,,S. Muhammad misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by R. Gay,,77-85,,
9:58.0,D. Collison misses 3-pt shot from 24 ft,,77-85,,
9:57.0,,,77-85,,Defensive rebound by G. Dieng
9:51.0,Personal block foul by D. Collison (drawn by Z. LaVine),,77-85,,
9:39.0,,,77-85,,K. Martin misses 2-pt shot from 8 ft
9:38.0,Defensive rebound by O. Casspi,,77-85,,
9:34.0,D. Collison makes 2-pt shot from 1 ft,2,79-85,,
9:34.0,Shooting foul by Z. LaVine (drawn by D. Collison),,79-85,,
9:34.0,D. Cousins enters the game for R. Gay,,79-85,,
9:34.0,D. Collison misses free throw 1 of 1,,79-85,,
9:34.0,,,79-85,,Defensive rebound by S. Muhammad
9:15.0,Jump ball: D. Cousins vs. A. Payne (K. Koufos gains possession),,,,Jump ball: D. Cousins vs. A. Payne (K. Koufos gains possession)
9:15.0,,,79-85,,Turnover by A. Payne (lost ball; steal by D. Cousins)
9:06.0,D. Collison misses 2-pt shot from 19 ft,,79-85,,
9:05.0,,,79-85,,Defensive rebound by K. Martin
8:45.0,,,79-85,,Turnover by Z. LaVine (lost ball)
8:45.0,Sacramento full timeout,,79-85,,
8:45.0,,,79-85,,R. Rubio enters the game for K. Martin
8:45.0,,,79-85,,K. Towns enters the game for A. Payne
8:23.0,D. Cousins misses 2-pt shot from 3 ft,,79-85,,
8:22.0,,,79-85,,Defensive rebound by S. Muhammad
8:08.0,,,79-85,,K. Towns misses 2-pt shot from 13 ft
8:07.0,,,79-85,,Offensive rebound by G. Dieng
8:02.0,,,79-85,,Offensive charge foul by K. Towns
8:02.0,,,79-85,,Turnover by K. Towns (offensive foul)
8:02.0,,,79-85,,K. Garnett enters the game for K. Towns
7:49.0,D. Cousins misses 2-pt shot from 1 ft (block by K. Garnett),,79-85,,
7:48.0,Offensive rebound by Team,,79-85,,
7:48.0,Offensive foul by D. Cousins,,79-85,,
7:48.0,Turnover by D. Cousins (offensive foul),,79-85,,
7:48.0,Violation by Team (delay of game),,79-85,,
7:48.0,R. Rondo enters the game for M. Belinelli,,79-85,,
7:30.0,,,79-85,,Z. LaVine misses 2-pt shot from 20 ft
7:29.0,,,79-85,,Offensive rebound by Team
7:29.0,,,79-85,,A. Wiggins enters the game for S. Muhammad
7:17.0,,,79-85,,R. Rubio misses 2-pt shot from 15 ft
7:16.0,Defensive rebound by R. Rondo,,79-85,,
7:08.0,O. Casspi misses 3-pt shot from 24 ft,,79-85,,
7:07.0,,,79-85,,Defensive rebound by G. Dieng
6:53.0,,,79-85,,Z. LaVine misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by O. Casspi,,79-85,,
6:37.0,D. Cousins misses 2-pt shot from 5 ft,,79-85,,
6:35.0,,,79-85,,Defensive rebound by K. Garnett
6:24.0,,,79-85,,A. Wiggins misses 2-pt shot from 20 ft
6:23.0,Defensive rebound by D. Cousins,,79-85,,
6:11.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,81-85,,
5:53.0,,,81-85,,Z. LaVine misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by D. Cousins,,81-85,,
5:31.0,Shooting foul by R. Rubio (drawn by R. Rondo),,81-85,,
5:31.0,,,81-85,,Minnesota full timeout
5:31.0,R. Gay enters the game for K. Koufos,,81-85,,
5:31.0,,,81-85,,S. Muhammad enters the game for Z. LaVine
5:31.0,R. Rondo makes free throw 1 of 2,1,82-85,,
5:31.0,R. Rondo makes free throw 2 of 2,1,83-85,,
5:15.0,,,83-87,2,A. Wiggins makes 2-pt shot from 6 ft
4:59.0,Jump ball: D. Cousins vs. G. Dieng (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. G. Dieng (R. Rondo gains possession)
4:54.0,D. Collison misses 3-pt shot from 25 ft,,83-87,,
4:53.0,,,83-87,,Defensive rebound by G. Dieng
4:38.0,Personal foul by O. Casspi (drawn by R. Rubio),,83-87,,
4:31.0,,,83-89,2,G. Dieng makes 2-pt shot at rim (assist by S. Muhammad)
4:17.0,R. Gay makes 2-pt shot from 12 ft (assist by R. Rondo),2,85-89,,
3:58.0,,,85-89,,S. Muhammad misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by O. Casspi,,85-89,,
3:45.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Rondo),3,88-89,,
