time,New Orleans,pts.away,score,pts.home,Brooklyn
4:09.0,,,97-82,,Defensive rebound by M. Brown
3:57.0,,,97-82,,H. Sims misses 2-pt shot from 15 ft
3:56.0,Defensive rebound by J. Hamilton,,97-82,,
3:39.0,T. Frazier misses 2-pt shot from 2 ft,,97-82,,
3:38.0,Offensive rebound by A. Ajinca,,97-82,,
3:37.0,A. Ajinca makes 2-pt shot at rim,2,99-82,,
3:25.0,,,99-84,2,H. Sims makes 2-pt shot at rim (assist by S. Larkin)
3:09.0,J. Ennis misses 3-pt shot from 23 ft,,99-84,,
3:08.0,,,99-84,,Defensive rebound by H. Sims
3:05.0,,,99-84,,Turnover by M. Brown (offensive goaltending)
2:48.0,A. Ajinca makes 2-pt shot at rim (assist by T. Frazier),2,101-84,,
2:47.0,,,101-84,,Brooklyn full timeout
2:42.0,Violation by T. Frazier (kicked ball),,101-84,,
2:33.0,,,101-84,,M. Brown misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by J. Hamilton,,101-84,,
2:18.0,D. Cunningham misses 2-pt shot from 9 ft,,101-84,,
2:17.0,,,101-84,,Defensive rebound by T. Robinson
2:05.0,,,101-84,,Turnover by W. Ellington (lost ball; steal by T. Frazier)
2:01.0,J. Hamilton makes 2-pt shot from 2 ft (assist by T. Frazier),2,103-84,,
2:01.0,Shooting foul by M. Brown (drawn by J. Hamilton),,103-84,,
2:01.0,,,103-84,,S. Karasev enters the game for T. Robinson
2:01.0,,,103-84,,S. Kilpatrick enters the game for H. Sims
2:01.0,,,103-84,,W. Reed enters the game for W. Ellington
2:01.0,,,103-84,,C. McCullough enters the game for S. Larkin
2:01.0,J. Hamilton misses free throw 1 of 1,,103-84,,
2:00.0,,,103-84,,Defensive rebound by S. Kilpatrick
1:46.0,,,103-84,,Turnover by S. Kilpatrick (lost ball)
1:46.0,L. Babbitt enters the game for D. Cunningham,,103-84,,
1:30.0,Shooting foul by M. Brown (drawn by J. Hamilton),,103-84,,
1:30.0,,,103-84,,S. Larkin enters the game for M. Brown
1:30.0,J. Hamilton misses free throw 1 of 2,,103-84,,
1:30.0,Offensive rebound by Team,,103-84,,
1:30.0,J. Hamilton makes free throw 2 of 2,1,104-84,,
1:15.0,Personal foul by J. Ennis,,104-84,,
1:15.0,,,104-84,,H. Sims enters the game for W. Reed
1:07.0,,,104-84,,C. McCullough misses 2-pt shot from 17 ft
1:06.0,Defensive rebound by J. Hamilton,,104-84,,
0:48.0,J. Hamilton makes 2-pt shot from 2 ft (assist by L. Babbitt),2,106-84,,
0:27.0,,,106-84,,C. McCullough misses 2-pt shot from 1 ft (block by A. Ajinca)
0:26.0,Defensive rebound by Team,,106-84,,
0:18.0,T. Frazier misses 3-pt shot from 24 ft,,106-84,,
0:18.0,,,106-84,,Defensive rebound by Team
0:14.0,,,106-87,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by S. Larkin)
0:00.0,End of 4th quarter,,,,End of 4th quarter
