time,Golden State,pts.away,score,pts.home,Orlando
5:14.0,,,115-102,,Turnover by A. Gordon (lost ball; steal by D. Green)
5:09.0,,,115-102,,Personal foul by E. Payton (drawn by S. Curry)
4:59.0,Turnover by A. Bogut (bad pass; steal by E. Payton),,115-102,,
4:49.0,,,115-102,,N. Vucevic misses 2-pt shot from 14 ft
4:48.0,Defensive rebound by S. Curry,,115-102,,
4:38.0,Golden State full timeout,,115-102,,
4:32.0,D. Green makes 2-pt shot from 1 ft,2,117-102,,
4:32.0,Shooting foul by N. Vucevic (drawn by D. Green),,117-102,,
4:32.0,D. Green misses free throw 1 of 1,,117-102,,
4:32.0,,,117-102,,Defensive rebound by C. Watson
4:19.0,,,117-102,,E. Fournier misses 3-pt shot from 22 ft
4:17.0,,,117-102,,Offensive rebound by N. Vucevic
4:17.0,,,117-104,2,N. Vucevic makes 2-pt shot from 1 ft
4:06.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,119-104,,
3:53.0,,,119-104,,Turnover by E. Payton (bad pass; steal by A. Bogut)
3:49.0,Shooting foul by N. Vucevic (drawn by D. Green),,119-104,,
3:49.0,D. Green makes free throw 1 of 2,1,120-104,,
3:49.0,,,120-104,,M. Hezonja enters the game for E. Fournier
3:49.0,,,120-104,,B. Jennings enters the game for A. Gordon
3:49.0,,,120-104,,D. Dedmon enters the game for N. Vucevic
3:49.0,,,120-104,,D. Marble enters the game for E. Payton
3:49.0,,,120-104,,A. Nicholson enters the game for C. Watson
3:49.0,A. Varejao enters the game for A. Bogut,,120-104,,
3:49.0,D. Green misses free throw 2 of 2,,120-104,,
3:48.0,,,120-104,,Defensive rebound by A. Nicholson
3:35.0,,,120-106,2,A. Nicholson makes 2-pt shot from 1 ft (assist by B. Jennings)
3:35.0,,,120-106,,Shooting foul by A. Varejao (drawn by A. Nicholson)
3:35.0,,,120-107,1,A. Nicholson makes free throw 1 of 1
3:24.0,S. Curry makes 3-pt shot from 27 ft,3,123-107,,
3:07.0,,,123-110,3,M. Hezonja makes 3-pt shot from 24 ft (assist by A. Nicholson)
2:55.0,S. Curry misses 3-pt shot from 25 ft,,123-110,,
2:54.0,,,123-110,,Defensive rebound by M. Hezonja
2:39.0,,,123-110,,M. Hezonja misses 3-pt shot from 26 ft
2:38.0,Defensive rebound by H. Barnes,,123-110,,
2:26.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,125-110,,
2:03.0,,,125-110,,D. Marble misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by K. Thompson,,125-110,,
2:02.0,Golden State full timeout,,125-110,,
2:02.0,B. Rush enters the game for H. Barnes,,125-110,,
2:02.0,M. Speights enters the game for D. Green,,125-110,,
2:02.0,K. Looney enters the game for K. Thompson,,125-110,,
2:02.0,I. Clark enters the game for S. Curry,,125-110,,
1:48.0,Turnover by I. Clark (bad pass; steal by B. Jennings),,125-110,,
1:46.0,,,125-112,2,B. Jennings makes 2-pt shot from 2 ft
1:28.0,B. Rush makes 3-pt shot from 24 ft (assist by I. Clark),3,128-112,,
1:05.0,,,128-112,,B. Jennings misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by B. Rush,,128-112,,
0:57.0,Turnover by K. Looney (step out of bounds),,128-112,,
0:44.0,,,128-114,2,D. Dedmon makes 2-pt shot from 18 ft
0:25.0,K. Looney misses 2-pt shot from 15 ft (block by A. Nicholson),,128-114,,
0:21.0,Offensive rebound by M. Speights,,128-114,,
0:21.0,K. Looney makes 2-pt shot at rim (assist by M. Speights),2,130-114,,
0:12.0,,,130-114,,D. Dedmon misses 2-pt shot from 18 ft
0:11.0,Defensive rebound by I. Clark,,130-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
