time,Philadelphia,pts.away,score,pts.home,Toronto
4:58.0,,,72-72,,Offensive rebound by K. Lowry
4:54.0,,,72-74,2,D. Carroll makes 2-pt shot from 4 ft
4:38.0,Shooting foul by K. Lowry (drawn by N. Noel),,72-74,,
4:38.0,N. Noel misses free throw 1 of 2,,72-74,,
4:38.0,Offensive rebound by Team,,72-74,,
4:38.0,N. Noel misses free throw 2 of 2,,72-74,,
4:37.0,,,72-74,,Defensive rebound by J. Valanciunas
4:23.0,,,72-74,,D. DeRozan misses 2-pt shot from 4 ft
4:22.0,,,72-74,,Offensive rebound by D. DeRozan
4:13.0,,,72-74,,Offensive charge foul by J. Valanciunas
4:13.0,,,72-74,,Turnover by J. Valanciunas (offensive foul)
4:13.0,T. McConnell enters the game for R. Covington,,72-74,,
3:47.0,H. Thompson misses 2-pt shot from 11 ft,,72-74,,
3:46.0,,,72-74,,Defensive rebound by D. Carroll
3:37.0,,,72-74,,D. Carroll misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by H. Thompson,,72-74,,
3:29.0,I. Smith misses 2-pt shot from 4 ft,,72-74,,
3:28.0,,,72-74,,Defensive rebound by J. Valanciunas
3:14.0,,,72-76,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
3:14.0,,,72-76,,Shooting foul by I. Smith (drawn by J. Valanciunas)
3:14.0,C. Wood enters the game for N. Noel,,72-76,,
3:14.0,,,72-77,1,J. Valanciunas makes free throw 1 of 1
3:05.0,Shooting foul by J. Valanciunas (drawn by C. Wood),,72-77,,
3:05.0,C. Wood misses free throw 1 of 2,,72-77,,
3:05.0,Offensive rebound by Team,,72-77,,
3:05.0,,,72-77,,B. Biyombo enters the game for J. Valanciunas
3:05.0,,,72-77,,T. Ross enters the game for N. Powell
3:05.0,K. Marshall enters the game for I. Smith,,72-77,,
3:05.0,C. Wood makes free throw 2 of 2,1,73-77,,
2:53.0,,,73-77,,Shooting foul by C. Wood (drawn by D. DeRozan)
2:53.0,,,73-78,1,D. DeRozan makes free throw 1 of 2
2:53.0,J. Grant enters the game for N. Stauskas,,73-78,,
2:53.0,,,73-79,1,D. DeRozan makes free throw 2 of 2
2:30.0,T. McConnell misses 2-pt shot from 8 ft,,73-79,,
2:30.0,,,73-79,,Defensive rebound by D. DeRozan
2:19.0,,,73-81,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
2:02.0,J. Grant misses 3-pt shot from 23 ft,,73-81,,
2:02.0,,,73-81,,Defensive rebound by D. DeRozan
1:55.0,,,73-81,,K. Lowry misses 3-pt shot from 28 ft
1:54.0,,,73-81,,Offensive rebound by D. Carroll
1:49.0,,,73-84,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
1:49.0,Philadelphia full timeout,,73-84,,
1:31.0,K. Marshall misses 3-pt shot from 25 ft,,73-84,,
1:30.0,,,73-84,,Defensive rebound by D. DeRozan
1:18.0,,,73-84,,D. DeRozan misses 2-pt shot from 11 ft
1:18.0,,,73-84,,Offensive rebound by D. DeRozan
1:14.0,,,73-87,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:52.0,T. McConnell misses 3-pt shot from 23 ft,,73-87,,
0:51.0,,,73-87,,Defensive rebound by K. Lowry
0:45.0,,,73-87,,K. Lowry misses 3-pt shot from 29 ft
0:45.0,Defensive rebound by T. McConnell,,73-87,,
0:31.0,,,73-87,,Personal foul by B. Biyombo
0:31.0,C. Wood misses free throw 1 of 2,,73-87,,
0:31.0,Offensive rebound by Team,,73-87,,
0:31.0,C. Wood makes free throw 2 of 2,1,74-87,,
0:21.0,,,74-87,,D. DeRozan misses 2-pt shot from 5 ft (block by J. Grant)
0:20.0,Defensive rebound by T. McConnell,,74-87,,
0:01.0,T. McConnell misses 2-pt shot from 17 ft,,74-87,,
0:01.0,,,74-87,,Defensive rebound by K. Lowry
0:00.0,,,74-87,,K. Lowry misses 3-pt shot from 58 ft
0:00.0,,,74-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-89,2,T. Ross makes 2-pt shot from 11 ft (assist by D. Wright)
11:28.0,N. Stauskas misses 3-pt shot from 23 ft,,74-89,,
11:27.0,,,74-89,,Defensive rebound by T. Ross
11:05.0,,,74-92,3,D. Carroll makes 3-pt shot from 24 ft (assist by T. Ross)
10:44.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,76-92,,
10:28.0,,,76-92,,Turnover by N. Powell (lost ball; steal by I. Smith)
10:24.0,Turnover by R. Covington (lost ball; steal by T. Ross),,76-92,,
10:18.0,,,76-92,,Turnover by N. Powell (lost ball; steal by I. Smith)
10:10.0,R. Covington misses 3-pt shot from 23 ft,,76-92,,
10:09.0,,,76-92,,Defensive rebound by N. Powell
9:53.0,,,76-94,2,D. Wright makes 2-pt shot from 14 ft
9:52.0,Philadelphia full timeout,,76-94,,
9:28.0,I. Smith makes 2-pt shot from 4 ft (assist by H. Thompson),2,78-94,,
9:00.0,,,78-96,2,B. Biyombo makes 2-pt shot from 4 ft (assist by D. Wright)
8:43.0,H. Thompson misses 2-pt shot at rim (block by B. Biyombo),,78-96,,
8:42.0,,,78-96,,Defensive rebound by B. Biyombo
8:36.0,,,78-96,,N. Powell misses 3-pt shot from 26 ft
8:35.0,,,78-96,,Offensive rebound by B. Biyombo
8:27.0,,,78-99,3,N. Powell makes 3-pt shot from 24 ft (assist by T. Ross)
8:15.0,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith),3,81-99,,
7:47.0,,,81-99,,D. Carroll misses 3-pt shot from 26 ft
7:47.0,,,81-99,,Offensive rebound by B. Biyombo
7:41.0,J. Grant enters the game for N. Noel,,81-99,,
7:41.0,,,81-99,,J. Thompson enters the game for D. Carroll
7:38.0,,,81-99,,N. Powell misses 2-pt shot from 19 ft
7:38.0,Defensive rebound by J. Grant,,81-99,,
7:24.0,R. Covington makes 2-pt shot from 16 ft,2,83-99,,
6:59.0,,,83-99,,D. Wright misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by J. Grant,,83-99,,
6:48.0,H. Thompson makes 3-pt shot from 23 ft (assist by J. Grant),3,86-99,,
6:47.0,,,86-99,,Toronto full timeout
6:33.0,,,86-99,,D. Wright misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by R. Covington,,86-99,,
6:23.0,Turnover by H. Thompson (lost ball; steal by N. Powell),,86-99,,
6:19.0,Violation by R. Covington (kicked ball),,86-99,,
6:04.0,,,86-101,2,T. Ross makes 2-pt shot from 1 ft
