time,San Antonio,pts.away,score,pts.home,Boston
6:13.0,T. Duncan enters the game for K. Leonard,,75-68,,
6:13.0,M. Ginobili enters the game for D. West,,75-68,,
6:06.0,T. Duncan makes 2-pt shot from 13 ft (assist by M. Ginobili),2,77-68,,
5:51.0,,,77-70,2,J. Sullinger makes 2-pt shot from 20 ft (assist by A. Johnson)
5:35.0,T. Duncan misses 2-pt shot from 19 ft,,77-70,,
5:35.0,,,77-70,,Defensive rebound by M. Smart
5:25.0,,,77-72,2,M. Smart makes 2-pt shot from 12 ft (assist by A. Bradley)
5:06.0,,,77-72,,Personal foul by A. Johnson (drawn by L. Aldridge)
5:06.0,Official timeout,,77-72,,
5:06.0,,,77-72,,I. Thomas enters the game for E. Turner
5:06.0,K. Leonard enters the game for D. Green,,77-72,,
4:57.0,L. Aldridge makes 2-pt shot from 15 ft (assist by K. Leonard),2,79-72,,
4:42.0,,,79-75,3,J. Sullinger makes 3-pt shot from 25 ft (assist by M. Smart)
4:22.0,L. Aldridge makes 2-pt shot from 15 ft (assist by T. Duncan),2,81-75,,
4:09.0,,,81-75,,J. Sullinger misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by M. Ginobili,,81-75,,
3:52.0,L. Aldridge makes 2-pt shot from 8 ft,2,83-75,,
3:42.0,,,83-75,,Shooting foul by K. Leonard (drawn by I. Thomas)
3:42.0,,,83-76,1,I. Thomas makes free throw 1 of 2
3:42.0,,,83-77,1,I. Thomas makes free throw 2 of 2
3:28.0,L. Aldridge misses 2-pt shot from 19 ft,,83-77,,
3:28.0,,,83-77,,Defensive rebound by Team
3:28.0,Loose ball foul by T. Duncan (drawn by A. Bradley),,83-77,,
3:28.0,,,83-78,1,A. Bradley makes free throw 1 of 2
3:28.0,,,83-79,1,A. Bradley makes free throw 2 of 2
3:07.0,K. Leonard makes 3-pt shot from 23 ft (assist by L. Aldridge),3,86-79,,
2:54.0,,,86-79,,I. Thomas misses 2-pt shot from 2 ft (block by L. Aldridge)
2:53.0,,,86-79,,Offensive rebound by Team
2:53.0,,,86-79,,Boston full timeout
2:50.0,,,86-79,,A. Bradley misses 3-pt shot from 23 ft
2:49.0,,,86-79,,Offensive rebound by J. Sullinger
2:44.0,,,86-82,3,M. Smart makes 3-pt shot from 23 ft (assist by I. Thomas)
2:20.0,K. Leonard makes 2-pt shot from 18 ft (assist by T. Duncan),2,88-82,,
2:06.0,,,88-82,,I. Thomas misses 2-pt shot from 3 ft
2:05.0,Defensive rebound by T. Parker,,88-82,,
2:00.0,T. Parker makes 2-pt shot at rim,2,90-82,,
2:00.0,Violation by Team (delay of game),,90-82,,
2:00.0,Technical foul by Team,,90-82,,
2:00.0,,,90-83,1,I. Thomas makes technical free throw
1:40.0,,,90-85,2,A. Bradley makes 2-pt shot at rim (assist by I. Thomas)
1:17.0,K. Leonard misses 2-pt shot from 3 ft (block by M. Smart),,90-85,,
1:15.0,Offensive rebound by Team,,90-85,,
1:15.0,Turnover by Team (shot clock),,90-85,,
1:15.0,,,90-85,,Boston full timeout
1:10.0,,,90-85,,I. Thomas misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by K. Leonard,,90-85,,
0:57.0,Turnover by T. Duncan (bad pass; steal by I. Thomas),,90-85,,
0:46.0,,,90-85,,A. Johnson misses 2-pt shot from 2 ft
0:45.0,,,90-85,,Offensive rebound by A. Bradley
0:42.0,,,90-85,,Turnover by A. Bradley (bad pass; steal by K. Leonard)
0:36.0,,,90-85,,Personal foul by A. Bradley (drawn by M. Ginobili)
0:36.0,,,90-85,,J. Crowder enters the game for A. Johnson
0:29.0,,,90-85,,Personal take foul by J. Sullinger (drawn by K. Leonard)
0:29.0,K. Leonard makes free throw 1 of 2,1,91-85,,
0:29.0,,,91-85,,A. Johnson enters the game for J. Crowder
0:29.0,K. Leonard makes free throw 2 of 2,1,92-85,,
0:29.0,,,92-85,,Boston full timeout
0:29.0,B. Diaw enters the game for T. Duncan,,92-85,,
0:29.0,,,92-85,,J. Crowder enters the game for J. Sullinger
0:27.0,,,92-85,,Turnover by J. Crowder (bad pass; steal by L. Aldridge)
0:26.0,,,92-85,,Personal take foul by M. Smart (drawn by M. Ginobili)
0:26.0,M. Ginobili makes free throw 1 of 2,1,93-85,,
0:26.0,,,93-85,,E. Turner enters the game for A. Bradley
0:26.0,K. Anderson enters the game for K. Leonard,,93-85,,
0:26.0,P. Mills enters the game for T. Parker,,93-85,,
0:26.0,M. Ginobili misses free throw 2 of 2,,93-85,,
0:26.0,,,93-85,,Defensive rebound by A. Johnson
0:18.0,,,93-85,,A. Johnson misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by L. Aldridge,,93-85,,
0:16.0,,,93-85,,Personal take foul by J. Crowder (drawn by L. Aldridge)
0:16.0,L. Aldridge makes free throw 1 of 2,1,94-85,,
0:16.0,R. Butler enters the game for M. Ginobili,,94-85,,
0:16.0,L. Aldridge makes free throw 2 of 2,1,95-85,,
0:08.0,,,95-87,2,E. Turner makes 2-pt shot at rim (assist by J. Crowder)
0:00.0,End of 4th quarter,,,,End of 4th quarter
