time,Detroit,pts.away,score,pts.home,Minnesota
3:33.0,Personal foul by A. Drummond (drawn by A. Wiggins),,85-78,,
3:25.0,,,85-78,,Z. LaVine misses 3-pt shot from 24 ft
3:23.0,,,85-78,,Offensive rebound by R. Rubio
3:20.0,,,85-80,2,Z. LaVine makes 2-pt shot at rim (assist by K. Towns)
2:58.0,R. Jackson makes 2-pt shot from 5 ft,2,87-80,,
2:45.0,,,87-82,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
2:23.0,R. Jackson makes 2-pt shot from 1 ft,2,89-82,,
2:07.0,,,89-82,,Turnover by R. Rubio (bad pass; steal by A. Drummond)
2:04.0,Shooting foul by Z. LaVine (drawn by M. Morris),,89-82,,
2:04.0,Detroit full timeout,,89-82,,
2:04.0,M. Morris makes free throw 1 of 2,1,90-82,,
2:04.0,M. Morris makes free throw 2 of 2,1,91-82,,
1:56.0,,,91-84,2,Z. LaVine makes 2-pt shot from 1 ft
1:37.0,R. Jackson makes 2-pt shot at rim,2,93-84,,
1:29.0,,,93-84,,Z. LaVine misses 2-pt shot from 5 ft (block by A. Drummond)
1:27.0,Defensive rebound by A. Drummond,,93-84,,
1:10.0,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson),3,96-84,,
1:07.0,,,96-84,,A. Wiggins misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by A. Drummond,,96-84,,
1:00.0,,,96-84,,Personal foul by R. Rubio (drawn by R. Jackson)
0:56.0,Turnover by A. Drummond (lost ball; steal by K. Towns),,96-84,,
0:52.0,,,96-84,,Turnover by Z. LaVine (bad pass; steal by A. Drummond)
0:51.0,Turnover by A. Drummond (bad pass; steal by K. Towns),,96-84,,
0:49.0,,,96-86,2,K. Towns makes 2-pt shot at rim
0:34.0,M. Morris misses 3-pt shot from 26 ft,,96-86,,
0:33.0,,,96-86,,Defensive rebound by A. Wiggins
0:31.0,,,96-86,,Turnover by A. Wiggins (bad pass; steal by R. Jackson)
0:08.0,R. Jackson misses 3-pt shot from 24 ft,,96-86,,
0:06.0,Offensive rebound by Team,,96-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
