time,Indiana,pts.away,score,pts.home,Oklahoma City
2:03.0,,,89-93,,Offensive rebound by S. Ibaka
2:03.0,,,89-93,,Turnover by S. Ibaka (traveling)
1:53.0,M. Ellis makes 3-pt shot from 24 ft,3,92-93,,
1:40.0,,,92-93,,Turnover by S. Adams (lost ball; steal by G. Hill)
1:34.0,G. Hill misses 2-pt shot from 1 ft (block by K. Durant),,92-93,,
1:33.0,Offensive rebound by G. Hill,,92-93,,
1:28.0,I. Mahinmi misses 2-pt shot from 2 ft,,92-93,,
1:27.0,Offensive rebound by I. Mahinmi,,92-93,,
1:26.0,I. Mahinmi misses 2-pt shot from 1 ft (block by S. Adams),,92-93,,
1:25.0,,,92-93,,Defensive rebound by S. Adams
1:10.0,,,92-93,,Shooting foul by G. Hill (drawn by R. Westbrook)
1:10.0,,,92-94,1,R. Westbrook makes free throw 1 of 2
1:10.0,,,92-95,1,R. Westbrook makes free throw 2 of 2
0:55.0,M. Turner makes 3-pt shot from 22 ft (assist by M. Ellis),3,95-95,,
0:50.0,,,95-95,,Oklahoma City full timeout
0:39.0,,,95-95,,K. Durant misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by M. Turner,,95-95,,
0:19.0,M. Ellis makes 3-pt shot from 24 ft,3,98-95,,
0:19.0,,,98-95,,Oklahoma City full timeout
0:13.0,,,98-95,,R. Westbrook misses 2-pt shot from 1 ft
0:12.0,Defensive rebound by G. Hill,,98-95,,
0:11.0,,,98-95,,Personal take foul by K. Durant
0:11.0,P. George misses free throw 1 of 2,,98-95,,
0:11.0,Offensive rebound by Team,,98-95,,
0:11.0,,,98-95,,Oklahoma City full timeout
0:11.0,P. George makes free throw 2 of 2,1,99-95,,
0:06.0,,,99-98,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
0:06.0,Indiana full timeout,,99-98,,
0:06.0,S. Hill enters the game for I. Mahinmi,,99-98,,
0:05.0,,,99-98,,Personal take foul by R. Westbrook
0:05.0,P. George makes free throw 1 of 2,1,100-98,,
0:05.0,P. George makes free throw 2 of 2,1,101-98,,
0:00.0,,,101-98,,R. Westbrook misses 3-pt shot from 36 ft
0:00.0,,,101-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
