time,Portland,pts.away,score,pts.home,Detroit
3:15.0,M. Harkless misses 3-pt shot from 23 ft,,95-113,,
3:14.0,,,95-113,,Defensive rebound by R. Jackson
2:54.0,,,95-116,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
2:54.0,Portland full timeout,,95-116,,
2:54.0,,,95-116,,Detroit full timeout
2:54.0,A. Crabbe enters the game for A. Aminu,,95-116,,
2:54.0,C. Kaman enters the game for C. McCollum,,95-116,,
2:54.0,P. Connaughton enters the game for D. Lillard,,95-116,,
2:54.0,B. Roberts enters the game for M. Leonard,,95-116,,
2:54.0,N. Vonleh enters the game for M. Harkless,,95-116,,
2:38.0,A. Crabbe makes 2-pt shot at rim (assist by C. Kaman),2,97-116,,
2:20.0,,,97-118,2,R. Jackson makes 2-pt shot from 6 ft
2:00.0,N. Vonleh makes 2-pt shot at rim,2,99-118,,
1:45.0,,,99-118,,T. Harris misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by Team,,99-118,,
1:29.0,P. Connaughton misses 2-pt shot at rim,,99-118,,
1:28.0,,,99-118,,Defensive rebound by R. Bullock
1:17.0,,,99-120,2,A. Baynes makes 2-pt shot from 9 ft (assist by R. Jackson)
1:15.0,,,99-120,,Personal foul by R. Jackson (drawn by B. Roberts)
1:15.0,B. Roberts misses free throw 1 of 2,,99-120,,
1:15.0,Offensive rebound by Team,,99-120,,
1:15.0,,,99-120,,D. Hilliard enters the game for K. Caldwell-Pope
1:15.0,,,99-120,,J. Anthony enters the game for A. Baynes
1:15.0,,,99-120,,J. Harper enters the game for T. Harris
1:15.0,,,99-120,,S. Blake enters the game for R. Jackson
1:15.0,B. Roberts makes free throw 2 of 2,1,100-120,,
1:01.0,,,100-123,3,J. Harper makes 3-pt shot from 26 ft (assist by R. Bullock)
0:49.0,B. Roberts misses 3-pt shot from 26 ft,,100-123,,
0:48.0,,,100-123,,Defensive rebound by R. Bullock
0:25.0,,,100-123,,S. Blake misses 2-pt shot from 4 ft
0:23.0,Defensive rebound by C. Kaman,,100-123,,
0:11.0,C. Kaman makes 3-pt shot from 26 ft (assist by A. Crabbe),3,103-123,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
